dataset,max_force,ultimate_strength
1,6.3132,223.2837748283897
2,6.3218,223.58793760852086
3,6.2975,222.72850091582467
4,6.4066,226.58712409167484
5,6.4063,226.57651376213536
6,6.2851,222.28994062819365
7,6.1846,218.73548023247463
8,6.216,219.84602805760477
9,6.0644,214.48427486366447
10,6.2345,220.5003317125381
11,6.31,223.1705979799688
12,6.3598,224.9319126835191
13,6.2315,220.39422841714352
14,6.526,230.81003524837976
15,6.3866,225.87976878904416
16,6.2726,221.8478435640495
17,6.2296,220.3270296633936
18,6.3674,225.20070769851876
19,6.2468,220.935355223656
20,6.175,218.39594968721192
21,6.413,226.81347778851662
22,6.345,224.40846975957243
23,6.1848,218.74255378550095
24,6.004,212.3480618497199
25,5.9803,211.5098458161026
26,6.3661,225.15472960384778
27,6.263,221.5083130187868
28,6.339,224.19626316878325
29,6.158,217.7946976799759
30,6.3099,223.16706120345563
31,6.4089,226.66846995147736
32,6.4956,229.73485518838118
33,6.2035,219.40393099346062
34,6.3401,224.23516771042793
35,6.207,219.52771817142096
36,6.276,221.96809396549668
37,6.1569,217.7557931383312
38,6.2533,221.16524569701093
39,6.1963,219.14928308451357
40,6.2924,222.54812531365383
41,6.3735,225.4164510658211
