dataset,max_force,ultimate_strength
1,0.6471,22.88648081661455
2,0.8344,29.51086322575055
3,0.7192,25.436496682598026
4,0.7345,25.977623489110478
5,0.9224,32.623226557325395
6,0.7761,27.448922518582215
7,0.7991,28.26238111660746
8,0.8577,30.33493215331525
9,0.8365,29.585135532526767
10,0.7203,25.475401224242717
11,0.9326,32.98397776166702
12,0.9236,32.66566787548323
13,0.8436,29.836246664960647
15,0.9073,32.08917330383925
16,0.9487,33.55339878028469
18,0.5932,20.98015827602496
19,0.7551,26.706199450820037
20,0.9315,32.94507322002234
21,0.9683,34.24660697686273
22,0.9282,32.82835959508828
23,0.8089,28.608985214896475
24,0.4785,16.923475615438203
25,0.3856,13.637810234718854
26,1.0409,36.81430672541197
27,0.8618,30.479939990354534
28,0.8048,28.46397737785719
29,0.8503,30.07321069134191
30,0.7824,27.67173943891087
31,0.7936,28.067858408384033
32,0.7832,27.7000336510161
33,0.7968,28.181035256804936
34,0.9105,32.20235015226015
35,1.0504,37.15030049416153
36,0.7353,26.005917701215697
37,0.8795,31.105949433182655
38,0.7709,27.265010139898248
39,0.8318,29.418907036408566
40,0.896,31.689517557852938
41,0.7891,27.908703465292138
43,0.9382,33.1820372464036
44,0.6763,23.919219558455293
45,0.8903,31.4879212966032
46,0.8067,28.531176131607104
