dataset,max_force,ultimate_strength
1,12.8961,456.1062359127537
2,12.5952,445.4640753846756
3,12.3607,437.17033446133127
4,12.6477,447.3208830540811
5,12.9079,456.5235755413057
6,12.6331,446.80451368316074
7,12.8438,454.2565017963745
8,12.5533,443.9821660256644
9,12.1772,430.68034955969506
10,12.8087,453.0150932402577
11,12.7526,451.03096161637876
12,12.1913,431.17903504804974
13,12.4418,440.0386602134986
14,12.4971,441.9944976252723
16,12.5208,442.8327136588896
17,12.1842,430.92792391561585
18,12.6602,447.7629801182252
19,12.4863,441.6125257618517
20,13.2022,466.9323088195157
21,12.614,446.1289893691484
22,12.3422,436.51603080639796
23,12.4033,438.67700125593456
24,12.8312,453.81086795571724
25,12.5911,445.31906754763634
26,12.5982,445.5701786800702
27,12.3311,436.12344861343786
28,13.0209,460.5201330011689
29,13.1726,465.88542297162235
30,12.842,454.19283981913776
31,12.7357,450.4332463856559
32,13.0505,461.56701884906226
33,12.7815,452.05309002868006
34,12.8387,454.07612619420365
35,12.7915,452.40676767999537
36,12.398,438.4895521007374
37,12.3973,438.4647946651453
39,13.4234,474.75565846661067
40,12.0358,425.67934757009647
41,12.6889,448.77803497750017
42,12.5725,444.6612271161898
43,12.7106,449.5455154808544
44,12.2352,432.731679937324
45,12.8451,454.30247989104555
46,12.9021,456.31844250354294
47,12.8212,453.4571903044019
