dataset,max_force,ultimate_strength
1,19.8271,701.2402160394041
2,9.9296,351.1877606500631
3,12.279,434.28078805008505
4,9.4072,332.7116401453506
5,21.9754,777.220785871475
6,13.031,460.8773474289974
7,12.1242,428.80585800772394
8,8.24,291.43038468382616
9,20.0201,708.0661947097897
10,17.014,601.7471559478905
11,20.0005,707.3729865132117
12,19.3301,683.6624367690325
13,20.4207,722.2345214214816
14,15.0517,532.3449904302847
15,10.763,380.66325611068214
16,15.2421,539.0790129113284
17,21.7121,767.9084533123423
18,18.361,649.3875355800645
19,10.3751,366.94410001616075
20,10.0531,355.55567964380737
21,17.0841,604.226436283611
22,15.1722,536.6068061286343
23,20.5612,727.2036924224618
24,20.599,728.5405939444338
25,20.7338,733.3081686841642
26,11.9846,423.868517995362
27,17.6756,625.1464693589123
28,12.7848,452.16980365361417
29,18.1921,643.4139200493487
30,12.7623,451.37402893815465
31,21.9104,774.9218811379253
32,17.5927,622.2144816295083
33,20.6034,728.6962121110125
34,19.887,703.3587451707828
35,20.6339,729.7749289475242
36,8.231,291.1120747976423
37,20.7203,732.8307038548887
38,20.6537,730.4752106971287
39,20.0281,708.349136830842
40,14.7377,521.2395121789835
41,20.3593,720.0629406424055
42,13.3536,472.2869884604297
43,10.4059,368.033427182212
