dataset,max_force,ultimate_strength
1,8.7243,308.5589933370272
2,9.031,319.4062869028682
3,13.0325,460.9303990766947
4,18.7759,664.0616213331373
5,22.062,780.2836343318656
6,6.4151,226.88775009529283
7,19.2312,680.164564797524
8,11.174,395.1994075797419
9,7.435,262.9593337529426
10,nan,nan
11,20.5437,726.5847565326601
12,8.4823,299.9999941751964
13,16.3906,579.6988911648932
14,4.8133,170.23566390760442
15,19.0366,673.2819977029277
16,4.5083,159.44849554248708
17,21.8922,774.2781878125313
18,20.5582,727.0975891270672
19,19.7636,698.9943629535518
20,18.8616,667.0926388049096
21,8.0048,283.1118863248897
22,5.5896,197.69165997921291
23,19.4064,686.3609972485684
24,20.2768,717.1451000190542
25,4.4025,155.70658599157093
26,16.0778,568.63585423175
27,18.5434,655.838615940056
28,5.8336,206.32139467130682
29,21.8384,772.3754020484549
30,16.2256,573.8632099181905
31,20.2404,715.8577133682663
32,21.9193,775.2366542475959
33,17.3666,614.2178299332688
34,20.6312,729.6794359816691
35,20.6406,730.0118929739056
36,19.8991,703.7866951288744
37,4.4809,158.47941877788307
38,19.854,702.1916089214421
39,5.8411,206.58665290979332
40,3.6686,129.75018316153938
