dataset,max_force
1,19.8271
2,9.9296
3,12.279
4,9.4072
5,21.9754
6,13.031
7,12.1242
8,8.24
9,20.0201
10,17.014
11,20.0005
12,19.3301
13,20.4207
14,15.0517
15,10.763
16,15.2421
17,21.7121
18,18.361
19,10.3751
20,10.0531
21,17.0841
22,15.1722
23,20.5612
24,20.599
25,20.7338
26,11.9846
27,17.6756
28,12.7848
29,18.1921
30,12.7623
31,21.9104
32,17.5927
33,20.6034
34,19.887
35,20.6339
36,8.231
37,20.7203
38,20.6537
39,20.0281
40,14.7377
41,20.3593
42,13.3536
43,10.4059
