dataset,max_force,ultimate_strength
1,6.7332,238.13823618363327
2,13.6047,481.1678342849574
3,5.9504,210.4523496386698
4,6.2177,219.90615325832835
5,12.3172,435.6318366781096
6,18.3101,647.5873163348695
7,16.8758,596.8593308067128
8,0.8759,30.97862547870914
9,17.1297,605.8392063736088
10,16.0503,567.6632406906328
11,6.254,221.19000313260298
12,7.0652,249.88033420730198
13,19.4631,688.3663495315263
15,21.4692,759.3176231618933
16,22.0278,779.0740567643671
17,6.1998,219.27307026247394
18,0.7856,27.78491628733177
19,12.8199,453.41121220973093
20,13.6496,482.75584693936327
21,6.115,216.27388377932
22,6.1492,217.48346134681842
23,20.6657,730.8996238787071
24,0.892,31.54804649732681
25,6.4306,227.43595045483158
26,21.9288,775.5726480163454
27,21.9863,777.6062945114086
28,0.7103,25.12172357292739
29,6.3233,223.64098925621818
