Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 16.02.2023	Time: 15:52:39

Name:	ALUMINIUM
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0053	0.1023	Inf	Inf
0.0076	0.2031	Inf	Inf
0.0260	0.3241	Inf	Inf
0.0298	0.4384	Inf	Inf
0.0343	0.6299	Inf	Inf
0.0489	0.8082	Inf	Inf
0.0595	1.0578	Inf	Inf
0.0672	1.1589	Inf	Inf
0.0786	1.2949	Inf	Inf
0.0855	1.4527	Inf	Inf
0.1038	1.6734	Inf	Inf
0.1107	2.0162	Inf	Inf
0.1267	2.3673	Inf	Inf
0.1450	2.6206	Inf	Inf
0.1542	2.7371	Inf	Inf
0.1565	2.8379	Inf	Inf
0.1672	2.9518	Inf	Inf
0.2008	3.4532	Inf	Inf
0.2091	3.6877	Inf	Inf
0.2481	3.9732	Inf	Inf
0.2878	4.0942	Inf	Inf
0.3343	4.2052	Inf	Inf
0.3717	4.3048	Inf	Inf
0.4122	4.4037	Inf	Inf
0.4435	4.5045	Inf	Inf
0.4801	4.6057	Inf	Inf
0.5259	4.7057	Inf	Inf
0.5717	4.8050	Inf	Inf
0.6183	4.9040	Inf	Inf
0.7099	5.0032	Inf	Inf
0.7320	5.1040	Inf	Inf
0.8114	5.2030	Inf	Inf
0.8595	5.3034	Inf	Inf
0.9290	5.4038	Inf	Inf
1.0122	5.5046	Inf	Inf
1.1121	5.5908	Inf	Inf
1.2129	5.6721	Inf	Inf
1.3137	5.7485	Inf	Inf
1.3335	5.6473	Inf	Inf
1.3495	5.7474	Inf	Inf
1.3526	5.8467	Inf	Inf
1.4533	5.8733	Inf	Inf
1.5533	5.8737	Inf	Inf
1.6533	5.9359	Inf	Inf
1.7533	5.9988	Inf	Inf
1.8541	6.0258	Inf	Inf
1.9541	6.0333	Inf	Inf
2.0541	6.0183	Inf	Inf
2.1411	6.1195	Inf	Inf
2.2411	6.1262	Inf	Inf
2.3411	6.0801	Inf	Inf
2.4411	6.0812	Inf	Inf
2.5411	6.1629	Inf	Inf
2.6418	6.1798	Inf	Inf
2.7174	6.0779	Inf	Inf
2.7304	6.1783	Inf	Inf
2.8304	6.2154	Inf	Inf
2.9311	6.2176	Inf	Inf
3.0311	6.2068	Inf	Inf
3.1319	6.2319	Inf	Inf
3.2319	6.2337	Inf	Inf
3.3326	6.2229	Inf	Inf
3.4334	6.2191	Inf	Inf
3.5341	6.1835	Inf	Inf
3.6341	6.2023	Inf	Inf
3.6456	6.1007	Inf	Inf
3.6486	6.1978	Inf	Inf
3.7486	6.2468	Inf	Inf
3.8486	6.2225	Inf	Inf
3.9486	6.2217	Inf	Inf
4.0494	6.2157	Inf	Inf
4.1494	6.2015	Inf	Inf
4.2494	6.1138	Inf	Inf
4.2623	6.2139	Inf	Inf
4.3463	6.1123	Inf	Inf
4.3532	6.2098	Inf	Inf
4.4539	6.1311	Inf	Inf
4.5539	6.1022	Inf	Inf
4.6539	6.0565	Inf	Inf
4.7539	6.0190	Inf	Inf
4.8539	5.9565	Inf	Inf
4.9547	5.8988	Inf	Inf
5.0547	5.8381	Inf	Inf
5.1546	5.7553	Inf	Inf
5.2554	5.6893	Inf	Inf
5.3180	5.5889	Inf	Inf
5.4180	5.5623	Inf	Inf
5.5172	5.4641	Inf	Inf
5.6103	5.3603	Inf	Inf
5.7103	5.2644	Inf	Inf
5.7958	5.1614	Inf	Inf
5.8821	5.0591	Inf	Inf
5.9660	4.9583	Inf	Inf
6.0622	4.7226	Inf	Inf
6.2011	4.4322	Inf	Inf
6.2882	4.2865	Inf	Inf
6.3798	4.1385	Inf	Inf
6.4706	3.9878	Inf	Inf
Data End	

