Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 16.02.2023	Time: 16:05:43

Name:	PARALLEL
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.1000	0.0131	Inf	Inf
0.1992	0.0202	Inf	Inf
0.2664	0.1207	Inf	Inf
0.3007	0.2540	Inf	Inf
0.3275	0.3608	Inf	Inf
0.3588	0.5890	Inf	Inf
0.3771	0.7962	Inf	Inf
0.3870	0.9660	Inf	Inf
0.3923	1.1304	Inf	Inf
0.4114	1.5677	Inf	Inf
0.4137	1.7434	Inf	Inf
0.4183	2.1530	Inf	Inf
0.4336	2.6041	Inf	Inf
0.4504	3.2433	Inf	Inf
0.4816	3.7638	Inf	Inf
0.4870	3.9447	Inf	Inf
0.4939	3.8425	Inf	Inf
0.4962	4.1002	Inf	Inf
0.5274	5.2105	Inf	Inf
0.5580	5.7695	Inf	Inf
0.5900	6.1670	Inf	Inf
0.6091	6.5826	Inf	Inf
0.6465	7.0914	Inf	Inf
0.6847	7.5092	Inf	Inf
0.7267	8.0364	Inf	Inf
0.7778	8.4590	Inf	Inf
0.8297	8.6726	Inf	Inf
0.8457	8.8112	Inf	Inf
0.9160	9.1204	Inf	Inf
0.9473	9.2755	Inf	Inf
0.9931	9.3793	Inf	Inf
1.0434	9.5097	Inf	Inf
1.1320	9.3965	Inf	Inf
1.1450	9.0814	Inf	Inf
1.1526	8.9780	Inf	Inf
1.1549	8.8116	Inf	Inf
1.1633	8.6921	Inf	Inf
1.1755	8.7843	Inf	Inf
1.2305	9.9413	Inf	Inf
1.3312	9.9304	Inf	Inf
1.3984	9.8274	Inf	Inf
1.4976	9.7468	Inf	Inf
1.5953	9.6438	Inf	Inf
1.6686	9.5400	Inf	Inf
1.7075	9.4362	Inf	Inf
1.7923	9.3332	Inf	Inf
1.8923	9.2732	Inf	Inf
1.9403	9.1687	Inf	Inf
1.9984	9.0289	Inf	Inf
2.0434	8.9229	Inf	Inf
2.1052	8.7640	Inf	Inf
2.1472	8.6565	Inf	Inf
2.1770	8.5504	Inf	Inf
2.2525	8.4350	Inf	Inf
2.3518	8.3376	Inf	Inf
2.3976	8.2308	Inf	Inf
2.4357	7.8749	Inf	Inf
2.4563	7.5223	Inf	Inf
2.4708	7.3690	Inf	Inf
2.4716	7.2668	Inf	Inf
2.4800	7.1656	Inf	Inf
2.4838	7.2593	Inf	Inf
2.5044	8.0922	Inf	Inf
2.5724	8.4538	Inf	Inf
2.6182	8.3519	Inf	Inf
2.7182	8.2769	Inf	Inf
2.8181	8.3020	Inf	Inf
2.8548	8.1952	Inf	Inf
2.9548	8.1349	Inf	Inf
3.0563	8.0364	Inf	Inf
3.0861	8.1360	Inf	Inf
3.1853	8.1604	Inf	Inf
3.2418	8.2571	Inf	Inf
3.3418	8.0855	Inf	Inf
3.3624	8.1877	Inf	Inf
3.4631	8.0596	Inf	Inf
3.5639	7.9659	Inf	Inf
3.5838	7.8561	Inf	Inf
