Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 16.02.2023	Time: 16:00:59

Name:	PERPENDICULAR
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0672	0.1008	Inf	Inf
0.1244	0.2012	Inf	Inf
0.1740	0.3013	Inf	Inf
0.2061	0.4009	Inf	Inf
0.2320	0.5021	Inf	Inf
0.2969	0.7543	Inf	Inf
0.3328	0.9187	Inf	Inf
0.3733	1.0192	Inf	Inf
0.4015	1.1188	Inf	Inf
0.4526	1.2301	Inf	Inf
0.5038	1.3538	Inf	Inf
0.5656	1.4527	Inf	Inf
0.6236	1.5527	Inf	Inf
0.6740	1.6528	Inf	Inf
0.7740	1.7022	Inf	Inf
0.8740	1.7723	Inf	Inf
0.9404	1.6692	Inf	Inf
0.9923	1.7693	Inf	Inf
1.0412	1.8787	Inf	Inf
1.1419	1.9195	Inf	Inf
1.2419	1.9270	Inf	Inf
1.3419	1.9772	Inf	Inf
1.4243	1.8742	Inf	Inf
1.4335	1.7727	Inf	Inf
1.4793	1.8708	Inf	Inf
1.5167	1.9727	Inf	Inf
1.6175	2.0439	Inf	Inf
1.7167	1.9986	Inf	Inf
1.8167	2.0615	Inf	Inf
1.9167	2.0732	Inf	Inf
2.0167	2.0780	Inf	Inf
2.0808	1.9746	Inf	Inf
2.0816	1.8678	Inf	Inf
2.1365	1.9671	Inf	Inf
2.1831	2.0971	Inf	Inf
2.2838	2.1515	Inf	Inf
2.3846	2.1241	Inf	Inf
2.4846	2.1504	Inf	Inf
2.5838	2.1841	Inf	Inf
2.6846	2.1964	Inf	Inf
2.7846	2.2901	Inf	Inf
2.8456	2.1874	Inf	Inf
2.8540	2.0829	Inf	Inf
2.8556	1.9806	Inf	Inf
2.9067	2.0818	Inf	Inf
2.9571	2.2500	Inf	Inf
3.0571	2.3328	Inf	Inf
3.1578	2.3407	Inf	Inf
3.2578	2.3549	Inf	Inf
3.3570	2.4044	Inf	Inf
3.4563	2.4171	Inf	Inf
3.5502	2.3156	Inf	Inf
3.5601	2.1121	Inf	Inf
3.5609	2.2133	Inf	Inf
3.5929	2.2114	Inf	Inf
3.6608	2.4452	Inf	Inf
3.7204	2.5442	Inf	Inf
3.8196	2.5812	Inf	Inf
3.9196	2.6034	Inf	Inf
4.0188	2.6524	Inf	Inf
4.1196	2.6356	Inf	Inf
4.2066	2.7349	Inf	Inf
4.2433	2.6296	Inf	Inf
4.2524	2.3643	Inf	Inf
4.2547	2.4666	Inf	Inf
4.2959	2.4647	Inf	Inf
4.3257	2.5857	Inf	Inf
4.3883	2.7461	Inf	Inf
4.4883	2.7959	Inf	Inf
4.5471	2.6944	Inf	Inf
4.6478	2.7367	Inf	Inf
4.7470	2.8244	Inf	Inf
4.8478	2.8585	Inf	Inf
4.8951	2.9578	Inf	Inf
4.9852	2.6487	Inf	Inf
4.9882	2.7514	Inf	Inf
4.9898	2.8540	Inf	Inf
5.0234	2.7487	Inf	Inf
5.0440	2.8484	Inf	Inf
5.0722	2.9481	Inf	Inf
5.1234	3.0489	Inf	Inf
5.2241	3.1051	Inf	Inf
5.3241	3.1688	Inf	Inf
5.3913	3.2696	Inf	Inf
5.4920	3.3280	Inf	Inf
5.5920	3.3891	Inf	Inf
5.6920	3.4295	Inf	Inf
5.7393	3.2257	Inf	Inf
5.7424	3.3269	Inf	Inf
5.7493	3.1245	Inf	Inf
5.7737	3.2253	Inf	Inf
5.7912	3.3235	Inf	Inf
5.8187	3.4584	Inf	Inf
5.8577	3.5648	Inf	Inf
5.9241	3.6660	Inf	Inf
6.0248	3.7004	Inf	Inf
6.0943	3.8009	Inf	Inf
6.1935	3.8571	Inf	Inf
6.2943	3.9121	Inf	Inf
6.3874	4.0111	Inf	Inf
6.4874	4.0706	Inf	Inf
6.5881	4.1624	Inf	Inf
6.6332	4.0602	Inf	Inf
6.6477	3.9571	Inf	Inf
6.6744	4.0557	Inf	Inf
6.6988	4.1572	Inf	Inf
6.7294	4.3494	Inf	Inf
6.8034	4.2471	Inf	Inf
6.8423	4.3472	Inf	Inf
6.8576	4.4472	Inf	Inf
6.8942	4.6035	Inf	Inf
6.9942	4.6420	Inf	Inf
7.0370	4.5398	Inf	Inf
7.1309	4.6375	Inf	Inf
7.1782	4.7350	Inf	Inf
7.2148	4.8350	Inf	Inf
7.2461	4.9336	Inf	Inf
7.2919	5.0321	Inf	Inf
7.3476	5.1468	Inf	Inf
7.4476	5.1580	Inf	Inf
7.5285	5.2584	Inf	Inf
7.5469	5.1565	Inf	Inf
7.5537	5.0508	Inf	Inf
7.5568	4.9287	Inf	Inf
7.5583	4.8163	Inf	Inf
7.5751	4.7147	Inf	Inf
7.5972	4.8167	Inf	Inf
7.6125	4.9381	Inf	Inf
7.6453	5.3408	Inf	Inf
7.6911	5.5499	Inf	Inf
7.7293	5.6518	Inf	Inf
7.7927	5.7991	Inf	Inf
7.8934	5.7867	Inf	Inf
7.9934	5.6901	Inf	Inf
8.0079	5.7916	Inf	Inf
8.0224	5.8909	Inf	Inf
8.0400	5.9883	Inf	Inf
8.0674	6.2199	Inf	Inf
8.1590	6.3214	Inf	Inf
8.1934	6.4218	Inf	Inf
8.2117	6.5631	Inf	Inf
8.2751	6.6631	Inf	Inf
8.3758	6.6762	Inf	Inf
8.4308	6.5736	Inf	Inf
8.4323	6.4383	Inf	Inf
8.4438	6.3079	Inf	Inf
8.4529	6.2060	Inf	Inf
8.4606	6.1052	Inf	Inf
8.4896	6.2034	Inf	Inf
8.4911	6.3769	Inf	Inf
8.5270	6.8471	Inf	Inf
8.5605	7.2540	Inf	Inf
8.6125	7.4627	Inf	Inf
8.6575	7.6594	Inf	Inf
8.7346	7.7591	Inf	Inf
8.7850	7.8584	Inf	Inf
8.8323	7.9599	Inf	Inf
8.8491	8.0585	Inf	Inf
8.8705	8.1604	Inf	Inf
8.9002	8.0574	Inf	Inf
8.9117	7.7692	Inf	Inf
8.9140	7.9558	Inf	Inf
8.9262	7.5305	Inf	Inf
8.9300	7.6448	Inf	Inf
8.9346	7.4282	Inf	Inf
8.9376	7.3267	Inf	Inf
8.9598	7.7718	Inf	Inf
9.0002	8.3181	Inf	Inf
9.0391	8.8955	Inf	Inf
9.0987	9.3058	Inf	Inf
9.1407	9.5306	Inf	Inf
9.1765	9.6299	Inf	Inf
9.2117	9.7734	Inf	Inf
9.2712	9.8926	Inf	Inf
9.3132	10.0308	Inf	Inf
9.4139	10.0953	Inf	Inf
9.4406	9.9896	Inf	Inf
9.4468	9.8873	Inf	Inf
9.4536	9.7584	Inf	Inf
9.4758	9.8589	Inf	Inf
9.4918	10.1923	Inf	Inf
9.4987	10.0260	Inf	Inf
9.5017	9.8825	Inf	Inf
9.5086	9.7794	Inf	Inf
9.5147	9.6783	Inf	Inf
9.5185	9.5775	Inf	Inf
9.5277	9.6779	Inf	Inf
9.5353	9.7813	Inf	Inf
9.5536	10.2894	Inf	Inf
9.5864	10.8095	Inf	Inf
9.6238	11.5008	Inf	Inf
9.6582	12.0032	Inf	Inf
9.7063	12.3277	Inf	Inf
9.7528	12.5829	Inf	Inf
9.7887	12.7953	Inf	Inf
9.8338	13.0138	Inf	Inf
9.8681	13.1640	Inf	Inf
9.8979	13.0467	Inf	Inf
9.9170	12.7496	Inf	Inf
9.9307	12.8549	Inf	Inf
9.9421	12.9662	Inf	Inf
9.9650	13.3581	Inf	Inf
9.9856	13.4911	Inf	Inf
10.0101	13.3896	Inf	Inf
10.0139	13.2884	Inf	Inf
10.0200	13.1659	Inf	Inf
10.0208	12.9317	Inf	Inf
10.0223	13.0535	Inf	Inf
10.0353	12.8290	Inf	Inf
10.0513	12.9291	Inf	Inf
10.0612	13.2015	Inf	Inf
10.0704	13.7995	Inf	Inf
10.0826	14.3098	Inf	Inf
10.0963	14.4252	Inf	Inf
10.1185	14.7801	Inf	Inf
10.1559	15.3136	Inf	Inf
10.1780	15.6591	Inf	Inf
10.1925	15.7520	Inf	Inf
10.2131	15.8951	Inf	Inf
10.2459	16.4145	Inf	Inf
10.2696	16.8809	Inf	Inf
10.3001	17.1320	Inf	Inf
10.3215	17.3265	Inf	Inf
10.3551	17.4505	Inf	Inf
10.3742	17.5685	Inf	Inf
10.4093	17.4651	Inf	Inf
10.4192	17.3632	Inf	Inf
10.4207	17.1987	Inf	Inf
10.4322	17.0477	Inf	Inf
10.4352	16.9289	Inf	Inf
10.4375	16.8165	Inf	Inf
10.4452	16.7153	Inf	Inf
10.4520	16.8176	Inf	Inf
10.4681	17.1919	Inf	Inf
10.4856	18.2639	Inf	Inf
10.5169	19.3015	Inf	Inf
10.5322	20.1464	Inf	Inf
10.5612	20.4491	Inf	Inf
10.5948	20.5503	Inf	Inf
10.6154	20.4465	Inf	Inf
10.6169	20.3412	Inf	Inf
10.6299	20.1280	Inf	Inf
10.6421	19.9673	Inf	Inf
10.6635	19.8189	Inf	Inf
10.6658	19.6930	Inf	Inf
10.6665	19.7084	Inf	Inf
10.6803	20.1554	Inf	Inf
10.7138	20.5582	Inf	Inf
10.8138	20.5507	Inf	Inf
10.9138	20.5537	Inf	Inf
11.0138	20.5492	Inf	Inf
11.1131	20.5507	Inf	Inf
11.2131	20.5522	Inf	Inf
Data End	

