Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 16.02.2023	Time: 15:45:32

Name:	STEEL
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
-0.0008	0.0970	-Inf	Inf
0.0099	0.1986	Inf	Inf
0.0183	0.2998	Inf	Inf
0.0221	0.4005	Inf	Inf
0.0298	0.5013	Inf	Inf
0.0389	0.6006	Inf	Inf
0.0412	0.6995	Inf	Inf
0.0489	0.8000	Inf	Inf
0.0504	1.0000	Inf	Inf
0.0511	0.9008	Inf	Inf
0.0611	1.1012	Inf	Inf
0.0687	1.2013	Inf	Inf
0.0695	1.3009	Inf	Inf
0.0756	1.4025	Inf	Inf
0.0763	1.5010	Inf	Inf
0.0771	1.6011	Inf	Inf
0.0824	1.7018	Inf	Inf
0.0840	1.8023	Inf	Inf
0.0901	1.9023	Inf	Inf
0.0916	2.0023	Inf	Inf
0.0931	2.2032	Inf	Inf
0.0939	2.1028	Inf	Inf
0.0977	2.3029	Inf	Inf
0.1038	2.6045	Inf	Inf
0.1069	2.5048	Inf	Inf
0.1099	2.7045	Inf	Inf
0.1183	2.8042	Inf	Inf
0.1191	2.9050	Inf	Inf
0.1214	3.0050	Inf	Inf
0.1237	3.1058	Inf	Inf
0.1275	3.2062	Inf	Inf
0.1298	3.3066	Inf	Inf
0.1374	3.4063	Inf	Inf
0.1412	3.6071	Inf	Inf
0.1420	3.5067	Inf	Inf
0.1450	3.7083	Inf	Inf
0.1481	3.8084	Inf	Inf
0.1488	3.9077	Inf	Inf
0.1519	4.0077	Inf	Inf
0.1595	4.1070	Inf	Inf
0.1633	4.2067	Inf	Inf
0.1664	4.4049	Inf	Inf
0.1672	4.3052	Inf	Inf
0.1702	4.5045	Inf	Inf
0.1748	4.6053	Inf	Inf
0.1756	4.7035	Inf	Inf
0.1786	4.8017	Inf	Inf
0.1847	4.9017	Inf	Inf
0.1901	5.0017	Inf	Inf
0.1939	5.3019	Inf	Inf
0.1946	5.2015	Inf	Inf
0.1946	5.4000	Inf	Inf
0.1954	5.5005	Inf	Inf
0.1962	5.6024	Inf	Inf
0.1985	5.7017	Inf	Inf
0.2015	5.8021	Inf	Inf
0.2107	5.9036	Inf	Inf
0.2130	6.0022	Inf	Inf
0.2191	6.1030	Inf	Inf
0.2198	6.5009	Inf	Inf
0.2214	6.3004	Inf	Inf
0.2221	6.2015	Inf	Inf
0.2237	6.4005	Inf	Inf
0.2237	6.6006	Inf	Inf
0.2244	6.7006	Inf	Inf
0.2275	6.8014	Inf	Inf
0.2298	6.9258	Inf	Inf
0.2359	7.0322	Inf	Inf
0.2412	7.4050	Inf	Inf
0.2427	7.7055	Inf	Inf
0.2435	7.5066	Inf	Inf
0.2443	7.8059	Inf	Inf
0.2450	8.0064	Inf	Inf
0.2473	8.1072	Inf	Inf
0.2565	8.2080	Inf	Inf
0.2694	8.5186	Inf	Inf
0.2756	8.6194	Inf	Inf
0.2832	8.9338	Inf	Inf
0.2908	9.0342	Inf	Inf
0.2946	9.1331	Inf	Inf
0.3122	9.0315	Inf	Inf
0.3244	8.9248	Inf	Inf
0.3313	8.8112	Inf	Inf
0.3565	8.7101	Inf	Inf
0.3633	8.5864	Inf	Inf
0.3847	8.6835	Inf	Inf
0.4145	8.5797	Inf	Inf
0.4160	8.4774	Inf	Inf
0.4381	8.6812	Inf	Inf
0.4420	8.4763	Inf	Inf
0.4435	8.5797	Inf	Inf
0.4626	8.5770	Inf	Inf
0.4702	8.6771	Inf	Inf
0.5084	8.7771	Inf	Inf
0.5107	8.6745	Inf	Inf
0.5320	8.5729	Inf	Inf
0.5389	8.6722	Inf	Inf
0.5732	8.7696	Inf	Inf
0.6076	8.8704	Inf	Inf
0.6152	8.7685	Inf	Inf
0.6297	8.8686	Inf	Inf
0.6358	8.7648	Inf	Inf
0.6595	8.8607	Inf	Inf
0.7595	8.9532	Inf	Inf
0.8015	8.8506	Inf	Inf
0.8053	8.7284	Inf	Inf
0.8061	8.6258	Inf	Inf
0.8145	8.7299	Inf	Inf
0.8503	8.8292	Inf	Inf
0.8625	8.9311	Inf	Inf
0.8862	9.0323	Inf	Inf
0.9274	8.9248	Inf	Inf
0.9602	8.8232	Inf	Inf
0.9770	8.9244	Inf	Inf
0.9984	9.0252	Inf	Inf
1.0984	8.9900	Inf	Inf
1.1175	9.0896	Inf	Inf
1.1320	9.1964	Inf	Inf
1.1465	9.0151	Inf	Inf
1.1541	8.9000	Inf	Inf
1.1633	8.7989	Inf	Inf
1.1732	8.8993	Inf	Inf
1.1793	9.0229	Inf	Inf
1.1847	8.9203	Inf	Inf
1.1870	8.8180	Inf	Inf
1.1923	8.9169	Inf	Inf
1.2037	9.0626	Inf	Inf
1.2473	8.9615	Inf	Inf
1.2640	9.0634	Inf	Inf
1.2763	8.9604	Inf	Inf
1.2946	9.0611	Inf	Inf
1.3221	9.1612	Inf	Inf
1.3312	9.2702	Inf	Inf
1.3701	9.3688	Inf	Inf
1.3946	9.4711	Inf	Inf
1.4144	9.3695	Inf	Inf
1.4167	9.2665	Inf	Inf
1.4282	9.3654	Inf	Inf
1.4610	9.4636	Inf	Inf
1.4915	9.5591	Inf	Inf
1.5243	9.6644	Inf	Inf
1.5518	9.5614	Inf	Inf
1.5549	9.6622	Inf	Inf
1.5801	9.7611	Inf	Inf
1.6274	9.8622	Inf	Inf
1.6610	9.9604	Inf	Inf
1.7373	10.0623	Inf	Inf
1.8052	10.1605	Inf	Inf
1.8197	10.0219	Inf	Inf
1.8297	10.1249	Inf	Inf
1.8449	10.0237	Inf	Inf
1.8564	9.9214	Inf	Inf
1.8648	10.0192	Inf	Inf
1.8785	10.0694	Inf	Inf
1.8793	10.1729	Inf	Inf
1.8816	10.1695	Inf	Inf
1.9068	10.2733	Inf	Inf
1.9503	10.1717	Inf	Inf
1.9556	10.0706	Inf	Inf
1.9648	10.1714	Inf	Inf
1.9808	10.2707	Inf	Inf
1.9915	10.4067	Inf	Inf
2.0159	10.5075	Inf	Inf
2.0289	10.4029	Inf	Inf
2.0594	10.5030	Inf	Inf
2.0945	10.4003	Inf	Inf
2.1083	10.5007	Inf	Inf
2.1365	10.3969	Inf	Inf
2.1480	10.4996	Inf	Inf
2.1739	10.3977	Inf	Inf
2.1747	10.5018	Inf	Inf
2.1854	10.6581	Inf	Inf
2.1953	10.4913	Inf	Inf
2.1983	10.5899	Inf	Inf
2.2335	10.6929	Inf	Inf
2.2487	10.5906	Inf	Inf
2.2655	10.6911	Inf	Inf
2.2846	10.5876	Inf	Inf
2.2876	10.6933	Inf	Inf
2.3212	10.7930	Inf	Inf
2.3945	10.8926	Inf	Inf
2.4510	10.7918	Inf	Inf
2.4548	10.6899	Inf	Inf
2.4617	10.5880	Inf	Inf
2.4670	10.6873	Inf	Inf
2.4724	10.7840	Inf	Inf
2.4930	10.8833	Inf	Inf
2.5174	10.9833	Inf	Inf
2.5388	10.8799	Inf	Inf
2.5540	10.9799	Inf	Inf
2.5892	10.8780	Inf	Inf
2.5998	10.9769	Inf	Inf
2.6197	10.8743	Inf	Inf
2.6288	10.7720	Inf	Inf
2.6334	10.8679	Inf	Inf
2.6357	10.9961	Inf	Inf
2.6594	11.0983	Inf	Inf
2.6869	11.1991	Inf	Inf
2.7418	11.0950	Inf	Inf
2.7655	11.1950	Inf	Inf
2.8075	11.0927	Inf	Inf
2.8113	11.1909	Inf	Inf
2.8945	11.2932	Inf	Inf
2.9059	11.1890	Inf	Inf
2.9197	11.2894	Inf	Inf
2.9731	11.3891	Inf	Inf
2.9846	11.2868	Inf	Inf
2.9991	11.3876	Inf	Inf
3.0616	11.4880	Inf	Inf
3.1265	11.3831	Inf	Inf
3.1433	11.4817	Inf	Inf
3.2113	11.5836	Inf	Inf
3.2433	11.4768	Inf	Inf
3.2571	11.5742	Inf	Inf
3.2899	11.4476	Inf	Inf
3.2990	11.3411	Inf	Inf
3.3021	11.2392	Inf	Inf
3.3090	11.3434	Inf	Inf
3.3219	11.5911	Inf	Inf
3.3517	11.6915	Inf	Inf
3.4525	11.7896	Inf	Inf
3.4731	11.6829	Inf	Inf
3.5013	11.7822	Inf	Inf
3.5166	11.6784	Inf	Inf
3.5357	11.7810	Inf	Inf
3.5990	11.6757	Inf	Inf
3.6227	11.7773	Inf	Inf
3.6608	11.8799	Inf	Inf
3.7608	11.9129	Inf	Inf
3.7669	11.8054	Inf	Inf
3.7876	11.9054	Inf	Inf
3.8334	11.8001	Inf	Inf
3.8517	11.9047	Inf	Inf
3.9166	12.0047	Inf	Inf
3.9845	11.8987	Inf	Inf
3.9875	11.7934	Inf	Inf
3.9944	11.6915	Inf	Inf
4.0005	11.5896	Inf	Inf
4.0104	11.6859	Inf	Inf
4.0173	11.8260	Inf	Inf
4.0631	11.9309	Inf	Inf
4.0738	12.0677	Inf	Inf
4.1738	12.0650	Inf	Inf
4.1845	11.9556	Inf	Inf
4.2074	12.0609	Inf	Inf
4.2837	12.1621	Inf	Inf
4.3020	12.0576	Inf	Inf
4.3364	11.9541	Inf	Inf
4.3463	12.0557	Inf	Inf
4.3585	12.1587	Inf	Inf
4.4158	12.0568	Inf	Inf
4.4394	12.1587	Inf	Inf
4.4814	12.0561	Inf	Inf
4.4997	12.1531	Inf	Inf
4.5463	12.0501	Inf	Inf
4.5524	11.9466	Inf	Inf
4.5631	11.8444	Inf	Inf
4.5715	11.9358	Inf	Inf
4.5898	12.2033	Inf	Inf
4.6509	12.3026	Inf	Inf
4.7379	12.1928	Inf	Inf
4.7585	12.2951	Inf	Inf
4.8585	12.2595	Inf	Inf
4.8844	12.3569	Inf	Inf
4.9852	12.3468	Inf	Inf
5.0585	12.2434	Inf	Inf
5.0760	12.3408	Inf	Inf
5.1760	12.3925	Inf	Inf
5.2501	12.2872	Inf	Inf
5.2554	12.1853	Inf	Inf
5.2562	12.0838	Inf	Inf
5.2653	12.0737	Inf	Inf
5.2768	12.3554	Inf	Inf
5.3149	12.4558	Inf	Inf
5.3241	12.3528	Inf	Inf
5.3730	12.2513	Inf	Inf
5.3821	12.3457	Inf	Inf
5.4294	12.4442	Inf	Inf
5.5302	12.4360	Inf	Inf
5.5577	12.5383	Inf	Inf
5.5928	12.4266	Inf	Inf
5.6302	12.3221	Inf	Inf
5.6523	12.4262	Inf	Inf
5.7523	12.3255	Inf	Inf
5.7645	12.4214	Inf	Inf
5.8256	12.5214	Inf	Inf
5.9264	12.5289	Inf	Inf
5.9912	12.4206	Inf	Inf
6.0149	12.5162	Inf	Inf
6.0638	12.4094	Inf	Inf
6.0828	12.5087	Inf	Inf
6.1828	12.5855	Inf	Inf
6.2225	12.4791	Inf	Inf
6.3080	12.3775	Inf	Inf
6.3088	12.2498	Inf	Inf
6.3172	12.1479	Inf	Inf
6.3263	12.2498	Inf	Inf
6.3408	12.4139	Inf	Inf
6.4187	12.5124	Inf	Inf
6.4996	12.4071	Inf	Inf
6.5156	12.5094	Inf	Inf
6.5706	12.6102	Inf	Inf
6.6706	12.6140	Inf	Inf
6.6942	12.5064	Inf	Inf
6.7286	12.6098	Inf	Inf
6.8103	12.5038	Inf	Inf
6.8347	12.6016	Inf	Inf
6.9347	12.4566	Inf	Inf
6.9500	12.5578	Inf	Inf
7.0500	12.4986	Inf	Inf
7.1461	12.5994	Inf	Inf
7.1538	12.4896	Inf	Inf
7.1637	12.3172	Inf	Inf
7.1759	12.1134	Inf	Inf
7.1774	12.2134	Inf	Inf
7.2041	12.4225	Inf	Inf
7.2164	12.5570	Inf	Inf
7.3163	12.5484	Inf	Inf
7.3553	12.4461	Inf	Inf
7.3728	12.5458	Inf	Inf
7.4736	12.4738	Inf	Inf
7.5331	12.5746	Inf	Inf
7.6331	12.5147	Inf	Inf
7.7331	12.6068	Inf	Inf
7.7423	12.4997	Inf	Inf
7.7797	12.6012	Inf	Inf
7.8102	12.4971	Inf	Inf
7.8766	12.5967	Inf	Inf
7.9026	12.3907	Inf	Inf
7.9049	12.2827	Inf	Inf
7.9133	12.1805	Inf	Inf
7.9155	12.2790	Inf	Inf
7.9262	12.3832	Inf	Inf
7.9484	12.5327	Inf	Inf
8.0484	12.5716	Inf	Inf
8.1491	12.5349	Inf	Inf
8.2491	12.5289	Inf	Inf
8.3499	12.5147	Inf	Inf
8.4499	12.4907	Inf	Inf
8.5499	12.5611	Inf	Inf
8.5667	12.4543	Inf	Inf
8.5728	12.3536	Inf	Inf
8.5750	12.2501	Inf	Inf
8.5781	12.1479	Inf	Inf
8.5911	12.3438	Inf	Inf
8.5926	12.2438	Inf	Inf
8.6079	12.5001	Inf	Inf
8.7079	12.4810	Inf	Inf
8.8079	12.4420	Inf	Inf
8.9079	12.4506	Inf	Inf
9.0078	12.4543	Inf	Inf
9.1078	12.4439	Inf	Inf
9.2078	12.4150	Inf	Inf
9.3078	12.4068	Inf	Inf
9.3742	12.5072	Inf	Inf
9.4422	12.3951	Inf	Inf
9.4483	12.2884	Inf	Inf
9.4551	12.1864	Inf	Inf
9.4605	12.0845	Inf	Inf
9.4750	12.1842	Inf	Inf
9.4834	12.2842	Inf	Inf
9.4948	12.3839	Inf	Inf
9.5948	12.3854	Inf	Inf
9.6948	12.4071	Inf	Inf
9.7956	12.4075	Inf	Inf
9.8368	12.5064	Inf	Inf
9.8780	12.3352	Inf	Inf
9.8826	12.1834	Inf	Inf
9.9086	12.2824	Inf	Inf
10.0093	12.3198	Inf	Inf
10.1093	12.2947	Inf	Inf
10.2093	12.2767	Inf	Inf
10.3101	12.2363	Inf	Inf
10.3139	12.1336	Inf	Inf
10.3230	12.2288	Inf	Inf
10.3604	12.1227	Inf	Inf
10.3681	12.0197	Inf	Inf
10.3726	11.9170	Inf	Inf
10.3795	12.0145	Inf	Inf
10.3833	12.1130	Inf	Inf
10.3986	12.2149	Inf	Inf
10.4139	12.1119	Inf	Inf
10.4276	12.2130	Inf	Inf
10.4665	12.1059	Inf	Inf
10.5329	12.0017	Inf	Inf
10.5474	12.1029	Inf	Inf
10.5871	12.0017	Inf	Inf
10.6871	12.0373	Inf	Inf
10.7154	11.9320	Inf	Inf
10.7467	11.8275	Inf	Inf
10.7642	11.9260	Inf	Inf
10.8650	11.9403	Inf	Inf
10.8810	11.8327	Inf	Inf
10.9428	11.7278	Inf	Inf
11.0283	11.6248	Inf	Inf
11.0375	11.5229	Inf	Inf
11.0390	11.4213	Inf	Inf
11.0421	11.5199	Inf	Inf
11.0650	11.7267	Inf	Inf
11.1062	11.6203	Inf	Inf
11.1451	11.5169	Inf	Inf
11.2451	11.4517	Inf	Inf
11.3108	11.3453	Inf	Inf
11.3718	11.2415	Inf	Inf
11.4420	11.1313	Inf	Inf
11.5420	11.1474	Inf	Inf
11.5657	11.0365	Inf	Inf
11.6306	10.9294	Inf	Inf
11.6825	10.8263	Inf	Inf
11.7344	10.7150	Inf	Inf
11.8168	10.6049	Inf	Inf
11.8260	10.4677	Inf	Inf
11.8352	10.3617	Inf	Inf
11.8436	10.2602	Inf	Inf
11.8481	10.3583	Inf	Inf
11.8993	10.5236	Inf	Inf
11.9138	10.2418	Inf	Inf
11.9428	10.3430	Inf	Inf
11.9588	10.1886	Inf	Inf
12.0596	10.1534	Inf	Inf
12.0825	10.0443	Inf	Inf
12.1809	9.9424	Inf	Inf
12.2130	9.8353	Inf	Inf
12.2389	9.6093	Inf	Inf
12.3138	9.4535	Inf	Inf
12.3756	9.3493	Inf	Inf
12.3977	9.1597	Inf	Inf
12.5725	8.5894	Inf	Inf
12.7824	8.3035	Inf	Inf
13.0099	8.0154	Inf	Inf
13.2961	7.7235	Inf	Inf
13.5954	7.4305	Inf	Inf
Data End	

