Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 03.03.2023	Time: 12:00:51

Name:	23A aluminium alloy tensile
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0038	0.1001	Inf	Inf
0.0232	0.2876	Inf	Inf
0.0805	0.7537	Inf	Inf
0.0813	0.6536	Inf	Inf
0.0900	0.8772	Inf	Inf
0.1025	0.9778	Inf	Inf
0.1164	1.1187	Inf	Inf
0.1183	1.2150	Inf	Inf
0.1451	1.4260	Inf	Inf
0.1639	1.6651	Inf	Inf
0.1782	1.9151	Inf	Inf
0.1957	2.1810	Inf	Inf
0.2113	2.5594	Inf	Inf
0.2355	2.7477	Inf	Inf
0.2362	2.8462	Inf	Inf
0.2646	3.3660	Inf	Inf
0.3403	3.8390	Inf	Inf
0.3839	3.9411	Inf	Inf
0.4416	4.1105	Inf	Inf
0.4899	4.2134	Inf	Inf
0.5448	4.3643	Inf	Inf
0.5946	4.4726	Inf	Inf
0.6464	4.5726	Inf	Inf
0.6956	4.6858	Inf	Inf
0.7077	4.7874	Inf	Inf
0.7889	4.8888	Inf	Inf
0.8507	4.9889	Inf	Inf
0.9078	5.0891	Inf	Inf
0.9532	5.1885	Inf	Inf
1.0466	5.2887	Inf	Inf
1.1469	5.3662	Inf	Inf
1.1689	5.4665	Inf	Inf
1.2705	5.5044	Inf	Inf
1.3524	5.6043	Inf	Inf
1.4539	5.6731	Inf	Inf
1.5540	5.7389	Inf	Inf
1.5710	5.7399	Inf	Inf
1.5742	5.6381	Inf	Inf
1.6458	5.8400	Inf	Inf
1.7447	5.8341	Inf	Inf
1.8456	5.9063	Inf	Inf
1.9318	5.8052	Inf	Inf
1.9371	5.9072	Inf	Inf
2.0219	6.0090	Inf	Inf
2.1227	6.0139	Inf	Inf
2.1954	5.9132	Inf	Inf
2.1993	6.0150	Inf	Inf
2.2991	6.0337	Inf	Inf
2.3985	6.0695	Inf	Inf
2.4894	5.9690	Inf	Inf
2.4965	6.0679	Inf	Inf
2.5968	6.1012	Inf	Inf
2.6974	6.1023	Inf	Inf
2.7976	6.1285	Inf	Inf
2.8977	6.1172	Inf	Inf
2.9154	6.0163	Inf	Inf
2.9330	6.1146	Inf	Inf
3.0325	6.1417	Inf	Inf
3.1313	6.1519	Inf	Inf
3.2297	6.1642	Inf	Inf
3.2999	6.0617	Inf	Inf
3.3205	6.1596	Inf	Inf
3.4214	6.1749	Inf	Inf
3.5214	6.1689	Inf	Inf
3.6215	6.0976	Inf	Inf
3.6537	6.1978	Inf	Inf
3.7534	6.1636	Inf	Inf
3.8526	6.1692	Inf	Inf
3.9527	6.0711	Inf	Inf
3.9598	6.1739	Inf	Inf
4.0599	6.1967	Inf	Inf
4.1596	6.2070	Inf	Inf
4.2249	6.1043	Inf	Inf
4.2619	6.2041	Inf	Inf
4.3605	6.1779	Inf	Inf
4.4617	6.1593	Inf	Inf
4.4969	6.0589	Inf	Inf
4.5048	6.1538	Inf	Inf
4.6061	6.1620	Inf	Inf
4.7050	6.1308	Inf	Inf
4.8039	6.1062	Inf	Inf
4.9051	6.0755	Inf	Inf
4.9716	5.9730	Inf	Inf
5.0052	6.0736	Inf	Inf
5.1041	6.0171	Inf	Inf
5.2026	5.9785	Inf	Inf
5.3027	5.9265	Inf	Inf
5.4024	5.8312	Inf	Inf
5.4383	5.7309	Inf	Inf
5.4651	5.8318	Inf	Inf
5.5655	5.7603	Inf	Inf
5.6648	5.6834	Inf	Inf
5.7660	5.6003	Inf	Inf
5.8481	5.4945	Inf	Inf
5.9475	5.4670	Inf	Inf
6.0480	5.3710	Inf	Inf
6.1415	5.2687	Inf	Inf
6.1820	5.1642	Inf	Inf
6.2825	5.1075	Inf	Inf
6.3600	5.0028	Inf	Inf
6.4314	4.8962	Inf	Inf
6.5492	4.4912	Inf	Inf
6.6141	4.3343	Inf	Inf
6.6847	4.1771	Inf	Inf
6.7584	4.0195	Inf	Inf
Data End	

