Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 03.03.2023	Time: 12:28:02

Name:	23A steel 2
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0502	0.1004	Inf	Inf
0.1021	0.2042	Inf	Inf
0.1192	0.3060	Inf	Inf
0.1270	0.5543	Inf	Inf
0.1466	1.1414	Inf	Inf
0.1589	1.7375	Inf	Inf
0.1725	2.2633	Inf	Inf
0.1932	2.9468	Inf	Inf
0.2142	3.7113	Inf	Inf
0.2214	3.9989	Inf	Inf
0.2233	4.0991	Inf	Inf
0.2266	4.4504	Inf	Inf
0.2404	4.8906	Inf	Inf
0.2532	5.4393	Inf	Inf
0.2669	5.9365	Inf	Inf
0.2682	6.0359	Inf	Inf
0.2791	6.2165	Inf	Inf
0.2897	6.7673	Inf	Inf
0.3069	7.3044	Inf	Inf
0.3222	7.7581	Inf	Inf
0.3442	8.4865	Inf	Inf
0.3442	8.5897	Inf	Inf
0.3475	8.8163	Inf	Inf
0.3623	9.3260	Inf	Inf
0.4062	10.1361	Inf	Inf
0.4980	10.2327	Inf	Inf
0.5066	10.3429	Inf	Inf
0.5502	10.2349	Inf	Inf
0.5628	10.0183	Inf	Inf
0.5885	10.1119	Inf	Inf
0.5990	10.2694	Inf	Inf
0.6900	10.4283	Inf	Inf
0.7897	10.3239	Inf	Inf
0.8241	10.4263	Inf	Inf
0.8425	10.5222	Inf	Inf
0.9257	10.6928	Inf	Inf
0.9627	10.5851	Inf	Inf
1.0136	10.2474	Inf	Inf
1.0816	10.3498	Inf	Inf
1.1155	10.4508	Inf	Inf
1.1339	10.3331	Inf	Inf
1.1525	10.0412	Inf	Inf
1.1667	9.8479	Inf	Inf
1.1690	9.7024	Inf	Inf
1.1812	9.8044	Inf	Inf
1.2710	10.3288	Inf	Inf
1.3493	10.4264	Inf	Inf
1.4481	10.4743	Inf	Inf
1.4994	10.3711	Inf	Inf
1.6002	10.2853	Inf	Inf
1.7002	10.3734	Inf	Inf
1.7166	10.4692	Inf	Inf
1.7361	10.5676	Inf	Inf
1.7973	10.4637	Inf	Inf
1.8022	10.3627	Inf	Inf
1.8155	10.4690	Inf	Inf
1.8243	10.7613	Inf	Inf
1.9171	11.0713	Inf	Inf
1.9544	11.1726	Inf	Inf
2.0202	11.3007	Inf	Inf
2.1085	11.4008	Inf	Inf
2.1838	11.5003	Inf	Inf
2.2842	11.5936	Inf	Inf
2.3598	11.4835	Inf	Inf
2.3659	11.3180	Inf	Inf
2.3732	11.2159	Inf	Inf
2.3785	11.3197	Inf	Inf
2.4110	11.7418	Inf	Inf
2.4828	11.8790	Inf	Inf
2.5836	11.9593	Inf	Inf
2.6833	12.0565	Inf	Inf
2.7841	12.1574	Inf	Inf
2.8849	12.2514	Inf	Inf
2.9850	12.3144	Inf	Inf
3.0850	12.3496	Inf	Inf
3.1217	12.2354	Inf	Inf
3.1240	12.1320	Inf	Inf
3.1297	11.9810	Inf	Inf
3.1305	11.9871	Inf	Inf
3.1351	11.8862	Inf	Inf
3.2142	12.3294	Inf	Inf
3.2333	12.4280	Inf	Inf
3.3211	12.5268	Inf	Inf
3.4132	12.6258	Inf	Inf
3.5143	12.6835	Inf	Inf
3.6161	12.7256	Inf	Inf
3.7164	12.8129	Inf	Inf
3.8165	12.8191	Inf	Inf
3.9176	12.8060	Inf	Inf
3.9364	12.7002	Inf	Inf
3.9436	12.5351	Inf	Inf
3.9498	12.4333	Inf	Inf
3.9628	12.5289	Inf	Inf
3.9948	12.8403	Inf	Inf
4.0656	12.9648	Inf	Inf
4.1644	12.9787	Inf	Inf
4.2641	13.0056	Inf	Inf
4.3653	13.0563	Inf	Inf
4.4641	13.0612	Inf	Inf
4.5644	13.1185	Inf	Inf
4.6455	13.0017	Inf	Inf
4.6547	12.7134	Inf	Inf
4.6649	12.7103	Inf	Inf
4.6651	12.6124	Inf	Inf
4.7687	13.2188	Inf	Inf
4.8676	13.2627	Inf	Inf
4.9656	13.2511	Inf	Inf
5.0652	13.2422	Inf	Inf
5.1655	13.2177	Inf	Inf
5.2670	13.3080	Inf	Inf
5.3541	13.2007	Inf	Inf
5.3737	13.0893	Inf	Inf
5.3789	12.9798	Inf	Inf
5.3868	12.8429	Inf	Inf
5.3989	12.9432	Inf	Inf
5.4883	13.3429	Inf	Inf
5.5898	13.3573	Inf	Inf
5.6905	13.3595	Inf	Inf
5.7899	13.3476	Inf	Inf
5.8895	13.3691	Inf	Inf
5.9904	13.3095	Inf	Inf
6.0156	13.1977	Inf	Inf
6.0233	13.0512	Inf	Inf
6.0236	12.9021	Inf	Inf
6.0433	12.9985	Inf	Inf
6.1197	13.3998	Inf	Inf
6.2192	13.3708	Inf	Inf
6.3188	13.3946	Inf	Inf
6.4183	13.3894	Inf	Inf
6.5174	13.3387	Inf	Inf
6.6176	13.1193	Inf	Inf
6.6300	13.2200	Inf	Inf
6.6995	13.1143	Inf	Inf
6.7027	12.8924	Inf	Inf
6.7082	12.9881	Inf	Inf
6.7088	12.9936	Inf	Inf
6.7145	13.0828	Inf	Inf
6.8134	13.4234	Inf	Inf
6.9128	13.3978	Inf	Inf
7.0122	13.3492	Inf	Inf
7.1123	13.3397	Inf	Inf
7.2128	13.3423	Inf	Inf
7.3124	13.3345	Inf	Inf
7.4111	13.3406	Inf	Inf
7.4285	13.2300	Inf	Inf
7.4344	12.9971	Inf	Inf
7.4455	12.8959	Inf	Inf
7.4551	12.9978	Inf	Inf
7.5487	13.3997	Inf	Inf
7.6508	13.3916	Inf	Inf
7.7522	13.4141	Inf	Inf
7.8537	13.3959	Inf	Inf
7.9539	13.3766	Inf	Inf
8.0543	13.3429	Inf	Inf
8.1542	13.2330	Inf	Inf
8.1763	13.1291	Inf	Inf
8.1849	13.0250	Inf	Inf
8.1881	12.9227	Inf	Inf
8.1993	13.0297	Inf	Inf
8.2919	13.3531	Inf	Inf
8.3921	13.3276	Inf	Inf
8.4931	13.3468	Inf	Inf
8.5941	13.3431	Inf	Inf
8.6959	13.2982	Inf	Inf
8.7966	13.2885	Inf	Inf
8.8352	13.1825	Inf	Inf
8.8551	12.9066	Inf	Inf
8.8605	12.8065	Inf	Inf
8.8678	12.9034	Inf	Inf
8.9379	13.2885	Inf	Inf
9.0377	13.2501	Inf	Inf
9.1374	13.2912	Inf	Inf
9.2379	13.2587	Inf	Inf
9.3364	13.2047	Inf	Inf
9.4360	13.2109	Inf	Inf
9.5370	13.1700	Inf	Inf
9.5923	13.0652	Inf	Inf
9.6045	12.9564	Inf	Inf
9.6167	12.7404	Inf	Inf
9.6179	12.6394	Inf	Inf
9.6253	12.7398	Inf	Inf
9.6874	13.1479	Inf	Inf
9.7860	13.1070	Inf	Inf
9.8852	13.0395	Inf	Inf
9.9846	12.9837	Inf	Inf
10.0842	12.9129	Inf	Inf
10.1749	12.8086	Inf	Inf
10.2649	12.7064	Inf	Inf
10.3050	12.5957	Inf	Inf
10.3215	12.3593	Inf	Inf
10.3279	12.3546	Inf	Inf
10.3338	12.2577	Inf	Inf
10.3567	12.6222	Inf	Inf
10.4585	12.6256	Inf	Inf
10.5538	12.5203	Inf	Inf
10.6386	12.4167	Inf	Inf
10.7152	12.3134	Inf	Inf
10.7853	12.2082	Inf	Inf
10.8627	12.0981	Inf	Inf
10.9238	11.9902	Inf	Inf
10.9772	11.8854	Inf	Inf
11.0353	11.7800	Inf	Inf
11.1010	11.6763	Inf	Inf
11.1262	11.5580	Inf	Inf
11.1346	11.3314	Inf	Inf
11.1423	11.4322	Inf	Inf
11.1863	11.6328	Inf	Inf
11.2607	11.5248	Inf	Inf
11.3108	11.4168	Inf	Inf
11.3679	11.2580	Inf	Inf
11.4007	11.1006	Inf	Inf
11.4129	10.8598	Inf	Inf
11.4203	10.9619	Inf	Inf
11.4521	11.0634	Inf	Inf
11.5535	10.9581	Inf	Inf
11.6031	10.8409	Inf	Inf
11.6650	10.6943	Inf	Inf
11.7180	10.5579	Inf	Inf
11.7809	10.3958	Inf	Inf
11.8252	10.2746	Inf	Inf
11.8863	10.0272	Inf	Inf
11.9268	9.7602	Inf	Inf
11.9409	9.6595	Inf	Inf
11.9491	9.7547	Inf	Inf
12.0966	9.2397	Inf	Inf
12.2806	8.9416	Inf	Inf
12.5243	8.6443	Inf	Inf
12.7942	8.3461	Inf	Inf
13.1112	8.0461	Inf	Inf
13.4984	7.7446	Inf	Inf
13.9165	7.4423	Inf	Inf
Data End	

