Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 03.03.2023	Time: 11:37:34

Name:	23A tmber parallel to grain
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0997	0.0622	Inf	Inf
0.2002	0.0766	Inf	Inf
0.3002	0.0842	Inf	Inf
0.4010	0.0911	Inf	Inf
0.5011	0.1314	Inf	Inf
0.5924	0.2304	Inf	Inf
0.6481	0.3296	Inf	Inf
0.7008	0.4292	Inf	Inf
0.7467	0.5288	Inf	Inf
0.7959	0.6638	Inf	Inf
0.8517	0.7641	Inf	Inf
0.8776	0.8641	Inf	Inf
0.9479	0.9646	Inf	Inf
0.9838	1.0654	Inf	Inf
1.0437	1.1656	Inf	Inf
1.1370	1.2662	Inf	Inf
1.1957	1.3658	Inf	Inf
1.2952	1.4280	Inf	Inf
1.3655	1.3271	Inf	Inf
1.4353	1.4265	Inf	Inf
1.5350	1.5224	Inf	Inf
1.6346	1.5173	Inf	Inf
1.6847	1.4170	Inf	Inf
1.7841	1.5053	Inf	Inf
1.8841	1.5336	Inf	Inf
1.9836	1.4814	Inf	Inf
2.0840	1.4765	Inf	Inf
2.1527	1.3760	Inf	Inf
2.2300	1.4764	Inf	Inf
2.3300	1.5212	Inf	Inf
2.4304	1.5175	Inf	Inf
2.5305	1.5423	Inf	Inf
2.6305	1.5556	Inf	Inf
2.6734	1.4554	Inf	Inf
2.7734	1.5206	Inf	Inf
2.8392	1.6208	Inf	Inf
2.9388	1.6090	Inf	Inf
3.0392	1.6432	Inf	Inf
3.0917	1.5421	Inf	Inf
3.1920	1.6387	Inf	Inf
3.2926	1.7026	Inf	Inf
3.3937	1.6992	Inf	Inf
3.4932	1.6786	Inf	Inf
3.5011	1.5781	Inf	Inf
3.5629	1.6781	Inf	Inf
3.6630	1.7300	Inf	Inf
3.7633	1.7302	Inf	Inf
3.8623	1.6729	Inf	Inf
3.9046	1.4715	Inf	Inf
3.9160	1.5718	Inf	Inf
3.9806	1.5709	Inf	Inf
4.0813	1.6532	Inf	Inf
4.1821	1.6415	Inf	Inf
4.2043	1.5408	Inf	Inf
4.3038	1.6324	Inf	Inf
4.4037	1.6424	Inf	Inf
4.5040	1.6313	Inf	Inf
4.6040	1.5293	Inf	Inf
4.7039	1.5955	Inf	Inf
4.8035	1.6370	Inf	Inf
4.9037	1.6364	Inf	Inf
4.9595	1.5352	Inf	Inf
