Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 03.03.2023	Time: 11:45:35

Name:	23A timber perpendicular to grain
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0990	0.0125	Inf	Inf
0.1995	0.0059	Inf	Inf
0.3003	0.0011	Inf	Inf
0.3996	0.0076	Inf	Inf
0.4993	0.0028	Inf	Inf
0.5989	0.0095	Inf	Inf
0.6994	0.0049	Inf	Inf
0.8006	0.0438	Inf	Inf
0.8495	0.1448	Inf	Inf
0.8674	0.2459	Inf	Inf
0.8961	0.4684	Inf	Inf
0.9117	0.7112	Inf	Inf
0.9205	0.9114	Inf	Inf
0.9369	1.0406	Inf	Inf
0.9450	1.2286	Inf	Inf
0.9595	1.4411	Inf	Inf
0.9740	1.6099	Inf	Inf
0.9877	1.8240	Inf	Inf
0.9980	2.0017	Inf	Inf
1.0137	2.2770	Inf	Inf
1.0255	2.5107	Inf	Inf
1.0271	2.6515	Inf	Inf
1.0347	2.9100	Inf	Inf
1.0454	3.2411	Inf	Inf
1.0622	3.5812	Inf	Inf
1.0645	3.3374	Inf	Inf
1.0721	3.7379	Inf	Inf
1.0805	3.9415	Inf	Inf
1.0901	4.1827	Inf	Inf
1.1019	4.5559	Inf	Inf
1.1046	4.4550	Inf	Inf
1.1084	4.6523	Inf	Inf
1.1115	4.5524	Inf	Inf
1.1161	4.9228	Inf	Inf
1.1321	5.1893	Inf	Inf
1.1325	5.4074	Inf	Inf
1.1436	5.5980	Inf	Inf
1.1497	5.7114	Inf	Inf
1.1611	5.9545	Inf	Inf
1.1692	6.1401	Inf	Inf
1.1730	6.2392	Inf	Inf
1.1737	6.3413	Inf	Inf
1.1844	6.5245	Inf	Inf
1.1898	6.7204	Inf	Inf
1.1982	6.8229	Inf	Inf
1.2066	7.0684	Inf	Inf
1.2089	6.9187	Inf	Inf
1.2173	7.2742	Inf	Inf
1.2253	7.4869	Inf	Inf
1.2326	7.7354	Inf	Inf
1.2440	7.6344	Inf	Inf
1.2482	7.7355	Inf	Inf
1.2585	7.9746	Inf	Inf
1.2593	7.8625	Inf	Inf
1.2600	8.1491	Inf	Inf
1.2631	8.4118	Inf	Inf
1.2803	8.5078	Inf	Inf
1.2845	8.7239	Inf	Inf
1.2887	8.5171	Inf	Inf
1.2895	8.6174	Inf	Inf
1.3051	8.7115	Inf	Inf
1.3066	8.6136	Inf	Inf
1.3066	9.1022	Inf	Inf
1.3212	9.1996	Inf	Inf
1.3280	9.3009	Inf	Inf
1.3284	9.4016	Inf	Inf
1.3387	9.5810	Inf	Inf
1.3552	9.6817	Inf	Inf
1.3582	9.7822	Inf	Inf
1.3700	9.7902	Inf	Inf
1.3727	9.9112	Inf	Inf
1.3831	9.8934	Inf	Inf
1.4021	9.9923	Inf	Inf
1.4109	10.0975	Inf	Inf
1.4174	10.1975	Inf	Inf
1.4330	10.3982	Inf	Inf
1.4384	10.2974	Inf	Inf
1.4404	10.2980	Inf	Inf
1.4449	10.3912	Inf	Inf
1.4529	10.4256	Inf	Inf
1.4617	10.5770	Inf	Inf
1.4694	10.5252	Inf	Inf
1.4896	10.6277	Inf	Inf
1.5037	10.7284	Inf	Inf
1.5132	10.8282	Inf	Inf
1.5393	10.9281	Inf	Inf
1.5526	11.0256	Inf	Inf
1.5732	10.5716	Inf	Inf
1.5743	10.9197	Inf	Inf
1.5767	10.8183	Inf	Inf
1.5855	10.4704	Inf	Inf
1.5905	10.6814	Inf	Inf
1.5942	10.3701	Inf	Inf
1.5988	10.4724	Inf	Inf
1.6027	10.6567	Inf	Inf
1.6141	11.1201	Inf	Inf
1.6199	11.2399	Inf	Inf
1.6423	11.3450	Inf	Inf
1.6734	11.4444	Inf	Inf
1.7375	11.3321	Inf	Inf
1.7570	11.4329	Inf	Inf
1.7722	11.5355	Inf	Inf
1.8162	11.3210	Inf	Inf
1.8292	10.9088	Inf	Inf
1.8346	10.7067	Inf	Inf
1.8402	10.5779	Inf	Inf
1.8453	10.4765	Inf	Inf
1.8532	10.5801	Inf	Inf
1.8590	10.8570	Inf	Inf
1.8716	11.2596	Inf	Inf
1.8918	11.5290	Inf	Inf
1.9499	11.4200	Inf	Inf
1.9755	11.3077	Inf	Inf
2.0500	11.1946	Inf	Inf
2.1508	11.2883	Inf	Inf
2.1634	11.3867	Inf	Inf
2.2039	10.9967	Inf	Inf
2.2302	10.4697	Inf	Inf
2.2360	10.2404	Inf	Inf
2.2467	10.0953	Inf	Inf
2.2631	10.1967	Inf	Inf
2.2719	10.3544	Inf	Inf
2.2790	10.8731	Inf	Inf
2.3197	10.9742	Inf	Inf
2.3674	10.8648	Inf	Inf
2.3901	10.9637	Inf	Inf
2.4365	10.8574	Inf	Inf
2.4720	10.7553	Inf	Inf
2.5197	10.6414	Inf	Inf
2.5528	10.7387	Inf	Inf
2.5755	10.8391	Inf	Inf
2.6336	10.4390	Inf	Inf
2.6500	9.9738	Inf	Inf
2.6620	9.7512	Inf	Inf
2.6685	9.6157	Inf	Inf
2.6731	9.5125	Inf	Inf
2.6868	9.6198	Inf	Inf
2.6963	9.9556	Inf	Inf
2.7073	10.0623	Inf	Inf
2.7376	10.1653	Inf	Inf
2.7521	10.2620	Inf	Inf
2.7829	10.3627	Inf	Inf
2.8102	10.4608	Inf	Inf
2.8734	10.5642	Inf	Inf
2.9111	10.6675	Inf	Inf
2.9523	10.4960	Inf	Inf
2.9702	9.9888	Inf	Inf
2.9759	9.7329	Inf	Inf
2.9822	9.5861	Inf	Inf
3.0043	9.6798	Inf	Inf
3.0104	9.8328	Inf	Inf
3.0260	9.9352	Inf	Inf
3.0486	10.1335	Inf	Inf
3.0758	10.2376	Inf	Inf
3.1005	10.3442	Inf	Inf
3.1613	10.4483	Inf	Inf
3.2304	10.3401	Inf	Inf
3.2595	10.2348	Inf	Inf
3.2838	10.3371	Inf	Inf
3.3110	10.0572	Inf	Inf
3.3336	9.6952	Inf	Inf
