Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 03.03.2023	Time: 15:09:48

Name:	24B Aluminium
User Comment:	Mathias, Armando, Yifan, Dominic, Euan

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0656	0.1000	Inf	Inf
0.1664	0.1334	Inf	Inf
0.2664	0.1296	Inf	Inf
0.3679	0.1431	Inf	Inf
0.4679	0.1525	Inf	Inf
0.5671	0.1604	Inf	Inf
0.6687	0.1555	Inf	Inf
0.7687	0.1626	Inf	Inf
0.8694	0.1690	Inf	Inf
0.9686	0.1656	Inf	Inf
1.0686	0.1709	Inf	Inf
1.1091	0.3713	Inf	Inf
1.1114	0.2724	Inf	Inf
1.1175	0.6089	Inf	Inf
1.1183	0.4729	Inf	Inf
1.1205	1.1653	Inf	Inf
1.1328	1.3729	Inf	Inf
1.1335	1.4752	Inf	Inf
1.1427	1.8060	Inf	Inf
1.1579	2.3827	Inf	Inf
1.1839	2.9912	Inf	Inf
1.2121	3.6660	Inf	Inf
1.2160	3.5656	Inf	Inf
1.2602	4.0178	Inf	Inf
1.3083	4.1654	Inf	Inf
1.3617	4.3093	Inf	Inf
1.4083	4.4086	Inf	Inf
1.4358	4.5105	Inf	Inf
1.4488	4.6439	Inf	Inf
1.5190	4.7447	Inf	Inf
1.5656	4.8444	Inf	Inf
1.6197	4.9414	Inf	Inf
1.6961	5.0426	Inf	Inf
1.7228	5.2082	Inf	Inf
1.8228	5.3041	Inf	Inf
1.9029	5.4034	Inf	Inf
1.9915	5.5042	Inf	Inf
2.0877	5.6043	Inf	Inf
2.1655	5.7092	Inf	Inf
2.1739	5.8133	Inf	Inf
2.2747	5.8433	Inf	Inf
2.3747	5.8662	Inf	Inf
2.4754	5.9347	Inf	Inf
2.5693	6.0370	Inf	Inf
2.6701	6.0479	Inf	Inf
2.7701	6.0610	Inf	Inf
2.8594	6.1599	Inf	Inf
2.9594	6.1457	Inf	Inf
3.0586	6.1921	Inf	Inf
3.1593	6.2300	Inf	Inf
3.2601	6.2071	Inf	Inf
3.3609	6.2394	Inf	Inf
3.4616	6.1914	Inf	Inf
3.5051	6.2914	Inf	Inf
3.6059	6.2974	Inf	Inf
3.7059	6.3083	Inf	Inf
3.8059	6.2989	Inf	Inf
3.8738	6.1970	Inf	Inf
3.8761	6.3016	Inf	Inf
3.9761	6.3353	Inf	Inf
4.0761	6.3282	Inf	Inf
4.1761	6.3484	Inf	Inf
4.2371	6.2465	Inf	Inf
4.2433	6.3435	Inf	Inf
4.3425	6.3555	Inf	Inf
4.4432	6.3270	Inf	Inf
4.5432	6.3285	Inf	Inf
4.5990	6.2255	Inf	Inf
4.6112	6.3248	Inf	Inf
4.7112	6.3476	Inf	Inf
4.8104	6.3371	Inf	Inf
4.9096	6.3371	Inf	Inf
4.9653	6.2352	Inf	Inf
4.9684	6.3371	Inf	Inf
5.0676	6.3312	Inf	Inf
5.1669	6.3038	Inf	Inf
5.2669	6.2824	Inf	Inf
5.2936	6.3866	Inf	Inf
5.2951	6.1809	Inf	Inf
5.2989	6.2783	Inf	Inf
5.3417	6.2824	Inf	Inf
5.4417	6.2952	Inf	Inf
5.5424	6.2461	Inf	Inf
5.6424	6.1929	Inf	Inf
5.7424	6.1520	Inf	Inf
5.8432	6.0917	Inf	Inf
5.9431	6.0355	Inf	Inf
5.9943	5.9329	Inf	Inf
6.0027	6.0359	Inf	Inf
6.1027	5.9445	Inf	Inf
6.2034	5.8647	Inf	Inf
6.2859	5.7575	Inf	Inf
6.3859	5.7182	Inf	Inf
6.4859	5.6174	Inf	Inf
6.5859	5.5361	Inf	Inf
6.6675	5.4330	Inf	Inf
6.7469	5.3304	Inf	Inf
6.8477	5.2622	Inf	Inf
6.9248	5.1591	Inf	Inf
6.9767	5.0340	Inf	Inf
7.0782	4.7481	Inf	Inf
7.1477	4.5952	Inf	Inf
7.2209	4.4412	Inf	Inf
7.2927	4.2880	Inf	Inf
7.3621	4.1373	Inf	Inf
Data End	

