Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 03.03.2023	Time: 16:49:43

Name:	Group 35b Aluminium
User Comment:	Luke Harknett, Maciek Iskra, Iti Agarwal, Harman Singh

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0012	0.1032	Inf	Inf
0.0077	0.2048	Inf	Inf
0.0361	0.6304	Inf	Inf
0.0655	1.2447	Inf	Inf
0.0944	1.8444	Inf	Inf
0.0962	2.0136	Inf	Inf
0.1101	2.3857	Inf	Inf
0.1435	3.0362	Inf	Inf
0.1849	3.7075	Inf	Inf
0.2451	3.9778	Inf	Inf
0.2804	4.0772	Inf	Inf
0.3228	4.2107	Inf	Inf
0.3809	4.3550	Inf	Inf
0.4122	4.4547	Inf	Inf
0.4636	4.5549	Inf	Inf
0.5006	4.6535	Inf	Inf
0.5330	4.7525	Inf	Inf
0.5900	4.8502	Inf	Inf
0.6604	4.9476	Inf	Inf
0.7078	5.0463	Inf	Inf
0.7697	5.1443	Inf	Inf
0.8374	5.2439	Inf	Inf
0.9010	5.3430	Inf	Inf
0.9723	5.4409	Inf	Inf
1.0736	5.5395	Inf	Inf
1.1736	5.6241	Inf	Inf
1.2736	5.5984	Inf	Inf
1.2834	5.6971	Inf	Inf
1.3711	5.7970	Inf	Inf
1.4707	5.8380	Inf	Inf
1.5712	5.9121	Inf	Inf
1.6701	5.9456	Inf	Inf
1.7692	5.9660	Inf	Inf
1.8695	5.9590	Inf	Inf
1.9704	6.0419	Inf	Inf
2.0707	5.9999	Inf	Inf
2.1703	6.0796	Inf	Inf
2.2693	6.1264	Inf	Inf
2.3686	6.1357	Inf	Inf
2.4698	6.1342	Inf	Inf
2.5111	6.0317	Inf	Inf
2.5408	6.1331	Inf	Inf
2.6409	6.1410	Inf	Inf
2.7406	6.1657	Inf	Inf
2.8410	6.1609	Inf	Inf
2.9412	6.1582	Inf	Inf
3.0406	6.2188	Inf	Inf
3.1422	6.2365	Inf	Inf
3.2411	6.2163	Inf	Inf
3.2707	6.1147	Inf	Inf
3.2898	6.2134	Inf	Inf
3.3900	6.2473	Inf	Inf
3.4900	6.2498	Inf	Inf
3.5379	6.1472	Inf	Inf
3.5471	6.2483	Inf	Inf
3.6464	6.2411	Inf	Inf
3.7467	6.1858	Inf	Inf
3.7650	6.2862	Inf	Inf
3.8651	6.1945	Inf	Inf
3.9644	6.2425	Inf	Inf
4.0642	6.2257	Inf	Inf
4.1642	6.1425	Inf	Inf
4.1671	6.2450	Inf	Inf
4.1732	6.4066	Inf	Inf
4.2251	6.3046	Inf	Inf
4.3249	6.2399	Inf	Inf
4.4254	6.2160	Inf	Inf
4.5247	6.1894	Inf	Inf
4.6240	6.1690	Inf	Inf
4.7146	6.0679	Inf	Inf
4.7199	6.1666	Inf	Inf
4.8204	6.1332	Inf	Inf
4.9198	6.1019	Inf	Inf
5.0191	6.0542	Inf	Inf
5.0629	5.9516	Inf	Inf
5.1628	5.9824	Inf	Inf
5.2624	5.9265	Inf	Inf
5.3618	5.8621	Inf	Inf
5.4523	5.7573	Inf	Inf
5.5518	5.7386	Inf	Inf
5.6532	5.6512	Inf	Inf
5.7531	5.5663	Inf	Inf
5.8389	5.4577	Inf	Inf
5.9391	5.4042	Inf	Inf
6.0097	5.2993	Inf	Inf
6.1100	5.2248	Inf	Inf
6.1901	5.1221	Inf	Inf
6.2458	5.0170	Inf	Inf
6.3150	4.8332	Inf	Inf
6.4490	4.5427	Inf	Inf
6.5333	4.3940	Inf	Inf
6.6185	4.2416	Inf	Inf
6.7067	4.0884	Inf	Inf
6.7918	3.9351	Inf	Inf
Data End	

