Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 03.03.2023	Time: 16:29:37

Name:	Group 35b  Parellel to Grain
User Comment:	Luke Harknett, Maciek Iskra,Harman Singh, Iti Agarwal

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0998	0.0317	Inf	Inf
0.1995	0.0258	Inf	Inf
0.2989	0.0115	Inf	Inf
0.3995	0.0326	Inf	Inf
0.4993	0.0183	Inf	Inf
0.5993	0.0238	Inf	Inf
0.6986	0.0328	Inf	Inf
0.7977	0.0248	Inf	Inf
0.8984	0.0241	Inf	Inf
0.9985	0.0150	Inf	Inf
1.0981	0.0186	Inf	Inf
1.1973	0.0114	Inf	Inf
1.2979	0.0294	Inf	Inf
1.3968	0.0215	Inf	Inf
1.4973	0.0208	Inf	Inf
1.5971	0.1136	Inf	Inf
1.6283	0.2138	Inf	Inf
1.6562	0.3165	Inf	Inf
1.6932	0.5843	Inf	Inf
1.7159	0.6823	Inf	Inf
1.7482	1.1043	Inf	Inf
1.7677	1.3149	Inf	Inf
1.7750	1.4652	Inf	Inf
1.7861	1.5646	Inf	Inf
1.7909	1.6646	Inf	Inf
1.7916	2.0941	Inf	Inf
1.7937	1.7753	Inf	Inf
1.7995	1.8774	Inf	Inf
1.8050	2.3829	Inf	Inf
1.8130	2.5819	Inf	Inf
1.8139	2.4812	Inf	Inf
1.8146	2.7773	Inf	Inf
1.8263	2.9103	Inf	Inf
1.8302	3.0110	Inf	Inf
1.8326	3.2168	Inf	Inf
1.8444	3.6117	Inf	Inf
1.8526	3.7731	Inf	Inf
1.8589	3.9615	Inf	Inf
1.8683	4.2426	Inf	Inf
1.8754	4.3883	Inf	Inf
1.8871	4.6845	Inf	Inf
1.8962	4.8994	Inf	Inf
1.9040	5.0582	Inf	Inf
1.9144	5.3004	Inf	Inf
1.9242	5.5829	Inf	Inf
