Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 03.03.2023	Time: 16:35:39

Name:	Group 35b Perpendicular Wood
User Comment:	Luke Harknett, Maciek Iskra, Iti Agarwal, Harman Singh

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0990	0.0958	Inf	Inf
0.1985	0.0856	Inf	Inf
0.2986	0.0918	Inf	Inf
0.3989	0.0820	Inf	Inf
0.5000	0.0821	Inf	Inf
0.6000	0.0776	Inf	Inf
0.7007	0.0782	Inf	Inf
0.8000	0.0778	Inf	Inf
0.8993	0.0689	Inf	Inf
1.0003	0.0757	Inf	Inf
1.1004	0.1374	Inf	Inf
1.1593	0.2377	Inf	Inf
1.1935	0.3458	Inf	Inf
1.2587	0.7213	Inf	Inf
1.2759	0.8222	Inf	Inf
1.2890	0.9217	Inf	Inf
1.3000	1.0215	Inf	Inf
1.3248	1.1918	Inf	Inf
1.3676	1.6099	Inf	Inf
1.4292	1.7216	Inf	Inf
1.5305	1.7180	Inf	Inf
1.6303	1.7076	Inf	Inf
1.7296	1.7680	Inf	Inf
1.8268	1.8228	Inf	Inf
1.9274	1.8076	Inf	Inf
1.9815	1.7036	Inf	Inf
1.9885	1.6012	Inf	Inf
2.0114	1.6978	Inf	Inf
2.0904	1.8129	Inf	Inf
2.1908	1.8240	Inf	Inf
2.2911	1.8353	Inf	Inf
2.3912	1.8769	Inf	Inf
2.4914	1.8717	Inf	Inf
2.5910	1.8761	Inf	Inf
2.6915	1.9462	Inf	Inf
2.7908	1.9623	Inf	Inf
2.8923	1.9733	Inf	Inf
2.9927	1.9820	Inf	Inf
3.0925	1.9919	Inf	Inf
3.1936	2.0351	Inf	Inf
3.2929	2.0606	Inf	Inf
3.3923	2.0510	Inf	Inf
3.4916	2.0830	Inf	Inf
3.5905	2.0730	Inf	Inf
3.6898	2.0734	Inf	Inf
3.7910	2.1221	Inf	Inf
3.8906	2.1317	Inf	Inf
3.9906	2.1082	Inf	Inf
4.0892	2.1786	Inf	Inf
4.1912	2.2233	Inf	Inf
4.2929	2.2259	Inf	Inf
4.3914	2.2505	Inf	Inf
4.4921	2.1502	Inf	Inf
4.5915	2.2203	Inf	Inf
4.6923	2.1717	Inf	Inf
4.7928	2.2204	Inf	Inf
4.8924	2.2175	Inf	Inf
4.9922	2.2239	Inf	Inf
5.0926	2.2792	Inf	Inf
5.1928	2.2775	Inf	Inf
5.2519	2.3766	Inf	Inf
5.3518	2.3061	Inf	Inf
5.4221	2.4054	Inf	Inf
5.5218	2.3302	Inf	Inf
5.6221	2.4137	Inf	Inf
5.7203	2.4158	Inf	Inf
5.8192	2.4378	Inf	Inf
5.9187	2.4458	Inf	Inf
5.9975	2.3369	Inf	Inf
6.0451	2.4372	Inf	Inf
6.1462	2.5325	Inf	Inf
6.2464	2.5868	Inf	Inf
6.3464	2.6220	Inf	Inf
6.4472	2.6760	Inf	Inf
6.5475	2.6952	Inf	Inf
6.6490	2.7148	Inf	Inf
6.7485	2.7178	Inf	Inf
6.8491	2.7332	Inf	Inf
6.9487	2.7856	Inf	Inf
7.0491	2.8050	Inf	Inf
7.1494	2.8185	Inf	Inf
7.2488	2.8771	Inf	Inf
7.3499	2.8808	Inf	Inf
7.4515	2.9416	Inf	Inf
7.5501	2.8458	Inf	Inf
7.5936	2.9498	Inf	Inf
7.6570	3.0531	Inf	Inf
7.7581	3.0744	Inf	Inf
7.8594	3.1247	Inf	Inf
7.9584	3.1728	Inf	Inf
8.0565	3.1917	Inf	Inf
8.1562	3.2353	Inf	Inf
8.2572	3.2454	Inf	Inf
8.3565	3.3236	Inf	Inf
8.4570	3.3387	Inf	Inf
8.5568	3.4295	Inf	Inf
8.6576	3.5293	Inf	Inf
8.7580	3.5789	Inf	Inf
8.8582	3.4960	Inf	Inf
8.9159	3.5994	Inf	Inf
9.0159	3.6598	Inf	Inf
9.1170	3.7429	Inf	Inf
9.2135	3.8414	Inf	Inf
9.3136	3.8988	Inf	Inf
9.4139	3.9526	Inf	Inf
9.5139	3.8512	Inf	Inf
9.5562	3.9456	Inf	Inf
9.5793	4.0457	Inf	Inf
9.6616	4.1784	Inf	Inf
9.6977	4.0690	Inf	Inf
9.7876	4.1726	Inf	Inf
9.8077	4.2742	Inf	Inf
9.8911	4.4552	Inf	Inf
9.9533	4.3486	Inf	Inf
10.0361	4.4550	Inf	Inf
10.0688	4.5573	Inf	Inf
10.1679	4.4048	Inf	Inf
10.1975	4.5073	Inf	Inf
10.2510	4.6460	Inf	Inf
10.3090	4.7454	Inf	Inf
10.4095	4.8359	Inf	Inf
10.5098	4.9190	Inf	Inf
10.5315	5.0242	Inf	Inf
10.6321	5.0168	Inf	Inf
10.6532	5.1254	Inf	Inf
10.6879	5.2425	Inf	Inf
10.7878	5.2116	Inf	Inf
10.8762	5.3135	Inf	Inf
10.9773	5.3862	Inf	Inf
11.0763	5.4089	Inf	Inf
11.1779	5.4400	Inf	Inf
11.1998	5.5406	Inf	Inf
11.2797	5.6519	Inf	Inf
11.3296	5.7532	Inf	Inf
11.4249	5.6458	Inf	Inf
11.4325	5.5301	Inf	Inf
11.4758	5.6353	Inf	Inf
11.5364	6.0890	Inf	Inf
11.5825	6.2665	Inf	Inf
11.6418	6.4001	Inf	Inf
11.7421	6.3367	Inf	Inf
11.7813	6.4324	Inf	Inf
11.8445	6.5403	Inf	Inf
11.9206	6.6386	Inf	Inf
11.9461	6.8105	Inf	Inf
12.0261	7.1800	Inf	Inf
12.0510	7.2764	Inf	Inf
12.1123	7.3917	Inf	Inf
12.2078	7.4937	Inf	Inf
12.2338	7.5946	Inf	Inf
12.3336	7.5629	Inf	Inf
12.3744	7.6627	Inf	Inf
12.3917	7.7800	Inf	Inf
12.4763	8.4305	Inf	Inf
12.5462	8.5298	Inf	Inf
12.5776	8.8166	Inf	Inf
12.6530	8.9191	Inf	Inf
12.6792	9.0224	Inf	Inf
12.7565	9.4096	Inf	Inf
12.8552	9.5108	Inf	Inf
12.8959	9.3998	Inf	Inf
12.9121	8.9891	Inf	Inf
12.9221	8.7115	Inf	Inf
12.9448	8.8139	Inf	Inf
12.9942	9.5305	Inf	Inf
13.0313	10.2703	Inf	Inf
13.0954	10.5429	Inf	Inf
13.1155	10.6556	Inf	Inf
13.1874	11.0117	Inf	Inf
13.2172	11.5509	Inf	Inf
13.2665	11.7702	Inf	Inf
13.2907	11.0978	Inf	Inf
13.3185	11.2014	Inf	Inf
13.3356	11.6983	Inf	Inf
13.4190	13.0325	Inf	Inf
13.4474	12.9155	Inf	Inf
13.4665	12.4636	Inf	Inf
13.4808	12.1480	Inf	Inf
13.4904	11.9488	Inf	Inf
13.4976	11.8051	Inf	Inf
13.4990	11.6900	Inf	Inf
13.5050	11.5890	Inf	Inf
13.5069	11.4873	Inf	Inf
13.5098	11.1800	Inf	Inf
13.5111	11.3850	Inf	Inf
13.5145	11.2820	Inf	Inf
Data End	

