Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 03.03.2023	Time: 16:54:12

Name:	Group 35b Steel
User Comment:	Luke Harknett, Maciek Iskra, Iti Agarwal, Harman Singh

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0063	0.0994	Inf	Inf
0.0232	0.3394	Inf	Inf
0.0473	0.7087	Inf	Inf
0.0717	0.9804	Inf	Inf
0.0746	1.0821	Inf	Inf
0.0803	1.2709	Inf	Inf
0.1039	1.8393	Inf	Inf
0.1163	2.4123	Inf	Inf
0.1414	3.1531	Inf	Inf
0.1536	3.5025	Inf	Inf
0.1706	4.2305	Inf	Inf
0.1854	4.5302	Inf	Inf
0.1963	5.0512	Inf	Inf
0.2076	5.4717	Inf	Inf
0.2102	5.7132	Inf	Inf
0.2410	6.5031	Inf	Inf
0.2500	6.6793	Inf	Inf
0.2583	7.0839	Inf	Inf
0.2767	7.8475	Inf	Inf
0.2971	8.6008	Inf	Inf
0.3153	9.4255	Inf	Inf
0.3478	10.6280	Inf	Inf
0.4299	10.4912	Inf	Inf
0.4581	10.0759	Inf	Inf
0.4739	9.8548	Inf	Inf
0.5637	8.8511	Inf	Inf
0.5780	8.7431	Inf	Inf
0.5981	8.4292	Inf	Inf
0.6084	8.2457	Inf	Inf
0.6124	8.1447	Inf	Inf
0.6218	8.0435	Inf	Inf
0.6281	8.1438	Inf	Inf
0.6394	8.3375	Inf	Inf
0.6786	8.6670	Inf	Inf
0.7588	8.5501	Inf	Inf
0.8291	8.4406	Inf	Inf
0.8653	8.3349	Inf	Inf
0.8933	8.4378	Inf	Inf
0.9585	8.6188	Inf	Inf
0.9979	8.7176	Inf	Inf
1.0606	8.8182	Inf	Inf
1.1092	8.9193	Inf	Inf
1.1940	9.0185	Inf	Inf
1.2837	9.1179	Inf	Inf
1.3759	9.0066	Inf	Inf
1.3848	8.8104	Inf	Inf
1.3868	8.7018	Inf	Inf
1.3985	8.4877	Inf	Inf
1.4174	8.5820	Inf	Inf
1.4594	9.2218	Inf	Inf
1.5185	9.4553	Inf	Inf
1.5622	9.5588	Inf	Inf
1.6216	9.6591	Inf	Inf
1.6679	9.7589	Inf	Inf
1.7219	9.8597	Inf	Inf
1.7829	9.9591	Inf	Inf
1.8421	10.0593	Inf	Inf
1.9028	10.1612	Inf	Inf
1.9793	10.2601	Inf	Inf
2.0610	10.3599	Inf	Inf
2.1296	10.4596	Inf	Inf
2.1916	10.3533	Inf	Inf
2.1928	10.2511	Inf	Inf
2.1989	10.1476	Inf	Inf
2.2078	10.2467	Inf	Inf
2.2262	10.5481	Inf	Inf
2.2987	10.7009	Inf	Inf
2.3699	10.7996	Inf	Inf
2.4699	10.8256	Inf	Inf
2.5627	10.9254	Inf	Inf
2.6182	11.0223	Inf	Inf
2.7113	11.1239	Inf	Inf
2.8116	11.2105	Inf	Inf
2.9112	11.2220	Inf	Inf
3.0108	11.2492	Inf	Inf
3.0145	11.0427	Inf	Inf
3.0150	11.1463	Inf	Inf
3.0166	10.9408	Inf	Inf
3.0291	11.0373	Inf	Inf
3.0478	11.3244	Inf	Inf
3.1321	11.4948	Inf	Inf
3.2327	11.5197	Inf	Inf
3.3321	11.5557	Inf	Inf
3.4325	11.6215	Inf	Inf
3.5251	11.7200	Inf	Inf
3.6255	11.7551	Inf	Inf
3.7242	11.7648	Inf	Inf
3.8168	11.6616	Inf	Inf
3.8179	11.5564	Inf	Inf
3.8239	11.4545	Inf	Inf
3.8279	11.3528	Inf	Inf
3.8336	11.4599	Inf	Inf
3.9297	11.9077	Inf	Inf
4.0294	11.9441	Inf	Inf
4.1299	11.9733	Inf	Inf
4.2289	11.9924	Inf	Inf
4.3285	12.0216	Inf	Inf
4.4282	12.0974	Inf	Inf
4.5282	12.1235	Inf	Inf
4.6290	12.1534	Inf	Inf
4.7289	12.1457	Inf	Inf
4.7483	12.0386	Inf	Inf
