Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 13.02.2023	Time: 14:51:12

Name:	aluminium alloy
User Comment:	Jacky chen, Nicole Caitlyn Kretz,jasmine walker, Kate Harvey, Jason You.

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0214	0.1008	Inf	Inf
0.0374	0.2012	Inf	Inf
0.0511	0.3013	Inf	Inf
0.0595	0.4017	Inf	Inf
0.0656	0.5013	Inf	Inf
0.0748	0.6014	Inf	Inf
0.0801	0.7010	Inf	Inf
0.0870	0.8018	Inf	Inf
0.0901	0.9015	Inf	Inf
0.0977	1.0019	Inf	Inf
0.1053	1.1023	Inf	Inf
0.1160	1.2016	Inf	Inf
0.1313	1.3006	Inf	Inf
0.1351	1.4006	Inf	Inf
0.1420	1.4995	Inf	Inf
0.1473	1.5999	Inf	Inf
0.1511	1.7000	Inf	Inf
0.1603	1.7989	Inf	Inf
0.1664	1.8986	Inf	Inf
0.1695	2.0979	Inf	Inf
0.1717	2.1983	Inf	Inf
0.1801	2.4048	Inf	Inf
0.1809	2.2980	Inf	Inf
0.1954	2.6532	Inf	Inf
0.1962	2.5524	Inf	Inf
0.2023	2.8536	Inf	Inf
0.2061	2.7532	Inf	Inf
0.2130	2.9526	Inf	Inf
0.2183	3.1508	Inf	Inf
0.2198	3.0519	Inf	Inf
0.2275	3.2501	Inf	Inf
0.2359	3.3501	Inf	Inf
0.2374	3.4498	Inf	Inf
0.2473	3.5502	Inf	Inf
0.2549	3.6499	Inf	Inf
0.2717	3.7503	Inf	Inf
0.3038	3.8499	Inf	Inf
0.3328	3.9507	Inf	Inf
0.3603	4.0508	Inf	Inf
0.4053	4.1516	Inf	Inf
0.4481	4.2512	Inf	Inf
0.4664	4.3524	Inf	Inf
0.5221	4.4517	Inf	Inf
0.5618	4.5514	Inf	Inf
0.6030	4.6514	Inf	Inf
0.6687	4.7522	Inf	Inf
0.7160	4.8519	Inf	Inf
0.7488	4.9527	Inf	Inf
0.8045	5.0527	Inf	Inf
0.8854	5.1531	Inf	Inf
0.9854	5.2445	Inf	Inf
1.0564	5.3438	Inf	Inf
1.1190	5.4450	Inf	Inf
1.2190	5.4814	Inf	Inf
1.2488	5.5810	Inf	Inf
1.3488	5.6016	Inf	Inf
1.4007	5.7013	Inf	Inf
1.5007	5.6522	Inf	Inf
1.5373	5.7526	Inf	Inf
1.6373	5.8392	Inf	Inf
1.7381	5.8598	Inf	Inf
1.8381	5.8538	Inf	Inf
1.9380	5.9078	Inf	Inf
1.9938	6.0082	Inf	Inf
2.0938	5.9362	Inf	Inf
2.1335	6.0363	Inf	Inf
2.2335	6.0617	Inf	Inf
2.3220	5.9610	Inf	Inf
2.4220	6.0400	Inf	Inf
2.5220	6.0771	Inf	Inf
2.6220	6.1292	Inf	Inf
2.6655	6.0284	Inf	Inf
2.6693	6.1284	Inf	Inf
2.7693	6.0857	Inf	Inf
2.8701	6.1206	Inf	Inf
2.9700	6.1292	Inf	Inf
3.0700	6.1416	Inf	Inf
3.1708	6.1438	Inf	Inf
3.2708	6.0726	Inf	Inf
3.3685	6.1727	Inf	Inf
3.4693	6.1491	Inf	Inf
3.5692	6.1764	Inf	Inf
3.6700	6.1374	Inf	Inf
3.7700	6.1468	Inf	Inf
3.8708	6.1187	Inf	Inf
3.9707	6.1348	Inf	Inf
3.9822	6.0333	Inf	Inf
3.9875	6.1348	Inf	Inf
3.9982	6.2345	Inf	Inf
4.0135	6.1296	Inf	Inf
4.0997	6.0273	Inf	Inf
4.1081	6.1284	Inf	Inf
4.2081	6.0314	Inf	Inf
4.3089	6.0010	Inf	Inf
4.4089	5.9722	Inf	Inf
4.5089	5.9115	Inf	Inf
4.6096	5.8579	Inf	Inf
4.7096	5.8070	Inf	Inf
4.8104	5.7305	Inf	Inf
4.9096	5.6368	Inf	Inf
5.0096	5.5559	Inf	Inf
5.1066	5.4536	Inf	Inf
5.2066	5.3674	Inf	Inf
5.2928	5.2663	Inf	Inf
5.3905	5.1647	Inf	Inf
5.4592	5.0621	Inf	Inf
5.5348	4.8391	Inf	Inf
5.6340	4.5420	Inf	Inf
5.7012	4.3876	Inf	Inf
5.7714	4.2329	Inf	Inf
5.9012	3.9253	Inf	Inf
Data End	

