Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 13.02.2023	Time: 14:31:16

Name:	steel
User Comment:	Jacky chen, Nicole Caitlyn Kretz,jasmine walker, Kate Harvey, Jason You.

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0084	0.0997	Inf	Inf
0.0252	0.2207	Inf	Inf
0.0366	0.3211	Inf	Inf
0.0405	0.4208	Inf	Inf
0.0466	0.5231	Inf	Inf
0.0542	0.6254	Inf	Inf
0.0649	0.7254	Inf	Inf
0.0679	0.8775	Inf	Inf
0.0725	0.9776	Inf	Inf
0.0794	1.0780	Inf	Inf
0.0863	1.1777	Inf	Inf
0.0954	1.3785	Inf	Inf
0.0969	1.2781	Inf	Inf
0.1053	1.4778	Inf	Inf
0.1099	1.5774	Inf	Inf
0.1114	1.6779	Inf	Inf
0.1130	1.7779	Inf	Inf
0.1176	2.0765	Inf	Inf
0.1206	1.9765	Inf	Inf
0.1214	1.8776	Inf	Inf
0.1244	2.2774	Inf	Inf
0.1252	2.1773	Inf	Inf
0.1267	2.4767	Inf	Inf
0.1275	2.3774	Inf	Inf
0.1359	2.6772	Inf	Inf
0.1374	2.5767	Inf	Inf
0.1412	2.8769	Inf	Inf
0.1420	2.9773	Inf	Inf
0.1458	3.0770	Inf	Inf
0.1527	3.1748	Inf	Inf
0.1565	3.3745	Inf	Inf
0.1618	3.2744	Inf	Inf
0.1656	3.6742	Inf	Inf
0.1664	3.4749	Inf	Inf
0.1679	3.5742	Inf	Inf
0.1695	3.7739	Inf	Inf
0.1710	3.8732	Inf	Inf
0.1786	4.0744	Inf	Inf
0.1794	3.9740	Inf	Inf
0.1817	4.2763	Inf	Inf
0.1832	4.1763	Inf	Inf
0.1855	4.3779	Inf	Inf
0.1901	4.4772	Inf	Inf
0.1916	4.5772	Inf	Inf
0.1969	4.7773	Inf	Inf
0.2000	4.8762	Inf	Inf
0.2038	4.9763	Inf	Inf
0.2046	5.1771	Inf	Inf
0.2061	5.0763	Inf	Inf
0.2069	5.2760	Inf	Inf
0.2114	5.3753	Inf	Inf
0.2137	5.4754	Inf	Inf
0.2168	5.5750	Inf	Inf
0.2229	5.6751	Inf	Inf
0.2290	5.8737	Inf	Inf
0.2336	5.7747	Inf	Inf
0.2359	5.9729	Inf	Inf
0.2359	6.1727	Inf	Inf
0.2420	6.2731	Inf	Inf
0.2427	6.0734	Inf	Inf
0.2511	6.5725	Inf	Inf
0.2534	6.3727	Inf	Inf
0.2565	6.6725	Inf	Inf
0.2580	6.7725	Inf	Inf
0.2580	6.9741	Inf	Inf
0.2588	6.8737	Inf	Inf
0.2618	7.1933	Inf	Inf
0.2679	7.0929	Inf	Inf
0.2702	7.2937	Inf	Inf
0.2740	7.4923	Inf	Inf
0.2756	7.5912	Inf	Inf
0.2778	7.6913	Inf	Inf
0.2786	7.3934	Inf	Inf
0.2809	7.7913	Inf	Inf
0.2817	7.8914	Inf	Inf
0.2862	8.0907	Inf	Inf
0.2885	8.1919	Inf	Inf
0.2893	7.9914	Inf	Inf
0.2931	8.2927	Inf	Inf
0.2946	8.3934	Inf	Inf
0.3007	8.4935	Inf	Inf
0.3023	8.5928	Inf	Inf
0.3046	8.6921	Inf	Inf
0.3053	8.8910	Inf	Inf
0.3091	8.7906	Inf	Inf
0.3152	8.9900	Inf	Inf
0.3183	9.0900	Inf	Inf
0.3236	9.2897	Inf	Inf
0.3298	9.3886	Inf	Inf
0.3313	9.1897	Inf	Inf
0.3359	9.5591	Inf	Inf
0.3412	9.8592	Inf	Inf
0.3427	9.7596	Inf	Inf
0.3435	9.6595	Inf	Inf
0.3504	9.9593	Inf	Inf
0.3519	10.0601	Inf	Inf
0.3534	10.1597	Inf	Inf
0.3618	10.2602	Inf	Inf
0.4107	9.2863	Inf	Inf
0.4549	8.6258	Inf	Inf
0.4733	8.4358	Inf	Inf
0.4832	8.3106	Inf	Inf
0.4954	8.2061	Inf	Inf
0.5045	8.1046	Inf	Inf
0.5114	8.0026	Inf	Inf
0.5259	7.9007	Inf	Inf
0.5374	7.7996	Inf	Inf
0.5465	7.6980	Inf	Inf
0.5549	7.5972	Inf	Inf
0.5687	7.6962	Inf	Inf
0.5763	7.7954	Inf	Inf
0.5839	7.8959	Inf	Inf
0.6839	7.8573	Inf	Inf
0.7137	7.9562	Inf	Inf
0.7389	7.8546	Inf	Inf
0.7549	7.9547	Inf	Inf
0.7847	8.0547	Inf	Inf
0.8145	7.9509	Inf	Inf
0.8305	7.8494	Inf	Inf
0.8404	7.9498	Inf	Inf
0.8526	8.0499	Inf	Inf
0.9526	8.0499	Inf	Inf
1.0534	8.0667	Inf	Inf
1.0923	8.1671	Inf	Inf
1.1007	8.0637	Inf	Inf
1.1037	7.9626	Inf	Inf
1.1121	7.8606	Inf	Inf
1.1175	7.7591	Inf	Inf
1.1213	7.8603	Inf	Inf
1.1274	7.9611	Inf	Inf
1.1534	8.0607	Inf	Inf
1.1740	7.9596	Inf	Inf
1.1793	8.0607	Inf	Inf
1.1908	8.1608	Inf	Inf
1.2259	8.2597	Inf	Inf
1.2534	8.3582	Inf	Inf
1.2747	8.4579	Inf	Inf
1.2938	8.5576	Inf	Inf
1.3602	8.4556	Inf	Inf
1.3640	8.5534	Inf	Inf
1.3709	8.6531	Inf	Inf
1.3862	8.7532	Inf	Inf
1.4167	8.8524	Inf	Inf
1.4648	8.9521	Inf	Inf
1.5045	9.0514	Inf	Inf
1.5701	9.1518	Inf	Inf
1.6526	9.2507	Inf	Inf
1.7434	9.1492	Inf	Inf
1.7526	9.2504	Inf	Inf
1.7587	9.4283	Inf	Inf
1.7923	9.5288	Inf	Inf
1.8709	9.6273	Inf	Inf
1.9533	9.7270	Inf	Inf
2.0052	9.6258	Inf	Inf
2.0190	9.7262	Inf	Inf
2.0335	9.8248	Inf	Inf
2.0670	9.9248	Inf	Inf
2.1388	10.0252	Inf	Inf
2.1670	9.9241	Inf	Inf
2.1678	9.8236	Inf	Inf
2.1793	9.9203	Inf	Inf
2.1938	10.1069	Inf	Inf
2.2938	10.1361	Inf	Inf
2.3304	10.2358	Inf	Inf
2.4304	10.3089	Inf	Inf
2.4342	10.2081	Inf	Inf
2.4502	10.3092	Inf	Inf
2.4632	10.4082	Inf	Inf
2.5632	10.4943	Inf	Inf
2.6632	10.5138	Inf	Inf
2.6853	10.6135	Inf	Inf
2.7594	10.5108	Inf	Inf
2.7670	10.6112	Inf	Inf
2.8120	10.7087	Inf	Inf
2.8769	10.8095	Inf	Inf
