Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 13.02.2023	Time: 15:11:56

Name:	timber parallel
User Comment:	Jacky chen, Nicole Caitlyn Kretz,jasmine walker, Kate Harvey, Jason You.

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.1000	0.0142	Inf	Inf
0.2008	0.0199	Inf	Inf
0.3007	0.0142	Inf	Inf
0.4007	0.0202	Inf	Inf
0.5007	0.0135	Inf	Inf
0.6000	0.0210	Inf	Inf
0.7000	0.0154	Inf	Inf
0.8000	0.0176	Inf	Inf
0.8999	0.0146	Inf	Inf
0.9999	0.0026	Inf	Inf
1.0999	0.0124	Inf	Inf
1.1999	0.0139	Inf	Inf
1.2999	0.0274	Inf	Inf
1.3999	0.0214	Inf	Inf
1.4999	0.0049	Inf	Inf
1.5999	0.0086	Inf	Inf
1.7007	0.0094	Inf	Inf
1.8007	0.0135	Inf	Inf
1.9006	0.0131	Inf	Inf
2.0006	0.0300	Inf	Inf
2.0808	0.1308	Inf	Inf
2.1067	0.2312	Inf	Inf
2.1144	0.3312	Inf	Inf
2.1258	0.4313	Inf	Inf
2.1403	0.5313	Inf	Inf
2.1503	0.6314	Inf	Inf
2.1525	0.7306	Inf	Inf
2.1625	0.8311	Inf	Inf
2.1670	0.9315	Inf	Inf
2.1754	1.0304	Inf	Inf
2.1808	1.1312	Inf	Inf
2.1915	1.2309	Inf	Inf
2.1922	1.3313	Inf	Inf
2.1991	1.4321	Inf	Inf
2.2052	1.5321	Inf	Inf
2.2090	1.6318	Inf	Inf
2.2106	1.7318	Inf	Inf
2.2128	1.8319	Inf	Inf
2.2159	2.0323	Inf	Inf
2.2174	1.9319	Inf	Inf
2.2205	2.1331	Inf	Inf
2.2228	2.3336	Inf	Inf
2.2235	2.2339	Inf	Inf
2.2243	2.4340	Inf	Inf
2.2319	2.6345	Inf	Inf
2.2335	2.5340	Inf	Inf
2.2342	2.7349	Inf	Inf
2.2434	2.8349	Inf	Inf
2.2457	3.0357	Inf	Inf
2.2480	3.2366	Inf	Inf
2.2502	2.9357	Inf	Inf
2.2502	3.1362	Inf	Inf
2.2548	3.4367	Inf	Inf
2.2556	3.3366	Inf	Inf
2.2617	3.7372	Inf	Inf
2.2625	3.6371	Inf	Inf
2.2632	3.5371	Inf	Inf
2.2693	3.8380	Inf	Inf
2.2747	3.9380	Inf	Inf
2.2800	4.0384	Inf	Inf
2.2808	4.2378	Inf	Inf
2.2876	4.1385	Inf	Inf
2.2892	4.4378	Inf	Inf
2.2899	4.3378	Inf	Inf
2.2907	4.5379	Inf	Inf
2.2968	4.6383	Inf	Inf
2.3075	4.7391	Inf	Inf
2.3113	4.9392	Inf	Inf
2.3121	4.8391	Inf	Inf
2.3167	5.0392	Inf	Inf
2.3205	5.2393	Inf	Inf
2.3289	5.1393	Inf	Inf
2.3312	5.3393	Inf	Inf
2.3373	5.7403	Inf	Inf
2.3403	5.5394	Inf	Inf
2.3411	5.6395	Inf	Inf
2.3457	6.0415	Inf	Inf
2.3472	5.8411	Inf	Inf
2.3495	6.1419	Inf	Inf
2.3541	6.2420	Inf	Inf
2.3647	6.3420	Inf	Inf
2.3655	6.4421	Inf	Inf
2.3693	6.5414	Inf	Inf
2.3777	6.6414	Inf	Inf
2.3846	6.7426	Inf	Inf
2.3930	6.8430	Inf	Inf
2.3983	6.9430	Inf	Inf
2.4021	7.0431	Inf	Inf
2.4136	7.1435	Inf	Inf
2.4144	7.2435	Inf	Inf
2.4281	7.3428	Inf	Inf
2.4319	7.4421	Inf	Inf
2.4395	7.5425	Inf	Inf
2.4548	7.7434	Inf	Inf
2.4670	7.6426	Inf	Inf
2.4716	7.9442	Inf	Inf
2.4754	7.8434	Inf	Inf
2.4785	7.7426	Inf	Inf
2.4800	8.0450	Inf	Inf
2.4815	8.2451	Inf	Inf
2.4831	8.3455	Inf	Inf
2.4899	8.1447	Inf	Inf
2.4907	8.4444	Inf	Inf
2.4915	8.5441	Inf	Inf
2.5037	8.6445	Inf	Inf
2.5144	8.7453	Inf	Inf
2.5220	8.8446	Inf	Inf
2.5495	8.9439	Inf	Inf
2.5708	9.0435	Inf	Inf
2.6136	9.1440	Inf	Inf
2.6273	9.2440	Inf	Inf
2.6395	9.1425	Inf	Inf
2.6464	9.1395	Inf	Inf
2.6548	9.3410	Inf	Inf
2.6594	9.2406	Inf	Inf
2.6693	9.4407	Inf	Inf
2.6701	9.5411	Inf	Inf
2.6891	9.6408	Inf	Inf
2.7380	9.7412	Inf	Inf
2.7594	9.6400	Inf	Inf
2.7762	9.7393	Inf	Inf
2.8006	9.8398	Inf	Inf
2.8151	9.7375	Inf	Inf
2.8273	9.8371	Inf	Inf
2.8304	9.9372	Inf	Inf
2.8449	10.0376	Inf	Inf
2.8624	10.1365	Inf	Inf
2.9113	9.9319	Inf	Inf
2.9128	9.8296	Inf	Inf
2.9151	10.0335	Inf	Inf
2.9235	9.9297	Inf	Inf
2.9326	9.8278	Inf	Inf
2.9388	9.7259	Inf	Inf
2.9418	9.7236	Inf	Inf
2.9426	9.6251	Inf	Inf
2.9517	9.8236	Inf	Inf
2.9617	9.9226	Inf	Inf
2.9693	10.0230	Inf	Inf
2.9723	10.1230	Inf	Inf
2.9899	10.2234	Inf	Inf
2.9937	10.3231	Inf	Inf
3.0441	10.2219	Inf	Inf
3.0670	10.1208	Inf	Inf
3.1517	10.2204	Inf	Inf
3.2021	10.1185	Inf	Inf
3.2097	10.0185	Inf	Inf
3.2189	9.9169	Inf	Inf
3.2258	9.7142	Inf	Inf
3.2280	9.8154	Inf	Inf
3.2441	9.8139	Inf	Inf
3.2448	9.9124	Inf	Inf
3.2487	10.0147	Inf	Inf
3.2517	10.1148	Inf	Inf
3.2700	10.2159	Inf	Inf
3.2830	10.3160	Inf	Inf
3.3029	10.4142	Inf	Inf
3.3471	10.3115	Inf	Inf
3.4166	10.2096	Inf	Inf
3.5166	10.1440	Inf	Inf
3.5799	10.0410	Inf	Inf
3.6005	9.9394	Inf	Inf
3.6502	9.8379	Inf	Inf
3.7502	9.7787	Inf	Inf
3.8425	9.6771	Inf	Inf
3.8555	9.5760	Inf	Inf
3.9074	9.4733	Inf	Inf
3.9143	9.3714	Inf	Inf
3.9196	9.2687	Inf	Inf
3.9295	9.3691	Inf	Inf
3.9425	9.4677	Inf	Inf
3.9715	9.5689	Inf	Inf
4.0028	9.6674	Inf	Inf
