Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 13.02.2023	Time: 15:20:44

Name:	timber perpendicular
User Comment:	Jacky chen, Nicole Caitlyn Kretz,jasmine walker, Kate Harvey, Jason You.

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.1000	0.0030	Inf	Inf
0.2000	0.0094	Inf	Inf
0.3000	0.0019	Inf	Inf
0.3992	0.0019	Inf	Inf
0.5000	0.0022	Inf	Inf
0.6000	0.0112	Inf	Inf
0.7000	0.0229	Inf	Inf
0.8000	0.0199	Inf	Inf
0.8999	0.0236	Inf	Inf
0.9999	0.0146	Inf	Inf
1.0999	0.0101	Inf	Inf
1.1999	0.0105	Inf	Inf
1.3007	0.0037	Inf	Inf
1.4014	0.0004	Inf	Inf
1.4633	0.1015	Inf	Inf
1.4976	0.2012	Inf	Inf
1.5297	0.3031	Inf	Inf
1.5686	0.4069	Inf	Inf
1.5999	0.5575	Inf	Inf
1.6190	0.6565	Inf	Inf
1.6457	0.7561	Inf	Inf
1.6663	0.8569	Inf	Inf
1.7045	0.9577	Inf	Inf
1.7289	1.0574	Inf	Inf
1.7617	1.1574	Inf	Inf
1.8045	1.2575	Inf	Inf
1.8419	1.3568	Inf	Inf
1.8625	1.4583	Inf	Inf
1.9243	1.5722	Inf	Inf
2.0159	1.6715	Inf	Inf
2.1167	1.7393	Inf	Inf
2.2167	1.8113	Inf	Inf
2.2502	1.7082	Inf	Inf
2.3014	1.8086	Inf	Inf
2.4021	1.8675	Inf	Inf
2.4800	1.7659	Inf	Inf
2.5235	1.8656	Inf	Inf
2.5579	1.9668	Inf	Inf
2.6579	1.9578	Inf	Inf
2.7578	1.8982	Inf	Inf
2.7640	1.7955	Inf	Inf
2.8510	1.8956	Inf	Inf
2.9510	1.9626	Inf	Inf
3.0464	1.8611	Inf	Inf
