Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 13.02.2023	Time: 14:25:23

Name:	compression parrallel to wood
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0998	0.0023	Inf	Inf
0.2002	0.0004	Inf	Inf
0.2999	0.0835	Inf	Inf
0.3259	0.1843	Inf	Inf
0.3557	0.2841	Inf	Inf
0.3903	0.3850	Inf	Inf
0.4014	0.5077	Inf	Inf
0.4173	0.6125	Inf	Inf
0.4307	0.7136	Inf	Inf
0.4361	0.8127	Inf	Inf
0.4486	0.9320	Inf	Inf
0.4577	1.0320	Inf	Inf
0.4954	1.5338	Inf	Inf
0.5329	2.0526	Inf	Inf
0.5570	2.4727	Inf	Inf
0.5856	2.8840	Inf	Inf
0.6072	3.1985	Inf	Inf
0.6211	3.4863	Inf	Inf
0.6384	3.8447	Inf	Inf
0.6475	4.1871	Inf	Inf
0.6694	4.5541	Inf	Inf
0.6912	4.7584	Inf	Inf
0.7029	5.0615	Inf	Inf
0.7151	5.4530	Inf	Inf
0.7384	5.8180	Inf	Inf
0.7513	6.1453	Inf	Inf
0.7730	6.5129	Inf	Inf
0.7898	6.8433	Inf	Inf
0.8091	7.4336	Inf	Inf
0.8525	8.2023	Inf	Inf
0.9069	9.0621	Inf	Inf
0.9544	9.4442	Inf	Inf
0.9853	9.6390	Inf	Inf
1.0345	9.9501	Inf	Inf
1.0876	10.1854	Inf	Inf
1.1875	10.1719	Inf	Inf
1.1997	10.0634	Inf	Inf
1.2121	9.6595	Inf	Inf
1.2354	9.3096	Inf	Inf
1.2483	9.1313	Inf	Inf
1.2643	9.2333	Inf	Inf
1.3044	9.8884	Inf	Inf
1.3659	10.1930	Inf	Inf
1.4665	10.0731	Inf	Inf
1.5044	10.1711	Inf	Inf
1.5929	10.2752	Inf	Inf
1.6058	10.3751	Inf	Inf
1.6815	10.2576	Inf	Inf
1.7807	10.2393	Inf	Inf
1.8042	10.1355	Inf	Inf
1.8809	10.0239	Inf	Inf
1.9811	9.9482	Inf	Inf
1.9930	9.8325	Inf	Inf
2.0168	9.3816	Inf	Inf
2.0391	9.0349	Inf	Inf
2.0552	8.9220	Inf	Inf
2.0683	9.0177	Inf	Inf
2.1105	9.6711	Inf	Inf
2.1644	9.7712	Inf	Inf
2.2126	9.8683	Inf	Inf
2.2352	9.9670	Inf	Inf
2.3152	10.0781	Inf	Inf
2.3675	9.9634	Inf	Inf
2.4680	9.8981	Inf	Inf
2.5537	9.7950	Inf	Inf
2.6536	9.7086	Inf	Inf
2.6845	9.6027	Inf	Inf
2.7273	9.4253	Inf	Inf
2.7920	9.3175	Inf	Inf
2.8287	9.1360	Inf	Inf
2.8497	9.0285	Inf	Inf
2.8842	8.4703	Inf	Inf
2.9190	8.3693	Inf	Inf
2.9276	8.1514	Inf	Inf
2.9453	8.2478	Inf	Inf
2.9551	8.4049	Inf	Inf
3.0125	8.7891	Inf	Inf
3.0568	9.1252	Inf	Inf
3.1555	9.1264	Inf	Inf
3.2559	9.0525	Inf	Inf
3.2917	8.9481	Inf	Inf
3.3933	8.8820	Inf	Inf
3.4315	8.7763	Inf	Inf
3.4622	8.6706	Inf	Inf
3.5346	8.4895	Inf	Inf
3.5646	8.3813	Inf	Inf
3.6466	8.2772	Inf	Inf
3.7263	8.1689	Inf	Inf
3.7752	8.0661	Inf	Inf
3.8742	8.0502	Inf	Inf
3.9294	8.1460	Inf	Inf
3.9734	8.2463	Inf	Inf
4.0399	8.1413	Inf	Inf
4.0879	8.0351	Inf	Inf
4.1391	7.8551	Inf	Inf
4.1930	7.7406	Inf	Inf
4.2938	7.6750	Inf	Inf
4.3241	7.5717	Inf	Inf
4.3780	7.4291	Inf	Inf
4.4253	6.7833	Inf	Inf
4.5059	6.6624	Inf	Inf
4.5290	6.4510	Inf	Inf
4.5350	6.3414	Inf	Inf
4.6343	6.2143	Inf	Inf
4.7248	6.1043	Inf	Inf
4.7433	5.9935	Inf	Inf
4.8286	5.8720	Inf	Inf
4.8783	5.7645	Inf	Inf
4.9781	5.7315	Inf	Inf
4.9969	5.6215	Inf	Inf
5.0861	5.5121	Inf	Inf
5.1092	5.4092	Inf	Inf
5.2092	5.3600	Inf	Inf
5.2377	5.2576	Inf	Inf
