Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 08.02.2023	Time: 12:23:39

Name:	timber parallel to grain
User Comment:	fanjun Meng 

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.1002	0.0694	Inf	Inf
0.1367	0.1698	Inf	Inf
0.1609	0.2693	Inf	Inf
0.1735	0.3702	Inf	Inf
0.1896	0.4692	Inf	Inf
0.2049	0.6680	Inf	Inf
0.2160	0.8326	Inf	Inf
0.2400	1.1206	Inf	Inf
0.2504	1.3044	Inf	Inf
0.2668	1.4033	Inf	Inf
0.2669	1.8825	Inf	Inf
0.2740	1.6473	Inf	Inf
0.2831	2.2258	Inf	Inf
0.2854	2.0062	Inf	Inf
0.2867	2.1241	Inf	Inf
0.2947	2.3858	Inf	Inf
0.3027	2.6400	Inf	Inf
0.3112	2.9274	Inf	Inf
0.3300	3.2340	Inf	Inf
0.3421	3.3334	Inf	Inf
0.3458	3.4854	Inf	Inf
0.3516	3.7892	Inf	Inf
0.3646	4.1012	Inf	Inf
0.3729	4.4383	Inf	Inf
0.3795	4.7703	Inf	Inf
0.3806	4.5932	Inf	Inf
0.3881	4.9462	Inf	Inf
0.3944	5.0475	Inf	Inf
0.3992	5.1444	Inf	Inf
0.4049	5.3335	Inf	Inf
0.4060	5.6282	Inf	Inf
0.4175	5.9504	Inf	Inf
0.4288	6.1338	Inf	Inf
0.4360	6.2061	Inf	Inf
0.4367	6.3067	Inf	Inf
0.4400	6.3057	Inf	Inf
0.4414	6.4024	Inf	Inf
0.4437	6.5717	Inf	Inf
0.4547	6.9704	Inf	Inf
0.4614	7.1797	Inf	Inf
0.4695	7.4570	Inf	Inf
0.4912	7.7831	Inf	Inf
0.5006	8.1167	Inf	Inf
0.5264	8.2159	Inf	Inf
0.5381	8.6758	Inf	Inf
0.5544	8.9184	Inf	Inf
0.5743	9.0811	Inf	Inf
0.5876	9.2233	Inf	Inf
0.5973	9.0311	Inf	Inf
0.6002	8.9173	Inf	Inf
0.6004	8.8166	Inf	Inf
0.6067	8.9140	Inf	Inf
0.6202	9.2426	Inf	Inf
0.6255	9.4466	Inf	Inf
0.6355	9.5452	Inf	Inf
0.6504	9.7322	Inf	Inf
0.6605	9.8981	Inf	Inf
0.6799	9.9956	Inf	Inf
0.7283	10.0976	Inf	Inf
0.7448	10.1951	Inf	Inf
0.7597	10.3765	Inf	Inf
0.7927	10.4759	Inf	Inf
0.8218	10.5771	Inf	Inf
0.9224	10.6622	Inf	Inf
0.9441	10.5557	Inf	Inf
0.9568	10.3819	Inf	Inf
0.9628	10.1771	Inf	Inf
0.9639	10.0502	Inf	Inf
0.9708	9.9478	Inf	Inf
0.9802	10.0480	Inf	Inf
0.9850	10.3009	Inf	Inf
1.0043	10.7222	Inf	Inf
1.0135	10.8603	Inf	Inf
1.0811	10.9636	Inf	Inf
1.1142	11.1076	Inf	Inf
1.1488	11.0072	Inf	Inf
1.2342	10.9028	Inf	Inf
1.2962	10.7841	Inf	Inf
1.3395	10.6745	Inf	Inf
1.3544	10.5347	Inf	Inf
1.3910	10.4287	Inf	Inf
1.4148	10.0464	Inf	Inf
1.4159	9.8287	Inf	Inf
1.4162	9.6967	Inf	Inf
1.4246	9.5957	Inf	Inf
1.4294	9.6894	Inf	Inf
1.4328	9.7901	Inf	Inf
1.4539	10.2482	Inf	Inf
1.4720	10.4287	Inf	Inf
1.4995	10.5615	Inf	Inf
1.5520	10.4502	Inf	Inf
1.5943	10.3007	Inf	Inf
1.6937	10.2885	Inf	Inf
1.7048	10.1792	Inf	Inf
1.7166	9.8092	Inf	Inf
1.7261	9.5351	Inf	Inf
1.7404	9.3838	Inf	Inf
1.7501	9.2811	Inf	Inf
1.7667	9.3834	Inf	Inf
1.7730	9.5730	Inf	Inf
1.7893	9.9855	Inf	Inf
1.8210	10.2602	Inf	Inf
1.9207	10.2217	Inf	Inf
1.9490	10.1201	Inf	Inf
1.9889	10.0132	Inf	Inf
2.0179	9.8793	Inf	Inf
2.0943	9.9808	Inf	Inf
2.1032	10.0811	Inf	Inf
2.1435	9.6725	Inf	Inf
2.1658	9.3631	Inf	Inf
2.1719	9.1954	Inf	Inf
2.1811	9.0859	Inf	Inf
2.1850	9.1854	Inf	Inf
2.1941	9.2859	Inf	Inf
2.2095	9.5895	Inf	Inf
2.2306	9.9341	Inf	Inf
2.3135	9.8293	Inf	Inf
2.4055	9.7288	Inf	Inf
2.4647	9.8315	Inf	Inf
2.4979	9.5794	Inf	Inf
2.5038	9.2496	Inf	Inf
2.5178	9.0634	Inf	Inf
2.5260	9.1635	Inf	Inf
2.5432	9.4657	Inf	Inf
2.5508	9.6495	Inf	Inf
2.5964	9.8707	Inf	Inf
2.6375	9.7665	Inf	Inf
2.6933	9.6634	Inf	Inf
2.7655	9.5602	Inf	Inf
2.8433	9.6635	Inf	Inf
2.8666	9.5522	Inf	Inf
2.8815	9.1355	Inf	Inf
2.8956	8.9018	Inf	Inf
2.8959	8.9265	Inf	Inf
2.8971	8.7998	Inf	Inf
2.9108	9.2298	Inf	Inf
2.9391	9.5227	Inf	Inf
2.9890	9.6690	Inf	Inf
3.0894	9.6019	Inf	Inf
3.1448	9.4980	Inf	Inf
3.2019	9.5996	Inf	Inf
3.2476	9.4929	Inf	Inf
3.2885	9.5882	Inf	Inf
3.3000	9.6857	Inf	Inf
3.3495	9.2561	Inf	Inf
3.3680	8.8858	Inf	Inf
3.3785	8.7062	Inf	Inf
