Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 08.02.2023	Time: 12:28:46

Name:	Perpendicular Grain
User Comment:	zahira

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.1004	0.0028	Inf	Inf
0.1994	0.0066	Inf	Inf
0.2994	0.0590	Inf	Inf
0.3465	0.1584	Inf	Inf
0.4020	0.2793	Inf	Inf
0.4371	0.3783	Inf	Inf
0.5051	0.6032	Inf	Inf
0.5396	0.7324	Inf	Inf
0.5757	0.8539	Inf	Inf
0.6099	0.9539	Inf	Inf
0.6501	1.1092	Inf	Inf
0.7138	1.3736	Inf	Inf
0.7537	1.4930	Inf	Inf
0.8092	1.6002	Inf	Inf
0.8577	1.7078	Inf	Inf
0.9148	1.8085	Inf	Inf
1.0160	1.8603	Inf	Inf
1.0509	1.7588	Inf	Inf
1.0539	1.6577	Inf	Inf
1.0833	1.7548	Inf	Inf
1.1580	1.9379	Inf	Inf
1.2586	1.9611	Inf	Inf
1.3589	1.9238	Inf	Inf
1.4597	1.9601	Inf	Inf
1.5611	1.9548	Inf	Inf
1.6608	1.9465	Inf	Inf
1.7623	1.9761	Inf	Inf
1.8468	1.8714	Inf	Inf
1.8471	1.7645	Inf	Inf
1.8923	1.8647	Inf	Inf
1.9503	2.0165	Inf	Inf
2.0509	1.9724	Inf	Inf
2.1516	2.0284	Inf	Inf
2.2533	2.0466	Inf	Inf
2.3527	2.0123	Inf	Inf
2.4395	1.9095	Inf	Inf
2.4461	1.8082	Inf	Inf
2.4915	1.9101	Inf	Inf
2.5495	2.0259	Inf	Inf
2.6483	2.0892	Inf	Inf
2.7485	2.1051	Inf	Inf
2.8496	2.1391	Inf	Inf
2.9510	2.1204	Inf	Inf
3.0489	2.1347	Inf	Inf
3.1483	2.1361	Inf	Inf
3.1893	2.0320	Inf	Inf
3.1924	1.9287	Inf	Inf
3.1996	1.8279	Inf	Inf
3.2467	1.9297	Inf	Inf
3.2790	2.0286	Inf	Inf
3.3494	2.1518	Inf	Inf
3.4488	2.1995	Inf	Inf
3.5485	2.2136	Inf	Inf
3.6501	2.2280	Inf	Inf
3.7522	2.2340	Inf	Inf
3.8504	2.2048	Inf	Inf
3.9032	2.0993	Inf	Inf
3.9241	1.9430	Inf	Inf
3.9272	1.8414	Inf	Inf
3.9753	1.9396	Inf	Inf
4.0310	2.1054	Inf	Inf
4.0804	2.2108	Inf	Inf
4.1694	2.3090	Inf	Inf
4.2705	2.3309	Inf	Inf
4.3682	2.3162	Inf	Inf
4.4669	2.3088	Inf	Inf
4.5646	2.2791	Inf	Inf
4.6518	2.1768	Inf	Inf
4.6590	1.9900	Inf	Inf
4.6628	1.8890	Inf	Inf
4.7068	1.9932	Inf	Inf
4.7663	2.1718	Inf	Inf
4.8175	2.2711	Inf	Inf
4.9202	2.3528	Inf	Inf
5.0188	2.3603	Inf	Inf
5.1185	2.3722	Inf	Inf
5.2201	2.3711	Inf	Inf
5.3221	2.3593	Inf	Inf
