Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 08.02.2023	Time: 13:13:52

Name:	Steel
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0084	0.1008	Inf	Inf
0.0092	0.2001	Inf	Inf
0.0137	0.3005	Inf	Inf
0.0237	0.3994	Inf	Inf
0.0305	0.4995	Inf	Inf
0.0328	0.6992	Inf	Inf
0.0343	0.5999	Inf	Inf
0.0435	0.8000	Inf	Inf
0.0466	0.8993	Inf	Inf
0.0588	0.9989	Inf	Inf
0.0603	1.0990	Inf	Inf
0.0626	1.1979	Inf	Inf
0.0687	1.2987	Inf	Inf
0.0695	1.6992	Inf	Inf
0.0710	1.9986	Inf	Inf
0.0733	1.3983	Inf	Inf
0.0748	1.4988	Inf	Inf
0.0763	1.7996	Inf	Inf
0.0817	2.0975	Inf	Inf
0.0840	2.2984	Inf	Inf
0.0855	2.1979	Inf	Inf
0.0885	2.3976	Inf	Inf
0.0893	2.6993	Inf	Inf
0.0916	2.4977	Inf	Inf
0.0954	2.5989	Inf	Inf
0.0954	2.8994	Inf	Inf
0.1023	2.8001	Inf	Inf
0.1030	2.9990	Inf	Inf
0.1061	3.2992	Inf	Inf
0.1099	3.0991	Inf	Inf
0.1153	3.5982	Inf	Inf
0.1168	3.3996	Inf	Inf
0.1176	3.4981	Inf	Inf
0.1305	3.6986	Inf	Inf
0.1313	3.8987	Inf	Inf
0.1336	3.9983	Inf	Inf
0.1343	3.7982	Inf	Inf
0.1450	4.3307	Inf	Inf
0.1458	4.1186	Inf	Inf
0.1488	4.4551	Inf	Inf
0.1496	4.6544	Inf	Inf
0.1534	4.5547	Inf	Inf
0.1542	4.8552	Inf	Inf
0.1611	4.7545	Inf	Inf
0.1626	4.9545	Inf	Inf
0.1672	5.0553	Inf	Inf
0.1725	5.3562	Inf	Inf
0.1733	5.5559	Inf	Inf
0.1779	5.2573	Inf	Inf
0.1817	5.4562	Inf	Inf
0.1817	5.7568	Inf	Inf
0.1824	5.6560	Inf	Inf
0.1824	5.8572	Inf	Inf
0.1847	6.0573	Inf	Inf
0.1855	5.9580	Inf	Inf
0.1870	6.1569	Inf	Inf
0.1954	6.2562	Inf	Inf
0.1985	6.4559	Inf	Inf
0.2000	6.5552	Inf	Inf
0.2023	6.6553	Inf	Inf
0.2046	6.7549	Inf	Inf
