Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 08.02.2023	Time: 13:29:24

Name:	Wood Cube Parrallel 
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0997	0.0870	Inf	Inf
0.1995	0.1055	Inf	Inf
0.2995	0.1100	Inf	Inf
0.3989	0.1389	Inf	Inf
0.4983	0.1360	Inf	Inf
0.5979	0.1363	Inf	Inf
0.6974	0.1402	Inf	Inf
0.7977	0.1314	Inf	Inf
0.8971	0.1425	Inf	Inf
0.9980	0.1421	Inf	Inf
1.0988	0.1347	Inf	Inf
1.1984	0.1335	Inf	Inf
1.2980	0.1465	Inf	Inf
1.3982	0.1385	Inf	Inf
1.4984	0.1406	Inf	Inf
1.5980	0.1395	Inf	Inf
1.6978	0.1350	Inf	Inf
1.7973	0.1369	Inf	Inf
1.8988	0.1380	Inf	Inf
1.9992	0.1329	Inf	Inf
2.1008	0.1272	Inf	Inf
2.2000	0.1229	Inf	Inf
2.3003	0.1202	Inf	Inf
2.4010	0.1230	Inf	Inf
2.5004	0.1278	Inf	Inf
2.6005	0.1349	Inf	Inf
2.6999	0.1254	Inf	Inf
2.8001	0.1277	Inf	Inf
2.9003	0.1235	Inf	Inf
2.9997	0.1219	Inf	Inf
3.0990	0.1260	Inf	Inf
3.1988	0.1245	Inf	Inf
3.2978	0.1359	Inf	Inf
3.3690	0.2363	Inf	Inf
3.4027	0.3372	Inf	Inf
3.4223	0.4351	Inf	Inf
3.4656	0.6892	Inf	Inf
3.4928	0.8762	Inf	Inf
3.5001	1.0160	Inf	Inf
3.5260	1.2906	Inf	Inf
3.5390	1.5135	Inf	Inf
3.5533	1.6517	Inf	Inf
3.5636	1.8783	Inf	Inf
3.5658	2.0966	Inf	Inf
3.5829	2.4027	Inf	Inf
3.5930	2.7292	Inf	Inf
3.6122	3.0911	Inf	Inf
3.6345	3.1913	Inf	Inf
3.6400	3.4881	Inf	Inf
3.6519	3.5879	Inf	Inf
3.6551	3.6881	Inf	Inf
3.6556	3.7876	Inf	Inf
3.6613	3.9049	Inf	Inf
3.6670	4.1226	Inf	Inf
3.6750	4.4519	Inf	Inf
3.6947	4.8348	Inf	Inf
3.7155	5.1718	Inf	Inf
3.7186	5.2730	Inf	Inf
3.7212	5.3729	Inf	Inf
3.7283	5.5532	Inf	Inf
3.7302	5.9060	Inf	Inf
3.7317	5.7187	Inf	Inf
3.7479	6.0384	Inf	Inf
3.7571	6.2468	Inf	Inf
3.7677	6.4404	Inf	Inf
3.7864	6.5806	Inf	Inf
3.7983	6.7887	Inf	Inf
3.8081	6.8890	Inf	Inf
3.8118	6.9893	Inf	Inf
3.8213	7.0884	Inf	Inf
3.8356	7.3198	Inf	Inf
3.8399	7.1884	Inf	Inf
3.8588	7.6119	Inf	Inf
3.8659	7.7407	Inf	Inf
3.8907	7.8392	Inf	Inf
3.9022	8.0675	Inf	Inf
3.9705	8.1670	Inf	Inf
3.9767	8.2675	Inf	Inf
3.9910	8.3674	Inf	Inf
4.0053	8.4675	Inf	Inf
4.0257	8.5678	Inf	Inf
4.0653	8.4668	Inf	Inf
4.0846	8.5646	Inf	Inf
4.1282	8.6640	Inf	Inf
4.1508	8.7662	Inf	Inf
4.1821	8.8654	Inf	Inf
4.2107	8.7604	Inf	Inf
4.2420	8.8608	Inf	Inf
4.3415	8.8969	Inf	Inf
4.3468	8.9972	Inf	Inf
4.4464	8.9553	Inf	Inf
4.4607	9.0541	Inf	Inf
4.4951	8.8297	Inf	Inf
4.5060	8.5399	Inf	Inf
4.5238	8.6404	Inf	Inf
4.5315	8.7630	Inf	Inf
4.5669	8.8642	Inf	Inf
4.6544	8.7595	Inf	Inf
4.7545	8.7190	Inf	Inf
4.7970	8.8202	Inf	Inf
4.8222	8.9664	Inf	Inf
4.8660	8.7454	Inf	Inf
4.8963	8.5165	Inf	Inf
4.9659	8.4135	Inf	Inf
5.0028	8.3088	Inf	Inf
5.0384	8.4092	Inf	Inf
5.0779	8.5092	Inf	Inf
5.1784	8.4539	Inf	Inf
5.2788	8.4122	Inf	Inf
5.3109	8.3069	Inf	Inf
5.3504	8.2024	Inf	Inf
5.4023	8.0944	Inf	Inf
5.4168	7.9287	Inf	Inf
5.4306	7.6949	Inf	Inf
5.4524	7.7934	Inf	Inf
5.4863	8.0215	Inf	Inf
5.5307	8.1234	Inf	Inf
5.5500	8.2238	Inf	Inf
5.6498	8.2360	Inf	Inf
5.6640	8.1252	Inf	Inf
5.6854	7.7724	Inf	Inf
5.7453	7.8696	Inf	Inf
5.7946	7.9683	Inf	Inf
5.8370	7.8679	Inf	Inf
5.8493	7.7338	Inf	Inf
5.9111	7.8345	Inf	Inf
