Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 08.02.2023	Time: 13:22:06

Name:	Wood Cube Perpendicular
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.1000	0.0094	Inf	Inf
0.2008	0.0094	Inf	Inf
0.3015	0.0034	Inf	Inf
0.4023	0.0011	Inf	Inf
0.5030	0.0041	Inf	Inf
0.6038	0.0064	Inf	Inf
0.7038	0.0056	Inf	Inf
0.8038	0.0105	Inf	Inf
0.9030	0.0135	Inf	Inf
1.0030	0.0206	Inf	Inf
1.1030	0.0120	Inf	Inf
1.2037	0.0157	Inf	Inf
1.3037	0.0116	Inf	Inf
1.4045	0.0363	Inf	Inf
1.5053	0.1038	Inf	Inf
1.5823	0.1038	Inf	Inf
1.5877	0.2042	Inf	Inf
1.5892	0.2038	Inf	Inf
1.6564	0.3039	Inf	Inf
1.7014	0.4035	Inf	Inf
1.7487	0.5028	Inf	Inf
1.7976	0.6070	Inf	Inf
1.8533	0.7074	Inf	Inf
1.8968	0.8078	Inf	Inf
1.9762	0.9071	Inf	Inf
2.0274	1.0064	Inf	Inf
2.1274	1.1001	Inf	Inf
2.2273	1.1338	Inf	Inf
2.3273	1.2170	Inf	Inf
2.4273	1.2646	Inf	Inf
2.5281	1.2863	Inf	Inf
2.6281	1.3006	Inf	Inf
2.7281	1.2934	Inf	Inf
2.8281	1.3208	Inf	Inf
2.9281	1.3421	Inf	Inf
3.0281	1.3474	Inf	Inf
3.1281	1.3511	Inf	Inf
3.2288	1.3732	Inf	Inf
3.3296	1.3800	Inf	Inf
3.4296	1.4088	Inf	Inf
3.5296	1.4680	Inf	Inf
3.6303	1.4264	Inf	Inf
3.7311	1.4403	Inf	Inf
3.8311	1.4594	Inf	Inf
3.9311	1.4785	Inf	Inf
4.0318	1.4838	Inf	Inf
4.1318	1.4808	Inf	Inf
4.2318	1.4950	Inf	Inf
4.3318	1.5093	Inf	Inf
4.4318	1.5396	Inf	Inf
4.5310	1.5677	Inf	Inf
4.6310	1.5647	Inf	Inf
4.7310	1.5879	Inf	Inf
4.8310	1.5868	Inf	Inf
4.9318	1.6183	Inf	Inf
5.0310	1.6056	Inf	Inf
5.1317	1.6618	Inf	Inf
5.2317	1.6269	Inf	Inf
