Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 13.02.2023	Time: 15:40:39

Name:	Group 10 FFWOH Compression Parallel Timber
User Comment:	Fairbridge/Faris/Weetman/Ouyang/Higham

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
-0.0198	0.0966	-Inf	Inf
0.0801	0.1160	Inf	Inf
0.1800	0.1361	Inf	Inf
0.2801	0.1457	Inf	Inf
0.3804	0.1511	Inf	Inf
0.4804	0.1548	Inf	Inf
0.5803	0.1543	Inf	Inf
0.6804	0.1612	Inf	Inf
0.7802	0.2431	Inf	Inf
0.8102	0.3427	Inf	Inf
0.8282	0.4431	Inf	Inf
0.8423	0.5426	Inf	Inf
0.8484	0.6427	Inf	Inf
0.8620	0.7427	Inf	Inf
0.8668	0.9431	Inf	Inf
0.8700	0.8435	Inf	Inf
0.8913	1.0427	Inf	Inf
0.8933	1.1432	Inf	Inf
0.9031	1.2438	Inf	Inf
0.9094	1.3438	Inf	Inf
0.9135	1.4439	Inf	Inf
0.9253	1.5438	Inf	Inf
0.9265	1.6441	Inf	Inf
0.9318	1.7444	Inf	Inf
0.9382	1.8442	Inf	Inf
0.9417	1.9446	Inf	Inf
0.9460	2.0446	Inf	Inf
0.9496	2.2451	Inf	Inf
0.9508	2.1446	Inf	Inf
0.9590	2.4436	Inf	Inf
0.9642	2.3436	Inf	Inf
0.9673	2.5437	Inf	Inf
0.9756	2.7506	Inf	Inf
0.9772	2.6492	Inf	Inf
0.9797	2.8505	Inf	Inf
0.9880	2.9507	Inf	Inf
0.9971	3.1507	Inf	Inf
0.9980	3.0506	Inf	Inf
1.0034	3.2507	Inf	Inf
1.0176	3.3511	Inf	Inf
1.0267	3.4514	Inf	Inf
1.0308	3.5519	Inf	Inf
1.0337	3.6522	Inf	Inf
1.0364	3.7525	Inf	Inf
1.0367	3.8527	Inf	Inf
1.0470	3.9527	Inf	Inf
1.0500	4.2545	Inf	Inf
1.0513	4.0536	Inf	Inf
1.0530	4.1540	Inf	Inf
1.0567	4.3547	Inf	Inf
1.0663	4.4547	Inf	Inf
1.0669	4.5543	Inf	Inf
1.0702	4.6547	Inf	Inf
1.0780	4.7559	Inf	Inf
1.0842	4.8540	Inf	Inf
1.0896	5.0549	Inf	Inf
1.0899	4.9545	Inf	Inf
1.0972	5.2864	Inf	Inf
1.1001	5.1857	Inf	Inf
1.1043	5.3868	Inf	Inf
1.1074	5.4869	Inf	Inf
1.1211	5.5882	Inf	Inf
1.1247	5.6880	Inf	Inf
1.1291	5.7879	Inf	Inf
1.1338	5.8878	Inf	Inf
1.1351	5.9883	Inf	Inf
1.1420	6.0888	Inf	Inf
1.1515	6.1886	Inf	Inf
1.1583	6.2885	Inf	Inf
1.1674	6.4385	Inf	Inf
1.1706	6.5383	Inf	Inf
1.1707	6.6385	Inf	Inf
1.1733	6.7379	Inf	Inf
1.1848	6.8376	Inf	Inf
1.1858	6.9376	Inf	Inf
1.1976	7.0382	Inf	Inf
1.2122	7.1381	Inf	Inf
1.2213	7.2381	Inf	Inf
1.2291	7.3375	Inf	Inf
1.2375	7.4373	Inf	Inf
1.2427	7.5355	Inf	Inf
1.2490	7.4344	Inf	Inf
1.2527	7.5386	Inf	Inf
1.2618	7.6371	Inf	Inf
1.2641	7.7954	Inf	Inf
1.2753	7.9652	Inf	Inf
1.2895	8.0659	Inf	Inf
1.2968	8.1666	Inf	Inf
1.3312	8.2667	Inf	Inf
1.4028	8.3664	Inf	Inf
1.4335	8.2655	Inf	Inf
1.4376	8.1645	Inf	Inf
1.4499	8.2662	Inf	Inf
1.4511	8.3702	Inf	Inf
1.4518	8.5153	Inf	Inf
1.4531	8.6176	Inf	Inf
1.4587	8.4133	Inf	Inf
1.4618	8.3121	Inf	Inf
1.4751	8.4123	Inf	Inf
1.4768	8.5144	Inf	Inf
1.4848	8.7141	Inf	Inf
1.4901	8.8614	Inf	Inf
1.5008	8.9638	Inf	Inf
1.6016	8.8885	Inf	Inf
1.7011	8.9797	Inf	Inf
1.7847	8.7762	Inf	Inf
1.7877	8.6746	Inf	Inf
1.7878	8.8774	Inf	Inf
1.8006	8.7757	Inf	Inf
1.8032	8.9195	Inf	Inf
1.8088	9.1090	Inf	Inf
1.8179	9.2222	Inf	Inf
1.8854	9.1204	Inf	Inf
1.9119	9.0191	Inf	Inf
1.9565	8.9175	Inf	Inf
1.9599	9.0174	Inf	Inf
1.9743	9.1172	Inf	Inf
2.0741	9.0536	Inf	Inf
2.0869	8.9516	Inf	Inf
2.1551	8.8496	Inf	Inf
2.1688	8.7472	Inf	Inf
2.1734	8.6453	Inf	Inf
2.1839	8.5439	Inf	Inf
2.1844	8.4425	Inf	Inf
2.1928	8.5441	Inf	Inf
2.1962	8.7416	Inf	Inf
2.2032	8.8725	Inf	Inf
2.2203	9.0474	Inf	Inf
2.2523	8.9442	Inf	Inf
2.3046	8.8428	Inf	Inf
2.3366	8.7419	Inf	Inf
2.4368	8.7442	Inf	Inf
2.4658	8.8420	Inf	Inf
2.4771	9.0399	Inf	Inf
2.4899	8.8325	Inf	Inf
2.4977	8.6590	Inf	Inf
2.5007	8.5296	Inf	Inf
2.5066	8.4278	Inf	Inf
2.5193	8.5297	Inf	Inf
2.5295	8.6884	Inf	Inf
2.5425	8.8797	Inf	Inf
2.5949	8.7772	Inf	Inf
