Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 13.02.2023	Time: 16:33:58

Name:	Group 10 FFWH Tensile Steel
User Comment:	FairbridgeFarisWeetmanOuyangHigham

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0026	0.1002	Inf	Inf
0.0092	0.1994	Inf	Inf
0.0207	0.2992	Inf	Inf
0.0244	0.3992	Inf	Inf
0.0364	0.4991	Inf	Inf
0.0459	0.5990	Inf	Inf
0.0522	0.6995	Inf	Inf
0.0616	0.7993	Inf	Inf
0.0693	0.8986	Inf	Inf
0.0787	1.0607	Inf	Inf
0.0863	1.2026	Inf	Inf
0.0891	1.3006	Inf	Inf
0.0971	1.4569	Inf	Inf
0.1006	1.5568	Inf	Inf
0.1032	1.6573	Inf	Inf
0.1111	1.8757	Inf	Inf
0.1121	1.7569	Inf	Inf
0.1169	2.0042	Inf	Inf
0.1235	2.1592	Inf	Inf
0.1317	2.3175	Inf	Inf
0.1360	2.4180	Inf	Inf
0.1419	2.5737	Inf	Inf
0.1444	2.7342	Inf	Inf
0.1459	2.8339	Inf	Inf
0.1477	2.9646	Inf	Inf
0.1515	3.2412	Inf	Inf
0.1556	3.1418	Inf	Inf
0.1599	3.3910	Inf	Inf
0.1678	3.4914	Inf	Inf
0.1678	3.5918	Inf	Inf
0.1726	3.7884	Inf	Inf
0.1795	3.8941	Inf	Inf
0.1803	3.9941	Inf	Inf
0.1872	4.1444	Inf	Inf
0.1875	4.2539	Inf	Inf
0.1882	4.3531	Inf	Inf
0.1966	4.4537	Inf	Inf
0.2006	4.6725	Inf	Inf
0.2017	4.5691	Inf	Inf
0.2103	4.9198	Inf	Inf
0.2170	5.0457	Inf	Inf
0.2203	5.1973	Inf	Inf
0.2213	5.3805	Inf	Inf
0.2269	5.5396	Inf	Inf
0.2331	5.7042	Inf	Inf
0.2394	6.0040	Inf	Inf
0.2407	5.8869	Inf	Inf
0.2424	6.1018	Inf	Inf
0.2516	6.4326	Inf	Inf
0.2521	6.2180	Inf	Inf
0.2552	6.8102	Inf	Inf
0.2562	6.5316	Inf	Inf
0.2575	7.0326	Inf	Inf
0.2597	6.6368	Inf	Inf
0.2636	7.2516	Inf	Inf
0.2669	7.3527	Inf	Inf
0.2705	7.4519	Inf	Inf
0.2781	7.6619	Inf	Inf
0.2865	7.7616	Inf	Inf
0.2924	7.9237	Inf	Inf
0.2946	8.1365	Inf	Inf
0.3005	8.2827	Inf	Inf
0.3026	8.4035	Inf	Inf
0.3077	8.5493	Inf	Inf
0.3115	8.8013	Inf	Inf
0.3123	8.7030	Inf	Inf
0.3198	9.1383	Inf	Inf
0.3201	9.3163	Inf	Inf
0.3207	8.9028	Inf	Inf
0.3282	9.5246	Inf	Inf
0.3288	9.6234	Inf	Inf
0.3354	10.0041	Inf	Inf
0.3357	9.7759	Inf	Inf
0.3474	10.2740	Inf	Inf
0.3543	10.3759	Inf	Inf
0.3563	10.4779	Inf	Inf
0.3642	10.7606	Inf	Inf
0.4099	10.0609	Inf	Inf
0.4648	9.2403	Inf	Inf
0.4719	9.1190	Inf	Inf
0.5002	8.9270	Inf	Inf
0.5096	8.7577	Inf	Inf
0.5173	8.5603	Inf	Inf
0.5582	8.4577	Inf	Inf
0.6577	8.3689	Inf	Inf
0.7363	8.4681	Inf	Inf
0.7843	8.5689	Inf	Inf
0.8134	8.4681	Inf	Inf
0.8198	8.2665	Inf	Inf
0.8203	8.3641	Inf	Inf
0.8217	8.3669	Inf	Inf
0.8302	8.4672	Inf	Inf
0.8352	8.5785	Inf	Inf
0.8803	8.4752	Inf	Inf
0.9360	8.5749	Inf	Inf
0.9553	8.4739	Inf	Inf
0.9645	8.3736	Inf	Inf
0.9786	8.4746	Inf	Inf
0.9945	8.3728	Inf	Inf
1.0247	8.4715	Inf	Inf
1.0268	8.5708	Inf	Inf
1.0509	8.7270	Inf	Inf
1.1351	8.6256	Inf	Inf
1.1495	8.7270	Inf	Inf
1.2177	8.6216	Inf	Inf
1.2339	8.5178	Inf	Inf
1.2448	8.6142	Inf	Inf
1.3449	8.6670	Inf	Inf
1.4253	8.7642	Inf	Inf
1.4458	8.9038	Inf	Inf
1.4672	9.0043	Inf	Inf
1.5252	9.1040	Inf	Inf
1.5636	9.2041	Inf	Inf
1.6288	9.3041	Inf	Inf
1.6656	9.4036	Inf	Inf
1.7034	9.5034	Inf	Inf
1.7616	9.6030	Inf	Inf
1.8100	9.7022	Inf	Inf
1.8937	9.8019	Inf	Inf
1.9510	9.9006	Inf	Inf
2.0512	9.9830	Inf	Inf
2.0971	10.0833	Inf	Inf
2.1719	10.1833	Inf	Inf
2.1930	10.0389	Inf	Inf
2.1938	9.9360	Inf	Inf
2.2008	9.8349	Inf	Inf
2.2124	9.9379	Inf	Inf
2.2209	10.1942	Inf	Inf
2.3212	10.2207	Inf	Inf
2.4105	10.3205	Inf	Inf
2.4601	10.4205	Inf	Inf
2.5595	10.5189	Inf	Inf
2.6584	10.5811	Inf	Inf
2.7362	10.6795	Inf	Inf
2.8155	10.7786	Inf	Inf
2.9157	10.8667	Inf	Inf
2.9404	10.7655	Inf	Inf
2.9482	10.6628	Inf	Inf
2.9562	10.5625	Inf	Inf
