Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 13.02.2023	Time: 15:55:31

Name:	Group 10 FFWOH compression perpendicular timber
User Comment:	FairbridgeFarisWeetmanOuyangHigham

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.1998	0.0921	Inf	Inf
0.3000	0.0930	Inf	Inf
0.3998	0.0959	Inf	Inf
0.5005	0.1002	Inf	Inf
0.6009	0.0989	Inf	Inf
0.7013	0.1015	Inf	Inf
0.8014	0.1000	Inf	Inf
0.9017	0.1065	Inf	Inf
1.0015	0.1093	Inf	Inf
1.1012	0.1130	Inf	Inf
1.2015	0.1326	Inf	Inf
1.3015	0.2134	Inf	Inf
1.3600	0.3138	Inf	Inf
1.4043	0.4138	Inf	Inf
1.4395	0.5151	Inf	Inf
1.4723	0.6349	Inf	Inf
1.4972	0.7430	Inf	Inf
1.5295	0.8428	Inf	Inf
1.5577	0.9423	Inf	Inf
1.5847	1.0430	Inf	Inf
1.6130	1.1524	Inf	Inf
1.6410	1.2529	Inf	Inf
1.6786	1.3524	Inf	Inf
1.7237	1.4530	Inf	Inf
1.7542	1.5532	Inf	Inf
1.8151	1.6536	Inf	Inf
1.8888	1.7538	Inf	Inf
1.9887	1.7976	Inf	Inf
2.0885	1.8896	Inf	Inf
2.1887	1.8820	Inf	Inf
2.2896	1.9281	Inf	Inf
2.3901	1.9783	Inf	Inf
2.4895	1.9776	Inf	Inf
2.5899	2.0092	Inf	Inf
2.6899	2.0138	Inf	Inf
2.7896	2.0728	Inf	Inf
2.8895	2.0787	Inf	Inf
2.9894	2.0693	Inf	Inf
3.0894	2.0369	Inf	Inf
3.1895	2.1232	Inf	Inf
3.2894	2.1202	Inf	Inf
3.3892	2.2008	Inf	Inf
3.4892	2.2347	Inf	Inf
3.5891	2.2340	Inf	Inf
3.6894	2.1833	Inf	Inf
3.7897	2.2292	Inf	Inf
3.8895	2.2500	Inf	Inf
3.9896	2.2795	Inf	Inf
4.0897	2.2219	Inf	Inf
4.1513	2.3217	Inf	Inf
4.2514	2.3430	Inf	Inf
4.3511	2.3532	Inf	Inf
4.4508	2.3661	Inf	Inf
4.5502	2.4081	Inf	Inf
4.6495	2.4193	Inf	Inf
4.7492	2.4346	Inf	Inf
4.8493	2.4196	Inf	Inf
4.9501	2.4458	Inf	Inf
5.0507	2.4493	Inf	Inf
5.1504	2.3780	Inf	Inf
5.2410	2.4783	Inf	Inf
5.3407	2.5237	Inf	Inf
