Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 13.02.2023	Time: 16:55:39

Name:	GROUP 10 STEEL
User Comment:	Niketa, Zack, Calum, James, Izi

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0168	0.1004	Inf	Inf
0.0321	0.2005	Inf	Inf
0.0427	0.3009	Inf	Inf
0.0580	0.4002	Inf	Inf
0.0603	0.4995	Inf	Inf
0.0718	0.5995	Inf	Inf
0.0771	0.6999	Inf	Inf
0.0817	0.8003	Inf	Inf
0.0908	0.9004	Inf	Inf
0.0962	1.0000	Inf	Inf
0.1015	1.1001	Inf	Inf
0.1053	1.2001	Inf	Inf
0.1122	1.3002	Inf	Inf
0.1153	1.4010	Inf	Inf
0.1206	1.5018	Inf	Inf
0.1214	1.6007	Inf	Inf
0.1290	1.7000	Inf	Inf
0.1290	1.9008	Inf	Inf
0.1336	2.1013	Inf	Inf
0.1382	1.8004	Inf	Inf
0.1389	2.0008	Inf	Inf
0.1427	2.2013	Inf	Inf
0.1458	2.5014	Inf	Inf
0.1473	2.4014	Inf	Inf
0.1496	2.3017	Inf	Inf
0.1550	2.7015	Inf	Inf
0.1565	2.6019	Inf	Inf
0.1588	2.9027	Inf	Inf
0.1626	3.0024	Inf	Inf
0.1656	2.8019	Inf	Inf
0.1687	3.1021	Inf	Inf
0.1786	3.3022	Inf	Inf
0.1809	3.5019	Inf	Inf
0.1832	3.4018	Inf	Inf
0.1847	3.6015	Inf	Inf
0.1870	3.7019	Inf	Inf
0.1908	3.8024	Inf	Inf
0.1931	3.9024	Inf	Inf
0.1992	4.0021	Inf	Inf
0.2000	4.1021	Inf	Inf
0.2069	4.2033	Inf	Inf
0.2084	4.3041	Inf	Inf
0.2130	4.4045	Inf	Inf
0.2153	4.5045	Inf	Inf
0.2191	4.6042	Inf	Inf
0.2267	4.8050	Inf	Inf
0.2275	4.7042	Inf	Inf
0.2290	5.0055	Inf	Inf
0.2313	4.9055	Inf	Inf
0.2366	5.1055	Inf	Inf
0.2382	5.2056	Inf	Inf
0.2404	5.4060	Inf	Inf
0.2427	5.3056	Inf	Inf
0.2450	5.5065	Inf	Inf
0.2542	5.6072	Inf	Inf
0.2588	5.8085	Inf	Inf
0.2603	5.7084	Inf	Inf
0.2626	5.9085	Inf	Inf
0.2656	6.0082	Inf	Inf
0.2694	6.1082	Inf	Inf
0.2710	6.2075	Inf	Inf
0.2733	6.3075	Inf	Inf
0.2801	6.4076	Inf	Inf
0.2840	6.6077	Inf	Inf
0.2855	6.5069	Inf	Inf
0.2885	6.8089	Inf	Inf
0.2893	6.7081	Inf	Inf
0.2916	7.1098	Inf	Inf
0.2962	7.2094	Inf	Inf
0.2969	6.9093	Inf	Inf
0.2977	7.0090	Inf	Inf
0.3046	7.3098	Inf	Inf
0.3091	7.4099	Inf	Inf
0.3122	7.5099	Inf	Inf
0.3152	7.6088	Inf	Inf
0.3175	7.7089	Inf	Inf
0.3259	8.0094	Inf	Inf
0.3267	7.8093	Inf	Inf
0.3305	8.1106	Inf	Inf
0.3313	8.2106	Inf	Inf
0.3328	8.3103	Inf	Inf
0.3389	8.4099	Inf	Inf
0.3465	8.5107	Inf	Inf
0.3511	8.6104	Inf	Inf
0.3511	9.0855	Inf	Inf
0.3519	8.8094	Inf	Inf
0.3527	8.7116	Inf	Inf
0.3626	9.1874	Inf	Inf
0.3679	9.2871	Inf	Inf
0.3687	9.3868	Inf	Inf
0.4259	9.2852	Inf	Inf
0.4442	9.0818	Inf	Inf
0.4458	9.1829	Inf	Inf
