Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 13.02.2023	Time: 17:31:27

Name:	Lab group 10 wood vertical
User Comment:	Niketa, James, Calum, Zach, Izi

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.1008	0.0251	Inf	Inf
0.2008	0.0262	Inf	Inf
0.3007	0.0277	Inf	Inf
0.4007	0.0251	Inf	Inf
0.5015	0.0285	Inf	Inf
0.6015	0.0251	Inf	Inf
0.7022	0.0333	Inf	Inf
0.8022	0.0210	Inf	Inf
0.9022	0.0236	Inf	Inf
1.0022	0.0217	Inf	Inf
1.1030	0.0214	Inf	Inf
1.2030	0.0214	Inf	Inf
1.3030	0.0206	Inf	Inf
1.4030	0.0289	Inf	Inf
1.5030	0.0307	Inf	Inf
1.6030	0.0326	Inf	Inf
1.7037	0.0195	Inf	Inf
1.8045	0.0139	Inf	Inf
1.9045	0.0217	Inf	Inf
2.0052	0.0176	Inf	Inf
2.1045	0.0843	Inf	Inf
2.1533	0.1836	Inf	Inf
2.1709	0.2829	Inf	Inf
2.1922	0.3829	Inf	Inf
2.2083	0.4830	Inf	Inf
2.2182	0.5834	Inf	Inf
2.2289	0.6834	Inf	Inf
2.2418	0.7846	Inf	Inf
2.2594	0.8843	Inf	Inf
2.2815	0.9847	Inf	Inf
2.2968	1.0847	Inf	Inf
2.3083	1.1840	Inf	Inf
2.3189	1.2833	Inf	Inf
2.3319	1.3826	Inf	Inf
2.3495	1.4823	Inf	Inf
2.3518	1.5834	Inf	Inf
2.3647	1.7037	Inf	Inf
2.3792	1.8045	Inf	Inf
2.3808	1.9046	Inf	Inf
2.3915	2.0031	Inf	Inf
2.4060	2.1035	Inf	Inf
2.4166	2.2028	Inf	Inf
2.4334	2.3029	Inf	Inf
2.4441	2.4029	Inf	Inf
2.4533	2.5022	Inf	Inf
2.4563	2.6019	Inf	Inf
2.4663	2.7015	Inf	Inf
2.4731	2.8023	Inf	Inf
2.4823	2.9027	Inf	Inf
2.4953	3.0035	Inf	Inf
2.5090	3.1036	Inf	Inf
2.5189	3.2047	Inf	Inf
2.5205	3.3051	Inf	Inf
2.5235	3.4048	Inf	Inf
2.5311	3.5049	Inf	Inf
2.5350	3.6053	Inf	Inf
2.5411	3.7049	Inf	Inf
2.5571	3.8046	Inf	Inf
2.5640	3.9054	Inf	Inf
2.5716	4.0047	Inf	Inf
2.5830	4.1047	Inf	Inf
2.5914	4.2044	Inf	Inf
2.6029	4.3048	Inf	Inf
2.6143	4.4056	Inf	Inf
2.6182	4.5057	Inf	Inf
2.6296	4.6050	Inf	Inf
2.6365	4.7046	Inf	Inf
2.6456	4.8039	Inf	Inf
2.6479	4.7027	Inf	Inf
2.6533	4.8024	Inf	Inf
2.6556	4.9429	Inf	Inf
2.6601	5.0786	Inf	Inf
2.6724	5.2809	Inf	Inf
2.6754	5.1797	Inf	Inf
2.6777	5.3798	Inf	Inf
2.6869	5.4795	Inf	Inf
2.6945	5.5784	Inf	Inf
2.7021	5.6777	Inf	Inf
2.7052	5.7766	Inf	Inf
2.7151	5.8740	Inf	Inf
2.7227	5.9771	Inf	Inf
2.7281	6.1903	Inf	Inf
2.7304	6.0880	Inf	Inf
2.7349	6.2918	Inf	Inf
2.7403	6.4342	Inf	Inf
2.7495	6.5335	Inf	Inf
2.7563	6.6335	Inf	Inf
2.7655	6.8344	Inf	Inf
2.7716	6.7343	Inf	Inf
2.7762	6.7328	Inf	Inf
2.7861	6.8325	Inf	Inf
2.7899	6.9333	Inf	Inf
2.7930	6.9333	Inf	Inf
2.7960	7.0344	Inf	Inf
2.7983	7.3424	Inf	Inf
2.7998	7.2334	Inf	Inf
2.8029	7.4946	Inf	Inf
2.8143	7.5942	Inf	Inf
2.8181	7.7123	Inf	Inf
2.8235	7.8127	Inf	Inf
2.8296	7.9142	Inf	Inf
2.8433	7.8127	Inf	Inf
2.8479	7.7119	Inf	Inf
2.8533	7.7085	Inf	Inf
2.8563	7.8063	Inf	Inf
2.8594	7.9588	Inf	Inf
2.8639	8.0581	Inf	Inf
2.8678	8.1596	Inf	Inf
2.8769	8.2593	Inf	Inf
2.8807	8.3597	Inf	Inf
2.8876	8.4598	Inf	Inf
2.9242	8.5606	Inf	Inf
2.9304	8.6602	Inf	Inf
2.9319	8.4598	Inf	Inf
2.9334	8.5613	Inf	Inf
2.9410	8.7618	Inf	Inf
2.9487	8.8603	Inf	Inf
2.9571	8.9742	Inf	Inf
2.9739	9.0743	Inf	Inf
2.9746	9.1728	Inf	Inf
2.9823	9.0716	Inf	Inf
2.9876	8.9712	Inf	Inf
2.9899	8.8704	Inf	Inf
2.9945	9.1087	Inf	Inf
3.0029	9.2410	Inf	Inf
3.0044	9.3901	Inf	Inf
3.0158	9.5198	Inf	Inf
3.0326	9.4171	Inf	Inf
3.0380	9.2133	Inf	Inf
