Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 13.02.2023	Time: 17:20:10

Name:	LAB GROUP 10 GRAIN HORIZONTAL
User Comment:	Niketa, James, Zach, Calum, Izi

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.1000	0.0450	Inf	Inf
0.2000	0.0412	Inf	Inf
0.3007	0.0416	Inf	Inf
0.4007	0.0446	Inf	Inf
0.5007	0.0427	Inf	Inf
0.6007	0.0528	Inf	Inf
0.7007	0.0450	Inf	Inf
0.8007	0.0468	Inf	Inf
0.9007	0.0450	Inf	Inf
1.0007	0.0405	Inf	Inf
1.1007	0.0375	Inf	Inf
1.2007	0.0318	Inf	Inf
1.3007	0.0322	Inf	Inf
1.4007	0.0363	Inf	Inf
1.5007	0.0371	Inf	Inf
1.6007	0.0401	Inf	Inf
1.7007	0.0378	Inf	Inf
1.8007	0.0345	Inf	Inf
1.9006	0.0345	Inf	Inf
2.0006	0.0341	Inf	Inf
2.1006	0.0435	Inf	Inf
2.2006	0.0420	Inf	Inf
2.3014	0.0446	Inf	Inf
2.4014	0.0884	Inf	Inf
2.4869	0.1885	Inf	Inf
2.5670	0.2881	Inf	Inf
2.6296	0.3882	Inf	Inf
2.6800	0.4890	Inf	Inf
2.7426	0.5898	Inf	Inf
2.8036	0.6894	Inf	Inf
2.8930	0.7906	Inf	Inf
2.9937	0.8794	Inf	Inf
3.0937	0.9465	Inf	Inf
3.1937	0.9693	Inf	Inf
3.2937	0.9899	Inf	Inf
3.3944	0.9753	Inf	Inf
3.4952	0.9570	Inf	Inf
3.5952	0.9540	Inf	Inf
3.6952	1.0027	Inf	Inf
3.7952	0.9532	Inf	Inf
3.8952	1.0075	Inf	Inf
3.9952	0.9956	Inf	Inf
4.0952	0.9798	Inf	Inf
4.1952	0.9761	Inf	Inf
4.2952	0.9952	Inf	Inf
4.3952	1.0282	Inf	Inf
4.4951	1.0188	Inf	Inf
4.5951	1.0394	Inf	Inf
4.6951	1.0341	Inf	Inf
4.7951	1.0656	Inf	Inf
4.8951	1.0465	Inf	Inf
4.9951	1.0945	Inf	Inf
