Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 15.02.2023	Time: 12:13:18

Name:	Aluminium
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0093	0.1007	Inf	Inf
0.0136	0.2004	Inf	Inf
0.0230	0.3020	Inf	Inf
0.0441	0.5121	Inf	Inf
0.0478	0.6109	Inf	Inf
0.0611	0.7811	Inf	Inf
0.0697	0.8839	Inf	Inf
0.0735	0.9840	Inf	Inf
0.0884	1.1909	Inf	Inf
0.0931	1.2927	Inf	Inf
0.1000	1.4104	Inf	Inf
0.1025	1.5106	Inf	Inf
0.1074	1.6110	Inf	Inf
0.1179	1.7512	Inf	Inf
0.1294	1.9419	Inf	Inf
0.1335	2.1057	Inf	Inf
0.1526	2.3108	Inf	Inf
0.1615	2.4956	Inf	Inf
0.1701	2.6629	Inf	Inf
0.1727	2.7662	Inf	Inf
0.1811	2.8666	Inf	Inf
0.1868	2.9677	Inf	Inf
0.1939	3.1017	Inf	Inf
0.2089	3.2570	Inf	Inf
0.2185	3.4399	Inf	Inf
0.2348	3.5398	Inf	Inf
0.2465	3.6415	Inf	Inf
0.2753	3.7510	Inf	Inf
0.3205	3.8504	Inf	Inf
0.3512	3.9498	Inf	Inf
0.3889	4.0497	Inf	Inf
0.4257	4.1502	Inf	Inf
0.4603	4.2505	Inf	Inf
0.5187	4.3507	Inf	Inf
0.5660	4.4501	Inf	Inf
0.6082	4.5503	Inf	Inf
0.6483	4.6502	Inf	Inf
0.6918	4.7499	Inf	Inf
0.7448	4.8495	Inf	Inf
0.8105	4.9496	Inf	Inf
0.8873	5.0499	Inf	Inf
0.9690	5.1500	Inf	Inf
1.0547	5.2497	Inf	Inf
1.1553	5.3355	Inf	Inf
1.2553	5.3876	Inf	Inf
1.3556	5.4856	Inf	Inf
1.4556	5.5636	Inf	Inf
1.5552	5.6080	Inf	Inf
1.6560	5.6601	Inf	Inf
1.7558	5.6596	Inf	Inf
1.8560	5.7353	Inf	Inf
1.9560	5.7762	Inf	Inf
2.0559	5.7757	Inf	Inf
2.1556	5.7790	Inf	Inf
2.2557	5.8480	Inf	Inf
2.3558	5.8401	Inf	Inf
2.4558	5.8428	Inf	Inf
2.5562	5.8504	Inf	Inf
2.6555	5.8886	Inf	Inf
2.7551	5.9057	Inf	Inf
2.8551	5.9004	Inf	Inf
2.9550	5.8988	Inf	Inf
3.0547	5.9402	Inf	Inf
3.1548	5.9504	Inf	Inf
3.2549	5.9159	Inf	Inf
3.3549	5.9117	Inf	Inf
3.4553	5.9092	Inf	Inf
3.5553	5.9287	Inf	Inf
3.6552	5.9313	Inf	Inf
3.7550	5.9221	Inf	Inf
3.8553	5.9477	Inf	Inf
3.9554	5.9335	Inf	Inf
4.0557	5.9021	Inf	Inf
4.1557	5.8856	Inf	Inf
4.2550	5.8679	Inf	Inf
4.3546	5.8434	Inf	Inf
4.4553	5.8073	Inf	Inf
4.5550	5.8142	Inf	Inf
4.6548	5.7210	Inf	Inf
4.7552	5.6708	Inf	Inf
4.8556	5.6164	Inf	Inf
4.9551	5.5617	Inf	Inf
5.0551	5.4789	Inf	Inf
5.1544	5.4210	Inf	Inf
5.2537	5.3546	Inf	Inf
5.3387	5.2513	Inf	Inf
5.4383	5.2080	Inf	Inf
5.5333	5.1065	Inf	Inf
5.6337	5.0092	Inf	Inf
5.7272	4.9088	Inf	Inf
5.7959	4.8068	Inf	Inf
5.8911	4.7054	Inf	Inf
5.9519	4.5094	Inf	Inf
6.0752	4.1975	Inf	Inf
6.1519	4.0409	Inf	Inf
6.2329	3.8823	Inf	Inf
Data End	

