Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 15.02.2023	Time: 12:00:20

Name:	Group 11A  Steel
User Comment:	OW, LB, RM, 

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0051	0.1001	Inf	Inf
0.0104	0.2003	Inf	Inf
0.0159	0.3005	Inf	Inf
0.0300	0.4001	Inf	Inf
0.0344	0.6022	Inf	Inf
0.0350	0.5019	Inf	Inf
0.0468	0.7020	Inf	Inf
0.0572	0.8018	Inf	Inf
0.0626	0.9018	Inf	Inf
0.0652	1.0018	Inf	Inf
0.0694	1.2034	Inf	Inf
0.0728	1.3019	Inf	Inf
0.0738	1.1021	Inf	Inf
0.0829	1.5027	Inf	Inf
0.0868	1.4025	Inf	Inf
0.0870	1.6024	Inf	Inf
0.0919	1.7028	Inf	Inf
0.0966	1.9348	Inf	Inf
0.0989	1.8343	Inf	Inf
0.1026	2.1664	Inf	Inf
0.1065	2.0424	Inf	Inf
0.1146	2.2912	Inf	Inf
0.1237	2.4048	Inf	Inf
0.1266	2.5184	Inf	Inf
0.1331	2.6802	Inf	Inf
0.1356	2.8250	Inf	Inf
0.1443	3.0382	Inf	Inf
0.1445	2.9386	Inf	Inf
0.1538	3.1637	Inf	Inf
0.1651	3.4614	Inf	Inf
0.1654	3.3628	Inf	Inf
0.1659	3.2638	Inf	Inf
0.1682	3.5606	Inf	Inf
0.1725	3.6986	Inf	Inf
0.1774	3.8529	Inf	Inf
0.1851	4.2170	Inf	Inf
0.1870	4.0244	Inf	Inf
0.1904	4.3722	Inf	Inf
0.1982	4.4915	Inf	Inf
0.2030	4.6142	Inf	Inf
0.2031	4.7572	Inf	Inf
0.2073	4.8549	Inf	Inf
0.2120	4.9554	Inf	Inf
0.2143	5.1057	Inf	Inf
0.2158	5.2066	Inf	Inf
0.2243	5.3068	Inf	Inf
0.2289	5.4110	Inf	Inf
0.2307	5.5090	Inf	Inf
0.2407	5.6107	Inf	Inf
0.2412	5.7308	Inf	Inf
0.2450	5.8306	Inf	Inf
0.2512	6.0306	Inf	Inf
0.2516	5.9294	Inf	Inf
0.2542	6.1319	Inf	Inf
0.2605	6.3323	Inf	Inf
0.2620	6.2310	Inf	Inf
0.2627	6.4306	Inf	Inf
0.2683	6.6167	Inf	Inf
0.2699	6.8170	Inf	Inf
0.2704	6.7152	Inf	Inf
0.2749	6.9969	Inf	Inf
0.2791	7.2028	Inf	Inf
0.2817	7.3405	Inf	Inf
0.2865	7.4588	Inf	Inf
0.2898	7.6621	Inf	Inf
0.2904	7.5622	Inf	Inf
0.2972	7.8660	Inf	Inf
0.2977	7.7590	Inf	Inf
0.2981	8.0998	Inf	Inf
0.3010	7.9662	Inf	Inf
0.3076	8.2979	Inf	Inf
0.3120	8.1995	Inf	Inf
0.3138	8.4267	Inf	Inf
0.3189	8.5295	Inf	Inf
0.3196	8.8418	Inf	Inf
0.3200	8.6289	Inf	Inf
0.3221	8.9796	Inf	Inf
0.3235	8.7436	Inf	Inf
0.3249	9.0816	Inf	Inf
0.3254	9.1834	Inf	Inf
0.3310	9.5187	Inf	Inf
