Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 15.02.2023	Time: 12:27:24

Name:	Parallel grain wood
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0121	9.4607	Inf	Inf
0.0175	9.1396	Inf	Inf
0.0458	8.7635	Inf	Inf
0.0701	8.8898	Inf	Inf
0.0850	9.5787	Inf	Inf
0.1032	9.4793	Inf	Inf
0.1481	9.5453	Inf	Inf
0.1920	9.4360	Inf	Inf
0.2023	9.6713	Inf	Inf
0.2553	9.7827	Inf	Inf
0.2925	9.3867	Inf	Inf
0.3556	9.8605	Inf	Inf
0.3918	9.3683	Inf	Inf
0.4538	9.8348	Inf	Inf
0.4813	9.4621	Inf	Inf
0.4954	9.5549	Inf	Inf
0.5334	10.0100	Inf	Inf
0.5601	10.1191	Inf	Inf
0.5843	9.6818	Inf	Inf
0.6590	10.1781	Inf	Inf
0.6844	9.5986	Inf	Inf
0.7416	9.7010	Inf	Inf
0.7604	10.1819	Inf	Inf
0.8430	9.7758	Inf	Inf
0.8607	10.1644	Inf	Inf
0.8965	10.4819	Inf	Inf
0.9159	9.6616	Inf	Inf
0.9615	10.6113	Inf	Inf
0.9909	10.2760	Inf	Inf
1.0160	9.6327	Inf	Inf
1.0657	10.1719	Inf	Inf
1.0805	9.5155	Inf	Inf
1.1062	10.4269	Inf	Inf
1.1155	10.5647	Inf	Inf
1.1492	9.6243	Inf	Inf
1.1569	9.7248	Inf	Inf
1.1786	10.9703	Inf	Inf
1.2205	11.0868	Inf	Inf
1.2510	9.8256	Inf	Inf
1.2907	11.1918	Inf	Inf
1.3437	9.9237	Inf	Inf
1.3503	11.2968	Inf	Inf
1.4438	9.8194	Inf	Inf
1.4502	11.3529	Inf	Inf
1.4971	11.4715	Inf	Inf
1.5190	9.9321	Inf	Inf
1.5355	10.0388	Inf	Inf
1.5581	11.7869	Inf	Inf
1.6039	11.8979	Inf	Inf
1.6226	10.2758	Inf	Inf
1.6661	10.1678	Inf	Inf
1.6873	10.9095	Inf	Inf
1.7060	10.7949	Inf	Inf
1.7272	9.9158	Inf	Inf
1.7823	11.9738	Inf	Inf
1.8080	12.1132	Inf	Inf
1.8215	10.0233	Inf	Inf
1.8346	10.1181	Inf	Inf
1.8488	12.2281	Inf	Inf
1.9258	10.2507	Inf	Inf
1.9269	12.4963	Inf	Inf
1.9598	12.6189	Inf	Inf
2.0259	10.1645	Inf	Inf
2.0411	12.4285	Inf	Inf
2.0628	11.6229	Inf	Inf
2.0652	10.0462	Inf	Inf
2.0810	11.5290	Inf	Inf
2.0969	11.8155	Inf	Inf
2.1243	10.9207	Inf	Inf
2.1295	10.8130	Inf	Inf
2.1312	10.9308	Inf	Inf
2.1435	11.1506	Inf	Inf
2.1653	10.0585	Inf	Inf
2.1741	10.1637	Inf	Inf
2.1753	12.0088	Inf	Inf
2.2079	12.3158	Inf	Inf
2.2111	10.3125	Inf	Inf
2.2405	12.4391	Inf	Inf
2.3109	10.2728	Inf	Inf
2.3316	12.5506	Inf	Inf
2.4109	10.2706	Inf	Inf
2.4334	12.5210	Inf	Inf
2.4876	12.4220	Inf	Inf
2.5095	10.3201	Inf	Inf
2.5462	10.1975	Inf	Inf
2.5527	12.1881	Inf	Inf
2.5706	9.9263	Inf	Inf
2.5892	12.0890	Inf	Inf
2.6245	10.0210	Inf	Inf
2.6494	11.9712	Inf	Inf
2.6730	10.3393	Inf	Inf
2.6931	11.7812	Inf	Inf
2.7501	10.4423	Inf	Inf
2.7548	11.1106	Inf	Inf
2.7953	9.9363	Inf	Inf
2.8274	9.8390	Inf	Inf
2.8471	9.6550	Inf	Inf
2.8498	10.5412	Inf	Inf
2.9174	8.1151	Inf	Inf
2.9486	7.3739	Inf	Inf
2.9503	10.5140	Inf	Inf
2.9605	7.0650	Inf	Inf
3.0267	10.4015	Inf	Inf
3.0421	4.9566	Inf	Inf
3.0584	10.2850	Inf	Inf
3.0622	4.2421	Inf	Inf
3.0823	3.6794	Inf	Inf
3.1577	10.2651	Inf	Inf
3.1629	2.0856	Inf	Inf
3.1727	1.9201	Inf	Inf
3.1986	10.1457	Inf	Inf
3.2309	9.3701	Inf	Inf
3.2644	0.5986	Inf	Inf
3.2657	9.5952	Inf	Inf
3.3322	10.4536	Inf	Inf
3.4324	10.3726	Inf	Inf
3.5034	10.4727	Inf	Inf
3.5825	10.3597	Inf	Inf
3.6704	10.4609	Inf	Inf
3.6919	10.5656	Inf	Inf
3.7334	10.6663	Inf	Inf
3.8334	10.5406	Inf	Inf
3.9329	10.6325	Inf	Inf
4.0339	10.6649	Inf	Inf
4.1333	10.5682	Inf	Inf
4.1719	10.4570	Inf	Inf
4.2302	10.2453	Inf	Inf
4.2768	10.0994	Inf	Inf
4.3115	9.4958	Inf	Inf
4.3640	9.5963	Inf	Inf
4.4148	10.1082	Inf	Inf
4.4465	10.2070	Inf	Inf
4.5477	10.2192	Inf	Inf
4.6314	10.1089	Inf	Inf
4.7324	10.1491	Inf	Inf
4.7486	10.2504	Inf	Inf
4.8399	10.5445	Inf	Inf
4.9384	10.5651	Inf	Inf
5.0394	10.4737	Inf	Inf
5.1399	10.5290	Inf	Inf
5.2412	10.4558	Inf	Inf
5.2776	10.3446	Inf	Inf
5.3467	9.8583	Inf	Inf
5.3591	9.4420	Inf	Inf
5.3706	9.0907	Inf	Inf
5.3831	9.1885	Inf	Inf
5.4696	10.3935	Inf	Inf
5.5694	10.3426	Inf	Inf
5.6627	10.2353	Inf	Inf
5.7383	10.3300	Inf	Inf
5.7650	10.4740	Inf	Inf
5.8657	10.3685	Inf	Inf
5.9622	10.4689	Inf	Inf
6.0601	10.5690	Inf	Inf
6.1396	10.6677	Inf	Inf
6.2420	10.6912	Inf	Inf
6.3251	10.5848	Inf	Inf
6.3681	10.4656	Inf	Inf
6.4240	9.7370	Inf	Inf
6.4507	9.3031	Inf	Inf
6.4742	9.4092	Inf	Inf
6.5519	10.5828	Inf	Inf
6.5717	10.7040	Inf	Inf
6.6721	10.7419	Inf	Inf
6.6913	10.6344	Inf	Inf
6.7041	10.5093	Inf	Inf
6.7831	10.6237	Inf	Inf
6.8054	10.8774	Inf	Inf
6.8856	10.9896	Inf	Inf
6.9202	10.8839	Inf	Inf
6.9791	10.9822	Inf	Inf
7.0251	11.0802	Inf	Inf
7.1258	11.1670	Inf	Inf
7.2250	11.1977	Inf	Inf
7.3035	11.2986	Inf	Inf
7.4045	11.3599	Inf	Inf
7.4936	11.2427	Inf	Inf
7.5066	11.0761	Inf	Inf
7.5524	10.3331	Inf	Inf
7.5677	9.8885	Inf	Inf
7.5773	9.6702	Inf	Inf
7.5906	9.7690	Inf	Inf
7.6160	10.1215	Inf	Inf
7.6940	11.7847	Inf	Inf
7.7188	11.9457	Inf	Inf
7.7642	11.8288	Inf	Inf
7.8634	11.7871	Inf	Inf
7.8689	11.8971	Inf	Inf
7.9476	12.2395	Inf	Inf
8.0444	12.3384	Inf	Inf
8.1376	12.4355	Inf	Inf
8.1619	12.5303	Inf	Inf
8.2417	12.8050	Inf	Inf
8.2817	12.9075	Inf	Inf
8.3525	13.0079	Inf	Inf
8.4529	13.0376	Inf	Inf
8.5163	12.9203	Inf	Inf
8.5551	12.2726	Inf	Inf
8.5634	12.1034	Inf	Inf
8.5842	11.5055	Inf	Inf
8.6140	11.5880	Inf	Inf
8.6468	12.3750	Inf	Inf
8.7174	13.6509	Inf	Inf
8.7488	13.9102	Inf	Inf
8.7834	14.0295	Inf	Inf
8.8502	13.1746	Inf	Inf
8.8911	13.2667	Inf	Inf
8.8949	13.3600	Inf	Inf
8.9916	14.5203	Inf	Inf
9.0101	14.6224	Inf	Inf
9.0282	14.7569	Inf	Inf
