Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 15.02.2023	Time: 12:32:51

Name:	wood perpendicular grain
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
19.4436	0.3915	Inf	Inf
19.4668	0.4912	Inf	Inf
19.5283	0.7556	Inf	Inf
19.5692	0.9714	Inf	Inf
19.6162	1.1738	Inf	Inf
19.6703	1.3569	Inf	Inf
19.7175	1.4917	Inf	Inf
19.8168	1.5371	Inf	Inf
19.9167	1.5493	Inf	Inf
20.0173	1.4708	Inf	Inf
20.1172	1.4836	Inf	Inf
20.2168	1.5084	Inf	Inf
20.3173	1.5095	Inf	Inf
20.4178	1.5162	Inf	Inf
20.5176	1.5682	Inf	Inf
20.6180	1.6058	Inf	Inf
20.7176	1.5860	Inf	Inf
20.8169	1.6348	Inf	Inf
20.9171	1.6474	Inf	Inf
21.0175	1.6096	Inf	Inf
21.1169	1.6594	Inf	Inf
21.2170	1.6672	Inf	Inf
21.3166	1.6591	Inf	Inf
21.4170	1.6778	Inf	Inf
21.5172	1.7107	Inf	Inf
21.6160	1.7486	Inf	Inf
21.7162	1.7797	Inf	Inf
21.8170	1.7882	Inf	Inf
21.9165	1.8100	Inf	Inf
22.0178	1.8586	Inf	Inf
22.1168	1.9027	Inf	Inf
22.2156	1.9186	Inf	Inf
22.3148	1.9290	Inf	Inf
22.4157	1.9276	Inf	Inf
22.5159	1.9623	Inf	Inf
22.6148	1.9617	Inf	Inf
22.7150	2.0010	Inf	Inf
22.8146	2.0178	Inf	Inf
22.9149	2.0628	Inf	Inf
23.0146	2.0661	Inf	Inf
23.1139	2.1141	Inf	Inf
23.2148	2.1661	Inf	Inf
23.3153	2.1207	Inf	Inf
23.4147	2.1127	Inf	Inf
23.5146	2.1218	Inf	Inf
23.6150	2.2052	Inf	Inf
23.7151	2.2306	Inf	Inf
23.8152	2.2814	Inf	Inf
23.9160	2.2797	Inf	Inf
24.0123	2.3796	Inf	Inf
24.1119	2.4007	Inf	Inf
24.2124	2.4623	Inf	Inf
24.3125	2.4305	Inf	Inf
24.4137	2.4830	Inf	Inf
24.5137	2.5731	Inf	Inf
24.6131	2.6370	Inf	Inf
24.7124	2.6537	Inf	Inf
24.8117	2.6887	Inf	Inf
24.9083	2.7889	Inf	Inf
25.0088	2.8182	Inf	Inf
25.1073	2.9011	Inf	Inf
25.2082	2.9493	Inf	Inf
25.3090	2.9619	Inf	Inf
25.4087	3.0242	Inf	Inf
25.5092	3.0730	Inf	Inf
25.6088	3.1131	Inf	Inf
