Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 17.02.2023	Time: 11:53:21

Name:	Aluminium alloy
User Comment:	Farah Faizal, Bintang Dirya,Laura Richard, Jake Liu, Seb Fecher

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.1000	0.0164	Inf	Inf
0.1498	0.1161	Inf	Inf
0.1742	0.2157	Inf	Inf
0.1787	0.3164	Inf	Inf
0.1882	0.5171	Inf	Inf
0.1893	0.4163	Inf	Inf
0.2059	0.6171	Inf	Inf
0.2311	0.9047	Inf	Inf
0.2346	1.0044	Inf	Inf
0.2444	1.1043	Inf	Inf
0.2549	1.2534	Inf	Inf
0.2551	1.3537	Inf	Inf
0.2668	1.4537	Inf	Inf
0.2717	1.5527	Inf	Inf
0.2768	1.6520	Inf	Inf
0.2816	1.7517	Inf	Inf
0.2904	1.8531	Inf	Inf
0.2932	1.9541	Inf	Inf
0.3035	2.1572	Inf	Inf
0.3049	2.0542	Inf	Inf
0.3135	2.2834	Inf	Inf
0.3214	2.4336	Inf	Inf
0.3287	2.6674	Inf	Inf
0.3323	2.5659	Inf	Inf
0.3398	2.8381	Inf	Inf
0.3532	2.9753	Inf	Inf
0.3598	3.0748	Inf	Inf
0.3631	3.1757	Inf	Inf
0.3697	3.2756	Inf	Inf
0.3716	3.3765	Inf	Inf
0.3803	3.4756	Inf	Inf
0.3867	3.5755	Inf	Inf
0.3949	3.6764	Inf	Inf
0.4034	3.7756	Inf	Inf
0.4101	3.8747	Inf	Inf
0.4253	3.9747	Inf	Inf
0.4311	4.0772	Inf	Inf
0.4858	4.1777	Inf	Inf
0.5218	4.2778	Inf	Inf
0.5529	4.3774	Inf	Inf
0.5942	4.4773	Inf	Inf
0.6214	4.5773	Inf	Inf
0.6648	4.6777	Inf	Inf
0.6912	4.7800	Inf	Inf
0.7339	4.8802	Inf	Inf
0.7653	4.9804	Inf	Inf
0.8343	5.0806	Inf	Inf
0.8937	5.1805	Inf	Inf
0.9554	5.2796	Inf	Inf
1.0075	5.3770	Inf	Inf
1.0872	5.4774	Inf	Inf
1.1849	5.5781	Inf	Inf
1.2635	5.6804	Inf	Inf
1.3628	5.7516	Inf	Inf
1.4576	5.8515	Inf	Inf
1.5569	5.8927	Inf	Inf
1.5810	5.8926	Inf	Inf
1.5824	5.7919	Inf	Inf
1.6315	5.9929	Inf	Inf
1.7311	5.9790	Inf	Inf
1.8314	5.9995	Inf	Inf
1.9167	6.1001	Inf	Inf
2.0163	6.1049	Inf	Inf
2.1155	6.1007	Inf	Inf
2.2154	6.1885	Inf	Inf
2.2924	6.0870	Inf	Inf
2.2994	6.1878	Inf	Inf
2.3990	6.1702	Inf	Inf
2.4991	6.2173	Inf	Inf
2.5992	6.2261	Inf	Inf
2.6466	6.1255	Inf	Inf
2.6539	6.2244	Inf	Inf
2.6619	6.3401	Inf	Inf
2.7627	6.2602	Inf	Inf
2.8634	6.2376	Inf	Inf
2.9633	6.2910	Inf	Inf
2.9866	6.1905	Inf	Inf
2.9934	6.2904	Inf	Inf
3.0022	6.4063	Inf	Inf
3.1001	6.3057	Inf	Inf
3.2001	6.2774	Inf	Inf
3.3005	6.2667	Inf	Inf
3.3697	6.2653	Inf	Inf
3.3701	6.1661	Inf	Inf
3.4702	6.2803	Inf	Inf
3.5703	6.2934	Inf	Inf
3.6700	6.2978	Inf	Inf
3.7697	6.3008	Inf	Inf
3.8702	6.2832	Inf	Inf
3.9710	6.2769	Inf	Inf
4.0703	6.2613	Inf	Inf
4.0906	6.1604	Inf	Inf
4.0993	6.2641	Inf	Inf
4.1990	6.2484	Inf	Inf
4.2991	6.2293	Inf	Inf
4.3989	6.1970	Inf	Inf
4.4989	6.0942	Inf	Inf
4.5073	6.1926	Inf	Inf
4.6074	6.1169	Inf	Inf
4.7083	6.0743	Inf	Inf
4.8079	6.0067	Inf	Inf
4.8958	5.9024	Inf	Inf
4.9060	6.0056	Inf	Inf
4.9889	5.9046	Inf	Inf
5.0888	5.8412	Inf	Inf
5.1891	5.7462	Inf	Inf
5.2246	5.7476	Inf	Inf
5.2321	5.6460	Inf	Inf
5.3153	5.6470	Inf	Inf
5.4095	5.5460	Inf	Inf
5.5102	5.4521	Inf	Inf
5.5532	5.3511	Inf	Inf
5.6536	5.2900	Inf	Inf
5.7398	5.1874	Inf	Inf
5.8092	5.0864	Inf	Inf
5.8715	4.9845	Inf	Inf
5.9857	4.5578	Inf	Inf
6.0575	4.3977	Inf	Inf
6.1392	4.2371	Inf	Inf
6.2236	4.0750	Inf	Inf
Data End	

