Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 17.02.2023	Time: 11:59:09

Name:	Steel
User Comment:	Farah Faizal, Bintang Dirya,Laura Richard, Jake Liu, Seb Fecher

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.1015	0.0388	Inf	Inf
0.2023	0.0321	Inf	Inf
0.3034	0.0248	Inf	Inf
0.4030	0.0332	Inf	Inf
0.5032	0.0466	Inf	Inf
0.5309	0.1457	Inf	Inf
0.5381	0.2444	Inf	Inf
0.5649	0.6583	Inf	Inf
0.5939	1.3630	Inf	Inf
0.6321	2.1112	Inf	Inf
0.6502	2.7327	Inf	Inf
0.6512	2.8314	Inf	Inf
0.6591	2.9381	Inf	Inf
0.6810	3.6658	Inf	Inf
0.7183	5.0461	Inf	Inf
0.7394	6.3571	Inf	Inf
0.7491	6.8792	Inf	Inf
0.7596	7.7206	Inf	Inf
0.7615	8.0040	Inf	Inf
0.7707	8.4360	Inf	Inf
0.7895	9.4176	Inf	Inf
0.8596	10.2027	Inf	Inf
0.8944	10.0492	Inf	Inf
0.9648	9.8921	Inf	Inf
1.0001	9.6763	Inf	Inf
1.0751	9.7772	Inf	Inf
1.1302	9.6740	Inf	Inf
1.2155	9.5702	Inf	Inf
1.3090	9.4616	Inf	Inf
1.3333	9.3583	Inf	Inf
1.3552	9.2569	Inf	Inf
1.3710	9.3555	Inf	Inf
1.3791	9.5454	Inf	Inf
1.4745	9.8788	Inf	Inf
1.5746	9.8793	Inf	Inf
1.6754	9.9081	Inf	Inf
1.7747	10.0071	Inf	Inf
1.8744	10.0373	Inf	Inf
1.9183	10.1383	Inf	Inf
1.9485	10.0256	Inf	Inf
2.0065	9.8936	Inf	Inf
2.0296	9.5351	Inf	Inf
2.0517	9.6349	Inf	Inf
2.0745	9.9056	Inf	Inf
2.1566	10.1526	Inf	Inf
2.1787	10.2494	Inf	Inf
2.2647	10.3471	Inf	Inf
2.2831	10.4445	Inf	Inf
2.3565	10.5428	Inf	Inf
2.3916	10.6410	Inf	Inf
2.4916	10.5605	Inf	Inf
2.4973	10.4587	Inf	Inf
2.5089	10.3577	Inf	Inf
2.5150	10.4601	Inf	Inf
2.5840	10.9750	Inf	Inf
2.6833	11.0751	Inf	Inf
2.7835	11.1692	Inf	Inf
2.8485	11.2710	Inf	Inf
2.9489	11.3486	Inf	Inf
3.0108	11.4509	Inf	Inf
3.1105	11.4749	Inf	Inf
3.2106	11.4494	Inf	Inf
3.2278	11.3470	Inf	Inf
3.2411	11.2453	Inf	Inf
3.2431	11.1442	Inf	Inf
3.2450	11.2395	Inf	Inf
3.2511	11.4121	Inf	Inf
3.3489	11.7618	Inf	Inf
3.4490	11.7670	Inf	Inf
3.5166	11.8660	Inf	Inf
3.6152	11.8956	Inf	Inf
3.7137	11.9635	Inf	Inf
3.8142	12.0291	Inf	Inf
3.9143	12.0582	Inf	Inf
4.0144	12.0841	Inf	Inf
4.0331	11.9760	Inf	Inf
4.0422	11.8342	Inf	Inf
4.0518	11.7015	Inf	Inf
4.0598	11.7987	Inf	Inf
4.1553	12.2639	Inf	Inf
4.2562	12.2632	Inf	Inf
4.3574	12.2998	Inf	Inf
4.4571	12.3311	Inf	Inf
4.5580	12.3737	Inf	Inf
4.6569	12.4237	Inf	Inf
4.7558	12.4594	Inf	Inf
4.8543	12.5092	Inf	Inf
4.9523	12.5340	Inf	Inf
5.0114	12.4304	Inf	Inf
5.0329	12.1946	Inf	Inf
5.0400	12.0757	Inf	Inf
5.0505	12.1846	Inf	Inf
5.0851	12.5434	Inf	Inf
5.1844	12.6352	Inf	Inf
5.2852	12.6157	Inf	Inf
5.3854	12.6399	Inf	Inf
5.4863	12.6557	Inf	Inf
5.5870	12.6655	Inf	Inf
5.6867	12.6619	Inf	Inf
5.7857	12.7029	Inf	Inf
5.8850	12.7256	Inf	Inf
5.9854	12.6572	Inf	Inf
5.9958	12.5486	Inf	Inf
6.0058	12.3391	Inf	Inf
6.0131	12.4338	Inf	Inf
6.1093	12.7796	Inf	Inf
6.2093	12.8042	Inf	Inf
6.3095	12.7851	Inf	Inf
6.4095	12.7550	Inf	Inf
