Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 17.02.2023	Time: 12:13:12

Name:	Timber parallel to the grain
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0997	0.0384	Inf	Inf
0.1995	0.0363	Inf	Inf
0.3004	0.0310	Inf	Inf
0.4006	0.0303	Inf	Inf
0.5002	0.0316	Inf	Inf
0.5988	0.0898	Inf	Inf
0.6454	0.1898	Inf	Inf
0.6552	0.2893	Inf	Inf
0.6884	0.3900	Inf	Inf
0.7007	0.4897	Inf	Inf
0.7158	0.5876	Inf	Inf
0.7312	0.6881	Inf	Inf
0.7473	0.7953	Inf	Inf
0.7873	1.0311	Inf	Inf
0.8207	1.2772	Inf	Inf
0.8880	1.4657	Inf	Inf
0.9542	1.3647	Inf	Inf
0.9559	1.2640	Inf	Inf
0.9778	1.3636	Inf	Inf
0.9924	1.2629	Inf	Inf
0.9959	1.3641	Inf	Inf
1.0154	1.4637	Inf	Inf
1.1144	1.4769	Inf	Inf
1.2146	1.5462	Inf	Inf
1.3144	1.5337	Inf	Inf
1.3305	1.4320	Inf	Inf
1.4299	1.4687	Inf	Inf
1.5297	1.5130	Inf	Inf
1.6290	1.5184	Inf	Inf
1.7290	1.5325	Inf	Inf
1.7393	1.4305	Inf	Inf
1.7720	1.5304	Inf	Inf
1.7972	1.6393	Inf	Inf
1.8972	1.6149	Inf	Inf
1.9968	1.6525	Inf	Inf
2.0966	1.6396	Inf	Inf
2.1971	1.6284	Inf	Inf
2.2973	1.6301	Inf	Inf
2.3377	1.5285	Inf	Inf
2.3612	1.6292	Inf	Inf
2.4622	1.7112	Inf	Inf
2.5623	1.7483	Inf	Inf
2.6621	1.7310	Inf	Inf
2.6742	1.6284	Inf	Inf
2.6767	1.5272	Inf	Inf
2.6831	1.6264	Inf	Inf
2.7086	1.7262	Inf	Inf
2.7907	1.8256	Inf	Inf
2.8908	1.8398	Inf	Inf
2.9904	1.8572	Inf	Inf
3.0910	1.8653	Inf	Inf
3.1483	1.7637	Inf	Inf
3.1617	1.6628	Inf	Inf
3.1707	1.7593	Inf	Inf
3.2187	1.9422	Inf	Inf
3.3192	1.9691	Inf	Inf
3.4204	1.9838	Inf	Inf
3.5215	1.9779	Inf	Inf
3.6201	2.0016	Inf	Inf
3.7204	2.0117	Inf	Inf
3.7913	1.9073	Inf	Inf
3.8049	1.8066	Inf	Inf
3.8294	1.9100	Inf	Inf
3.8614	2.0898	Inf	Inf
3.9621	2.1122	Inf	Inf
4.0632	2.1058	Inf	Inf
4.1405	2.0018	Inf	Inf
4.1519	1.9010	Inf	Inf
4.1778	2.0038	Inf	Inf
4.2176	2.1669	Inf	Inf
4.3174	2.1729	Inf	Inf
4.4169	2.1794	Inf	Inf
4.4967	1.9711	Inf	Inf
4.4971	2.0779	Inf	Inf
4.5238	2.0707	Inf	Inf
4.5520	2.1913	Inf	Inf
4.6521	2.0922	Inf	Inf
4.6822	1.9908	Inf	Inf
4.7144	2.0867	Inf	Inf
4.7282	2.2017	Inf	Inf
4.7734	2.3323	Inf	Inf
4.8739	2.3057	Inf	Inf
4.9735	2.3035	Inf	Inf
5.0180	2.0999	Inf	Inf
5.0184	2.2011	Inf	Inf
5.0527	2.2005	Inf	Inf
5.0782	2.4121	Inf	Inf
5.1782	2.4088	Inf	Inf
5.2476	2.3075	Inf	Inf
5.2668	2.2065	Inf	Inf
5.2852	2.3065	Inf	Inf
5.3057	2.4062	Inf	Inf
5.3181	2.5183	Inf	Inf
5.4182	2.5493	Inf	Inf
5.5182	2.5531	Inf	Inf
5.6181	2.5443	Inf	Inf
5.6295	2.4419	Inf	Inf
5.6365	2.3409	Inf	Inf
5.6524	2.4399	Inf	Inf
5.6746	2.5614	Inf	Inf
5.7527	2.7008	Inf	Inf
5.8527	2.7138	Inf	Inf
5.9527	2.7419	Inf	Inf
6.0521	2.7811	Inf	Inf
6.1522	2.8559	Inf	Inf
6.2522	2.8085	Inf	Inf
6.2881	2.9101	Inf	Inf
6.3661	3.0110	Inf	Inf
6.4662	3.0745	Inf	Inf
6.5136	2.9710	Inf	Inf
6.5243	2.8086	Inf	Inf
6.5479	2.9120	Inf	Inf
6.5647	3.0304	Inf	Inf
6.6006	3.1287	Inf	Inf
6.6274	2.8985	Inf	Inf
6.6312	3.0246	Inf	Inf
6.6564	2.9988	Inf	Inf
6.6633	3.1015	Inf	Inf
6.7519	5.8074	Inf	Inf
6.7527	5.7033	Inf	Inf
6.7527	4.0872	Inf	Inf
6.7527	7.0768	Inf	Inf
6.7542	4.8398	Inf	Inf
6.7542	3.2423	Inf	Inf
6.7543	9.4072	Inf	Inf
6.7549	4.4780	Inf	Inf
6.7550	5.2260	Inf	Inf
6.7565	6.3719	Inf	Inf
6.7565	4.2922	Inf	Inf
6.7565	5.6469	Inf	Inf
6.7565	5.9518	Inf	Inf
6.7572	4.8948	Inf	Inf
6.7573	4.5844	Inf	Inf
6.7573	8.7308	Inf	Inf
6.7580	5.3377	Inf	Inf
6.7580	3.2997	Inf	Inf
6.7580	4.2856	Inf	Inf
6.7580	5.5930	Inf	Inf
6.7580	6.4032	Inf	Inf
6.7580	4.5884	Inf	Inf
6.7581	7.1891	Inf	Inf
6.7581	8.0745	Inf	Inf
6.7588	5.4297	Inf	Inf
6.7588	8.6443	Inf	Inf
6.7588	3.5905	Inf	Inf
6.7588	5.0464	Inf	Inf
6.7588	3.4438	Inf	Inf
6.7588	3.6091	Inf	Inf
6.7595	4.6914	Inf	Inf
6.7595	5.4462	Inf	Inf
6.7595	8.4971	Inf	Inf
6.7595	4.7826	Inf	Inf
6.7595	6.2745	Inf	Inf
6.7596	3.3414	Inf	Inf
6.7596	8.0119	Inf	Inf
6.7603	3.9643	Inf	Inf
6.7603	6.7333	Inf	Inf
6.7603	4.3979	Inf	Inf
6.7603	3.1912	Inf	Inf
