Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 17.02.2023	Time: 12:18:18

Name:	Timber perpendicular to the grain
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0976	0.0168	Inf	Inf
0.1963	0.0080	Inf	Inf
0.2957	0.0050	Inf	Inf
0.3949	0.0078	Inf	Inf
0.4952	0.0613	Inf	Inf
0.5391	0.1618	Inf	Inf
0.5970	0.3949	Inf	Inf
0.6116	0.4969	Inf	Inf
0.6624	0.9679	Inf	Inf
0.6836	1.0698	Inf	Inf
0.6867	1.1713	Inf	Inf
0.7228	1.7591	Inf	Inf
0.7760	3.0498	Inf	Inf
0.8236	4.1856	Inf	Inf
0.8492	4.8704	Inf	Inf
0.9036	6.8755	Inf	Inf
0.9264	7.0603	Inf	Inf
0.9339	7.1575	Inf	Inf
0.9378	7.7996	Inf	Inf
1.0341	9.6838	Inf	Inf
1.0414	9.7744	Inf	Inf
1.0560	10.0097	Inf	Inf
1.1437	10.7485	Inf	Inf
1.1567	10.5693	Inf	Inf
1.1706	10.6615	Inf	Inf
1.2595	11.3101	Inf	Inf
1.2731	11.1568	Inf	Inf
1.2860	10.8898	Inf	Inf
1.3280	10.9903	Inf	Inf
1.3910	11.5756	Inf	Inf
1.4163	11.6974	Inf	Inf
1.5183	11.7629	Inf	Inf
1.6011	11.6563	Inf	Inf
1.6978	11.5532	Inf	Inf
1.7546	11.4414	Inf	Inf
1.8168	11.2739	Inf	Inf
1.8667	11.1399	Inf	Inf
1.9254	11.0039	Inf	Inf
1.9757	10.8907	Inf	Inf
2.0383	10.7039	Inf	Inf
2.0868	10.5185	Inf	Inf
2.1459	10.3784	Inf	Inf
2.2422	10.2580	Inf	Inf
2.2575	10.1358	Inf	Inf
2.3561	10.2404	Inf	Inf
2.3739	10.3475	Inf	Inf
2.4713	10.2656	Inf	Inf
2.5040	10.1553	Inf	Inf
2.5547	10.0499	Inf	Inf
2.6087	9.8412	Inf	Inf
2.7081	9.8183	Inf	Inf
2.8092	9.8878	Inf	Inf
2.8648	9.7791	Inf	Inf
2.9145	9.5777	Inf	Inf
2.9689	9.6775	Inf	Inf
3.0456	9.5471	Inf	Inf
3.1252	9.6548	Inf	Inf
3.1477	9.7521	Inf	Inf
3.2481	9.6398	Inf	Inf
3.2817	9.7399	Inf	Inf
3.3615	9.6130	Inf	Inf
3.4594	9.7123	Inf	Inf
3.4705	9.8025	Inf	Inf
3.5647	10.0825	Inf	Inf
3.6633	10.0221	Inf	Inf
3.7363	9.9075	Inf	Inf
3.8352	9.7641	Inf	Inf
3.9346	9.8316	Inf	Inf
3.9521	9.9347	Inf	Inf
4.0404	10.1843	Inf	Inf
4.1420	10.2567	Inf	Inf
4.2218	10.1361	Inf	Inf
4.3230	9.7766	Inf	Inf
4.3379	9.8777	Inf	Inf
4.3769	10.0813	Inf	Inf
4.4636	9.9686	Inf	Inf
4.4816	9.8350	Inf	Inf
4.5820	9.6983	Inf	Inf
4.5961	9.7956	Inf	Inf
4.6917	9.9062	Inf	Inf
4.7093	10.0150	Inf	Inf
4.8101	9.8207	Inf	Inf
4.8250	9.9162	Inf	Inf
4.9162	10.3142	Inf	Inf
5.0152	10.3913	Inf	Inf
5.0920	10.2722	Inf	Inf
5.1214	10.1344	Inf	Inf
5.1799	9.2811	Inf	Inf
5.2234	9.6812	Inf	Inf
5.3205	9.7750	Inf	Inf
5.3270	9.8584	Inf	Inf
5.4224	10.3519	Inf	Inf
5.4545	10.2368	Inf	Inf
5.5286	9.9983	Inf	Inf
5.5848	9.8860	Inf	Inf
5.6846	9.9049	Inf	Inf
5.7193	10.0064	Inf	Inf
5.8189	9.7737	Inf	Inf
5.8335	9.8682	Inf	Inf
5.9263	10.2779	Inf	Inf
5.9798	10.1553	Inf	Inf
6.0316	9.7633	Inf	Inf
6.0831	9.8839	Inf	Inf
6.1352	10.0471	Inf	Inf
6.2338	9.9229	Inf	Inf
6.3092	9.8099	Inf	Inf
6.3369	9.5025	Inf	Inf
6.4052	9.5908	Inf	Inf
6.4256	9.7995	Inf	Inf
6.5080	9.2415	Inf	Inf
6.5462	9.3514	Inf	Inf
6.6022	9.6133	Inf	Inf
6.6504	9.8601	Inf	Inf
6.7050	9.9799	Inf	Inf
6.8063	10.0529	Inf	Inf
6.8882	9.9368	Inf	Inf
6.9372	9.8186	Inf	Inf
7.0000	9.6595	Inf	Inf
7.0430	9.4573	Inf	Inf
7.0939	8.7619	Inf	Inf
7.1371	9.0073	Inf	Inf
7.1961	9.3853	Inf	Inf
7.2503	9.4776	Inf	Inf
7.3010	9.7350	Inf	Inf
7.3528	9.4277	Inf	Inf
7.4530	9.4856	Inf	Inf
7.5050	9.3579	Inf	Inf
7.6042	9.3581	Inf	Inf
7.6556	9.4590	Inf	Inf
7.6960	9.5620	Inf	Inf
7.7628	9.6762	Inf	Inf
7.8597	9.6923	Inf	Inf
7.9324	9.5794	Inf	Inf
7.9688	9.4196	Inf	Inf
8.0220	9.1513	Inf	Inf
8.1121	9.0343	Inf	Inf
8.1256	8.8732	Inf	Inf
8.1904	8.9602	Inf	Inf
8.2289	9.2676	Inf	Inf
8.2595	9.3643	Inf	Inf
8.3594	9.3673	Inf	Inf
8.4064	9.2483	Inf	Inf
8.4659	8.9627	Inf	Inf
8.5662	8.9790	Inf	Inf
8.6652	9.0851	Inf	Inf
8.6900	9.1775	Inf	Inf
8.7731	9.3075	Inf	Inf
8.8260	9.1860	Inf	Inf
8.8815	8.9979	Inf	Inf
8.9815	9.0585	Inf	Inf
9.0804	8.8287	Inf	Inf
9.1092	8.9308	Inf	Inf
9.2103	8.8987	Inf	Inf
9.3106	8.9726	Inf	Inf
9.3288	9.0688	Inf	Inf
9.4218	8.9351	Inf	Inf
9.5214	8.8113	Inf	Inf
9.5618	8.9145	Inf	Inf
9.6249	9.1579	Inf	Inf
9.7263	9.0464	Inf	Inf
9.7616	9.1478	Inf	Inf
9.8325	9.3717	Inf	Inf
9.9248	9.2547	Inf	Inf
9.9394	9.1358	Inf	Inf
10.0383	9.1221	Inf	Inf
10.0772	9.2211	Inf	Inf
10.1418	9.4378	Inf	Inf
10.1928	9.3216	Inf	Inf
10.2451	8.9354	Inf	Inf
10.2584	9.0503	Inf	Inf
10.3519	9.8355	Inf	Inf
10.4116	9.7022	Inf	Inf
10.5118	9.5040	Inf	Inf
10.5243	9.6126	Inf	Inf
10.5915	10.1434	Inf	Inf
10.6907	10.1376	Inf	Inf
10.7126	10.2284	Inf	Inf
10.7945	10.6890	Inf	Inf
10.8939	10.3420	Inf	Inf
10.9389	10.4379	Inf	Inf
10.9991	10.7045	Inf	Inf
11.0439	10.8033	Inf	Inf
11.0999	10.9316	Inf	Inf
11.1469	11.0648	Inf	Inf
11.2057	10.9433	Inf	Inf
11.2865	11.0374	Inf	Inf
11.3095	11.2594	Inf	Inf
11.3878	10.7080	Inf	Inf
11.4188	10.8076	Inf	Inf
11.4538	10.8990	Inf	Inf
11.5211	11.6601	Inf	Inf
11.5591	12.0138	Inf	Inf
11.6082	12.3019	Inf	Inf
11.6643	12.5222	Inf	Inf
11.7641	12.4272	Inf	Inf
11.7766	12.3111	Inf	Inf
11.8273	11.5426	Inf	Inf
11.8955	11.6632	Inf	Inf
11.9243	12.1833	Inf	Inf
11.9946	12.2808	Inf	Inf
12.0279	12.6973	Inf	Inf
12.0962	12.9510	Inf	Inf
12.1502	13.0537	Inf	Inf
12.1981	13.1563	Inf	Inf
12.2192	12.7564	Inf	Inf
12.2488	12.0765	Inf	Inf
12.2918	12.5044	Inf	Inf
12.3496	13.4205	Inf	Inf
12.3876	13.8655	Inf	Inf
12.4520	14.2594	Inf	Inf
12.4905	14.5827	Inf	Inf
12.5847	14.6849	Inf	Inf
12.5969	14.8192	Inf	Inf
12.6868	14.9897	Inf	Inf
12.7095	15.0852	Inf	Inf
12.7920	15.8819	Inf	Inf
12.8169	15.7613	Inf	Inf
12.9040	15.8773	Inf	Inf
12.9188	16.0522	Inf	Inf
12.9988	15.3918	Inf	Inf
13.0311	15.2850	Inf	Inf
13.0731	15.4001	Inf	Inf
13.1042	16.1882	Inf	Inf
13.1607	16.2900	Inf	Inf
13.2053	17.1715	Inf	Inf
13.2604	17.2678	Inf	Inf
13.2797	17.6664	Inf	Inf
13.3377	17.7684	Inf	Inf
13.3811	18.2553	Inf	Inf
13.4397	18.7759	Inf	Inf
13.4531	18.3823	Inf	Inf
13.4722	17.8706	Inf	Inf
13.4814	17.5503	Inf	Inf
13.4975	17.3088	Inf	Inf
Data End	

