Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 17.02.2023	Time: 13:05:41

Name:	Aluminium 
User Comment:	LNK BI bjr 

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0038	0.0997	Inf	Inf
0.0092	0.2278	Inf	Inf
0.0183	0.4005	Inf	Inf
0.0572	0.8772	Inf	Inf
0.0695	0.9776	Inf	Inf
0.0779	1.0769	Inf	Inf
0.0939	1.2717	Inf	Inf
0.1130	1.6539	Inf	Inf
0.1198	1.9739	Inf	Inf
0.1336	2.2954	Inf	Inf
0.1695	2.8252	Inf	Inf
0.1771	2.9241	Inf	Inf
0.1832	3.0545	Inf	Inf
0.2061	3.4629	Inf	Inf
0.2267	3.6761	Inf	Inf
0.2763	3.7773	Inf	Inf
0.3320	3.9193	Inf	Inf
0.3893	4.0189	Inf	Inf
0.3977	4.1201	Inf	Inf
0.4427	4.2198	Inf	Inf
0.4878	4.3202	Inf	Inf
0.5358	4.4187	Inf	Inf
0.5969	4.5180	Inf	Inf
0.6030	4.6184	Inf	Inf
0.6855	4.7196	Inf	Inf
0.7351	4.8181	Inf	Inf
0.7954	4.9178	Inf	Inf
0.8671	5.0179	Inf	Inf
0.9656	5.1202	Inf	Inf
0.9862	5.2198	Inf	Inf
1.0870	5.2783	Inf	Inf
1.1877	5.3757	Inf	Inf
1.2885	5.4244	Inf	Inf
1.3694	5.5248	Inf	Inf
1.4701	5.5522	Inf	Inf
1.5694	5.6174	Inf	Inf
1.6694	5.6470	Inf	Inf
1.7686	5.6717	Inf	Inf
1.8373	5.7714	Inf	Inf
1.9380	5.7946	Inf	Inf
2.0380	5.8021	Inf	Inf
2.1388	5.8575	Inf	Inf
2.2388	5.8373	Inf	Inf
2.3396	5.8725	Inf	Inf
2.4327	5.9722	Inf	Inf
2.5327	5.9074	Inf	Inf
2.6319	5.9089	Inf	Inf
2.7319	5.9422	Inf	Inf
2.8319	5.9572	Inf	Inf
2.9326	5.9831	Inf	Inf
3.0326	5.9966	Inf	Inf
3.1326	5.9966	Inf	Inf
3.2334	5.9834	Inf	Inf
3.3341	5.9744	Inf	Inf
3.4334	5.9568	Inf	Inf
3.5334	5.9786	Inf	Inf
3.6334	5.9909	Inf	Inf
3.7326	5.9913	Inf	Inf
3.8326	6.0040	Inf	Inf
3.9326	5.9771	Inf	Inf
4.0326	5.9156	Inf	Inf
4.1326	5.9460	Inf	Inf
4.2318	5.9632	Inf	Inf
4.3310	5.9212	Inf	Inf
4.4310	5.9029	Inf	Inf
4.5318	5.8695	Inf	Inf
4.6318	5.7957	Inf	Inf
4.7325	5.7807	Inf	Inf
4.8325	5.6901	Inf	Inf
4.9325	5.5934	Inf	Inf
5.0325	5.6050	Inf	Inf
5.1241	5.5023	Inf	Inf
5.2241	5.4600	Inf	Inf
5.3149	5.3581	Inf	Inf
5.4149	5.2839	Inf	Inf
5.4752	5.1790	Inf	Inf
5.5760	5.1172	Inf	Inf
5.6508	5.0164	Inf	Inf
5.7256	4.9137	Inf	Inf
5.8126	4.8107	Inf	Inf
5.8714	4.6192	Inf	Inf
5.9958	4.3149	Inf	Inf
6.0676	4.1624	Inf	Inf
6.1447	4.0096	Inf	Inf
Data End	

