Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 17.02.2023	Time: 12:46:01

Name:	G15B-steel
User Comment:	lisa kean - s2184423, Ben Ihde - s2177625, brandon roberts s2018889, HaoJin Lyu-s2060590; ghadir s2244092

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
-0.0221	0.5995	-Inf	Inf
-0.0221	0.9993	-Inf	Inf
-0.0214	0.7003	-Inf	Inf
-0.0191	0.9000	-Inf	Inf
-0.0176	0.8000	-Inf	Inf
-0.0160	0.5002	-Inf	Inf
-0.0130	0.1997	-Inf	Inf
-0.0107	0.3998	-Inf	Inf
-0.0046	0.2998	-Inf	Inf
-0.0031	1.1990	-Inf	Inf
-0.0015	1.0997	-Inf	Inf
0.0023	1.2994	Inf	Inf
0.0038	1.3983	Inf	Inf
0.0046	1.4988	Inf	Inf
0.0053	1.5984	Inf	Inf
0.0084	1.8000	Inf	Inf
0.0107	1.9994	Inf	Inf
0.0107	2.1987	Inf	Inf
0.0122	2.6019	Inf	Inf
0.0145	2.0986	Inf	Inf
0.0168	2.2987	Inf	Inf
0.0183	2.3988	Inf	Inf
0.0191	2.5003	Inf	Inf
0.0252	2.8634	Inf	Inf
0.0282	2.9642	Inf	Inf
0.0305	3.0638	Inf	Inf
0.0321	3.1654	Inf	Inf
0.0351	3.2662	Inf	Inf
0.0374	3.3670	Inf	Inf
0.0405	3.4869	Inf	Inf
0.0435	3.5873	Inf	Inf
0.0443	3.6877	Inf	Inf
0.0450	3.7877	Inf	Inf
0.0542	3.8855	Inf	Inf
0.0588	4.0811	Inf	Inf
0.0672	4.2763	Inf	Inf
0.0740	4.5416	Inf	Inf
0.0794	5.1153	Inf	Inf
0.0809	4.8189	Inf	Inf
0.0939	5.3577	Inf	Inf
0.1000	5.6631	Inf	Inf
0.1076	5.9137	Inf	Inf
0.1168	6.3596	Inf	Inf
0.1259	6.6950	Inf	Inf
0.1336	6.8673	Inf	Inf
0.1397	7.0772	Inf	Inf
0.1458	7.3218	Inf	Inf
0.1641	7.9982	Inf	Inf
0.1672	8.0967	Inf	Inf
0.1717	8.2046	Inf	Inf
0.1786	8.3238	Inf	Inf
0.1840	8.6835	Inf	Inf
0.1893	8.9701	Inf	Inf
0.1985	9.0701	Inf	Inf
0.2267	9.1758	Inf	Inf
0.2473	8.7873	Inf	Inf
0.2611	8.5943	Inf	Inf
0.2656	8.4823	Inf	Inf
0.2771	8.5812	Inf	Inf
0.2908	8.6835	Inf	Inf
0.3160	8.7831	Inf	Inf
0.4168	8.7925	Inf	Inf
0.5168	8.8213	Inf	Inf
0.5618	8.7168	Inf	Inf
0.5694	8.6149	Inf	Inf
0.5740	8.5145	Inf	Inf
0.5931	8.6100	Inf	Inf
0.5977	8.7048	Inf	Inf
0.6519	8.8877	Inf	Inf
0.7206	8.9930	Inf	Inf
0.7641	8.8858	Inf	Inf
0.7793	8.6940	Inf	Inf
0.7870	8.6973	Inf	Inf
0.8305	9.0840	Inf	Inf
0.8946	8.9798	Inf	Inf
0.9007	8.8790	Inf	Inf
0.9167	8.9750	Inf	Inf
0.9290	9.1365	Inf	Inf
0.9938	9.0338	Inf	Inf
1.0022	9.1338	Inf	Inf
1.0389	9.2324	Inf	Inf
1.0572	9.1263	Inf	Inf
1.0923	9.0207	Inf	Inf
1.1083	9.1230	Inf	Inf
1.1228	9.0181	Inf	Inf
1.1343	9.1177	Inf	Inf
1.1526	9.2151	Inf	Inf
1.1717	9.0522	Inf	Inf
1.1778	8.8180	Inf	Inf
1.2022	8.9176	Inf	Inf
1.2526	9.0181	Inf	Inf
1.2938	9.1185	Inf	Inf
1.3396	9.2185	Inf	Inf
1.3778	9.3212	Inf	Inf
1.4053	9.2200	Inf	Inf
1.4152	9.3249	Inf	Inf
1.4465	9.6816	Inf	Inf
1.5014	9.7869	Inf	Inf
1.6014	9.8398	Inf	Inf
1.6518	9.9383	Inf	Inf
1.7243	10.0395	Inf	Inf
1.7640	10.1391	Inf	Inf
1.8465	10.2369	Inf	Inf
1.8968	10.3411	Inf	Inf
1.9587	10.2354	Inf	Inf
1.9655	10.1328	Inf	Inf
1.9739	10.2302	Inf	Inf
2.0106	10.5123	Inf	Inf
2.0678	10.6191	Inf	Inf
2.1670	10.7195	Inf	Inf
2.2304	10.6172	Inf	Inf
2.2373	10.5138	Inf	Inf
2.2434	10.6082	Inf	Inf
2.2930	10.8334	Inf	Inf
2.3449	10.9346	Inf	Inf
2.3854	10.8308	Inf	Inf
2.3884	10.7259	Inf	Inf
2.3945	10.6247	Inf	Inf
2.4090	10.7229	Inf	Inf
2.4487	11.0455	Inf	Inf
2.5334	10.9425	Inf	Inf
2.5411	11.0410	Inf	Inf
