Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 17.02.2023	Time: 13:16:02

Name:	wood parallel to grain
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0084	0.0993	Inf	Inf
0.0153	0.2151	Inf	Inf
0.0374	0.4238	Inf	Inf
0.0641	0.7306	Inf	Inf
0.1160	1.4673	Inf	Inf
0.1336	2.0882	Inf	Inf
0.1450	2.5213	Inf	Inf
0.1656	3.1980	Inf	Inf
0.1847	3.7008	Inf	Inf
0.2053	4.4806	Inf	Inf
0.2382	5.4113	Inf	Inf
0.2527	5.6147	Inf	Inf
0.2664	6.1569	Inf	Inf
0.2847	6.9872	Inf	Inf
0.3282	8.2357	Inf	Inf
0.3496	8.5182	Inf	Inf
0.3664	8.6325	Inf	Inf
0.3984	9.4325	Inf	Inf
0.4404	9.7375	Inf	Inf
0.4725	10.0387	Inf	Inf
0.5015	10.1399	Inf	Inf
0.5511	10.4606	Inf	Inf
0.5763	9.9023	Inf	Inf
0.5771	10.0721	Inf	Inf
0.5855	9.9001	Inf	Inf
0.5862	10.0027	Inf	Inf
0.5984	9.9983	Inf	Inf
0.6114	10.6989	Inf	Inf
0.6702	11.1396	Inf	Inf
0.7229	11.2355	Inf	Inf
0.7893	11.3307	Inf	Inf
0.8251	11.5292	Inf	Inf
0.8694	11.3839	Inf	Inf
0.9694	11.3007	Inf	Inf
1.0106	11.4007	Inf	Inf
1.1114	11.4356	Inf	Inf
1.1976	11.3299	Inf	Inf
1.2656	11.2190	Inf	Inf
1.3167	11.3187	Inf	Inf
1.3526	11.2160	Inf	Inf
1.3740	10.8941	Inf	Inf
1.3846	10.5775	Inf	Inf
1.3915	10.4198	Inf	Inf
1.4129	10.5254	Inf	Inf
1.4320	11.2108	Inf	Inf
1.4656	11.5952	Inf	Inf
1.5327	11.8252	Inf	Inf
