Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 17.02.2023	Time: 13:23:35

Name:	wood perpendicular
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0114	0.1004	Inf	Inf
0.1023	0.4028	Inf	Inf
0.1420	0.5028	Inf	Inf
0.2030	0.6478	Inf	Inf
0.2618	0.7475	Inf	Inf
0.3610	0.7966	Inf	Inf
0.4053	0.8951	Inf	Inf
0.5053	0.9596	Inf	Inf
0.6061	0.9633	Inf	Inf
0.6496	1.0626	Inf	Inf
0.7496	1.1507	Inf	Inf
0.8381	1.0488	Inf	Inf
0.9129	1.1484	Inf	Inf
1.0129	1.1660	Inf	Inf
1.0198	1.0645	Inf	Inf
1.0923	1.1630	Inf	Inf
1.1923	1.1885	Inf	Inf
1.2923	1.1870	Inf	Inf
1.3411	1.0851	Inf	Inf
1.4159	1.1833	Inf	Inf
1.4999	1.0825	Inf	Inf
1.5579	1.1833	Inf	Inf
1.6579	1.2571	Inf	Inf
1.7113	1.1544	Inf	Inf
1.8106	1.1859	Inf	Inf
1.9106	1.1507	Inf	Inf
2.0106	1.1552	Inf	Inf
2.1106	1.0997	Inf	Inf
2.2106	1.0847	Inf	Inf
2.3105	1.1316	Inf	Inf
2.4121	1.0840	Inf	Inf
2.4579	0.9824	Inf	Inf
2.4624	0.8813	Inf	Inf
2.5479	0.9817	Inf	Inf
2.6479	1.0465	Inf	Inf
2.7487	0.9809	Inf	Inf
2.8029	1.0806	Inf	Inf
2.9036	1.1248	Inf	Inf
2.9250	1.0214	Inf	Inf
2.9983	1.1222	Inf	Inf
3.0983	1.0855	Inf	Inf
3.1983	1.1739	Inf	Inf
3.2990	1.1342	Inf	Inf
3.3983	1.1990	Inf	Inf
3.4532	1.0963	Inf	Inf
3.5395	1.1968	Inf	Inf
3.6402	1.1964	Inf	Inf
3.7112	1.0945	Inf	Inf
3.7563	1.1956	Inf	Inf
3.8036	1.2949	Inf	Inf
3.9036	1.3185	Inf	Inf
4.0028	1.2848	Inf	Inf
4.1028	1.3852	Inf	Inf
4.2028	1.3129	Inf	Inf
4.3028	1.4036	Inf	Inf
4.4035	1.4680	Inf	Inf
4.5043	1.4489	Inf	Inf
4.5738	1.3451	Inf	Inf
4.6554	1.4441	Inf	Inf
4.7257	1.5452	Inf	Inf
4.8264	1.5347	Inf	Inf
4.9211	1.4336	Inf	Inf
4.9944	1.5340	Inf	Inf
5.0463	1.6337	Inf	Inf
5.1470	1.6947	Inf	Inf
5.2478	1.6820	Inf	Inf
5.3203	1.5808	Inf	Inf
5.3241	1.4699	Inf	Inf
5.3966	1.5703	Inf	Inf
5.4485	1.6681	Inf	Inf
5.5485	1.7521	Inf	Inf
5.6424	1.6494	Inf	Inf
5.6928	1.6471	Inf	Inf
5.7531	1.7487	Inf	Inf
5.8302	1.8480	Inf	Inf
5.9302	1.7850	Inf	Inf
5.9454	1.6827	Inf	Inf
5.9538	1.5804	Inf	Inf
6.0004	1.6812	Inf	Inf
6.0576	1.8247	Inf	Inf
6.1157	1.9248	Inf	Inf
