Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 17.02.2023	Time: 14:51:51

Name:	Group 16(Aluminium)
User Comment:	Zheren Zheng, Nicolas Georgiou, Charlie McCready

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.1000	0.0247	Inf	Inf
0.2000	0.0240	Inf	Inf
0.3000	0.0157	Inf	Inf
0.4000	0.0142	Inf	Inf
0.5000	0.0120	Inf	Inf
0.6000	0.0105	Inf	Inf
0.7000	0.0079	Inf	Inf
0.8007	0.0064	Inf	Inf
0.9007	0.0214	Inf	Inf
1.0007	0.0322	Inf	Inf
1.1007	0.0708	Inf	Inf
1.1198	0.1709	Inf	Inf
1.1328	0.2709	Inf	Inf
1.1526	0.3717	Inf	Inf
1.1610	0.4729	Inf	Inf
1.1625	0.5725	Inf	Inf
1.1724	0.6718	Inf	Inf
1.1786	0.7745	Inf	Inf
1.1923	0.8745	Inf	Inf
1.1969	0.9738	Inf	Inf
1.2091	1.0739	Inf	Inf
1.2175	1.1735	Inf	Inf
1.2274	1.2736	Inf	Inf
1.2305	1.3725	Inf	Inf
1.2404	1.4714	Inf	Inf
1.2442	1.5722	Inf	Inf
1.2480	1.6730	Inf	Inf
1.2511	1.7719	Inf	Inf
1.2518	1.8716	Inf	Inf
1.2564	2.0713	Inf	Inf
1.2625	1.9716	Inf	Inf
1.2625	2.1710	Inf	Inf
1.2686	2.2706	Inf	Inf
1.2694	2.3699	Inf	Inf
1.2801	2.4685	Inf	Inf
1.2808	2.5689	Inf	Inf
1.2938	2.6689	Inf	Inf
1.2953	2.7678	Inf	Inf
1.3053	2.8686	Inf	Inf
1.3121	2.9691	Inf	Inf
1.3190	3.0691	Inf	Inf
1.3266	3.2216	Inf	Inf
1.3305	3.3389	Inf	Inf
1.3350	3.4378	Inf	Inf
1.3404	3.5375	Inf	Inf
1.3427	3.6375	Inf	Inf
1.3602	3.7372	Inf	Inf
1.3999	3.8380	Inf	Inf
1.4190	3.9384	Inf	Inf
1.4503	4.0392	Inf	Inf
1.4869	4.1388	Inf	Inf
1.5457	4.2378	Inf	Inf
1.5762	4.3370	Inf	Inf
1.6030	4.4371	Inf	Inf
1.6488	4.5371	Inf	Inf
1.6961	4.6360	Inf	Inf
1.7312	4.7361	Inf	Inf
1.7579	4.8361	Inf	Inf
1.8434	4.9358	Inf	Inf
1.9129	5.0340	Inf	Inf
1.9785	5.1329	Inf	Inf
2.0617	5.2326	Inf	Inf
2.1197	5.3322	Inf	Inf
2.1991	5.4315	Inf	Inf
2.2548	5.3311	Inf	Inf
2.2709	5.4308	Inf	Inf
2.3388	5.5312	Inf	Inf
2.4388	5.5881	Inf	Inf
2.5060	5.6889	Inf	Inf
2.6067	5.7077	Inf	Inf
2.6945	5.8070	Inf	Inf
2.7952	5.8058	Inf	Inf
2.8960	5.8298	Inf	Inf
2.9960	5.9029	Inf	Inf
3.0960	5.9287	Inf	Inf
3.1960	5.9879	Inf	Inf
3.2960	5.9527	Inf	Inf
3.3967	5.9759	Inf	Inf
3.4967	6.0232	Inf	Inf
3.5975	6.0381	Inf	Inf
3.6234	5.9370	Inf	Inf
3.6273	6.0385	Inf	Inf
3.6311	6.1393	Inf	Inf
3.6639	6.0378	Inf	Inf
3.7639	6.0509	Inf	Inf
3.8639	6.0737	Inf	Inf
3.9639	6.0801	Inf	Inf
4.0204	6.1783	Inf	Inf
4.0852	6.0771	Inf	Inf
4.1860	6.0764	Inf	Inf
4.2868	6.0951	Inf	Inf
4.3242	6.1963	Inf	Inf
4.4242	6.1033	Inf	Inf
4.5242	6.1153	Inf	Inf
4.6241	6.1592	Inf	Inf
4.6852	6.0573	Inf	Inf
4.6951	6.1577	Inf	Inf
4.7944	6.1135	Inf	Inf
4.8944	6.0779	Inf	Inf
4.9951	6.0692	Inf	Inf
5.0768	6.1689	Inf	Inf
5.0875	6.0606	Inf	Inf
5.1875	6.0202	Inf	Inf
5.2890	5.9831	Inf	Inf
5.3890	5.9403	Inf	Inf
5.4035	5.8396	Inf	Inf
5.4126	5.9366	Inf	Inf
5.5126	5.8703	Inf	Inf
5.6134	5.8152	Inf	Inf
5.7134	5.7354	Inf	Inf
5.8134	5.7103	Inf	Inf
5.9141	5.6200	Inf	Inf
6.0141	5.5346	Inf	Inf
6.0584	5.4330	Inf	Inf
6.0691	5.5312	Inf	Inf
6.1279	5.4304	Inf	Inf
6.2279	5.3326	Inf	Inf
6.3248	5.2318	Inf	Inf
6.4164	5.1306	Inf	Inf
6.5141	5.0299	Inf	Inf
6.5927	4.9294	Inf	Inf
6.6713	4.6701	Inf	Inf
6.8034	4.3760	Inf	Inf
6.8790	4.2246	Inf	Inf
6.9561	4.0718	Inf	Inf
7.0301	3.9193	Inf	Inf
Data End	

