Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 17.02.2023	Time: 14:37:51

Name:	Group 16(Steel)
User Comment:	Zheren Zheng, Nicolas Georgiou, Charlie McCready

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0672	0.0993	Inf	Inf
0.1679	0.1450	Inf	Inf
0.2679	0.1634	Inf	Inf
0.3389	0.2630	Inf	Inf
0.3404	0.3635	Inf	Inf
0.3519	0.4631	Inf	Inf
0.3641	0.6625	Inf	Inf
0.3710	0.7636	Inf	Inf
0.3763	0.8760	Inf	Inf
0.3801	1.0368	Inf	Inf
0.3954	1.2080	Inf	Inf
0.3992	1.3661	Inf	Inf
0.4030	1.5036	Inf	Inf
0.4137	1.6322	Inf	Inf
0.4213	1.8068	Inf	Inf
0.4229	1.9735	Inf	Inf
0.4252	2.1163	Inf	Inf
0.4267	2.2159	Inf	Inf
0.4275	2.3156	Inf	Inf
0.4313	2.4160	Inf	Inf
0.4343	2.5164	Inf	Inf
0.4366	2.6569	Inf	Inf
0.4412	2.8072	Inf	Inf
0.4420	2.9248	Inf	Inf
0.4435	3.0429	Inf	Inf
0.4496	3.1965	Inf	Inf
0.4572	3.4014	Inf	Inf
0.4702	3.6349	Inf	Inf
0.4763	3.8267	Inf	Inf
0.4801	4.0883	Inf	Inf
0.4885	4.2808	Inf	Inf
0.4962	4.6353	Inf	Inf
0.4969	4.4498	Inf	Inf
0.5023	4.9744	Inf	Inf
0.5137	5.0752	Inf	Inf
0.5160	5.1752	Inf	Inf
0.5175	5.3330	Inf	Inf
0.5236	5.5499	Inf	Inf
0.5328	5.9310	Inf	Inf
0.5404	6.1239	Inf	Inf
0.5526	6.3855	Inf	Inf
0.5587	6.6519	Inf	Inf
0.5656	6.9655	Inf	Inf
0.5732	7.2510	Inf	Inf
0.5816	7.4946	Inf	Inf
0.5878	7.5950	Inf	Inf
0.5908	7.7883	Inf	Inf
0.5923	7.8910	Inf	Inf
0.5992	7.9907	Inf	Inf
0.6007	8.2402	Inf	Inf
0.6152	8.5340	Inf	Inf
0.6244	8.7910	Inf	Inf
0.6358	9.0533	Inf	Inf
0.6465	9.4505	Inf	Inf
0.6496	9.8162	Inf	Inf
0.6664	10.2328	Inf	Inf
0.7274	9.8911	Inf	Inf
0.7679	9.5550	Inf	Inf
0.7916	9.4396	Inf	Inf
0.8419	9.0956	Inf	Inf
0.8534	8.8723	Inf	Inf
0.8564	8.7715	Inf	Inf
0.8648	8.6703	Inf	Inf
0.8702	8.7685	Inf	Inf
