Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 17.02.2023	Time: 15:13:14

Name:	Group 16(timber parallel)
User Comment:	Zheren Zheng, Nicolas Georgiou, Charlie McCready

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.1000	0.0124	Inf	Inf
0.2000	0.0060	Inf	Inf
0.3000	0.0022	Inf	Inf
0.4000	0.0019	Inf	Inf
0.5007	0.0026	Inf	Inf
0.6015	0.0045	Inf	Inf
0.7015	0.0041	Inf	Inf
0.8015	0.0079	Inf	Inf
0.9015	0.0184	Inf	Inf
1.0007	0.0240	Inf	Inf
1.1007	0.0079	Inf	Inf
1.1427	0.1079	Inf	Inf
1.1656	0.2188	Inf	Inf
1.2274	0.5399	Inf	Inf
1.2518	0.6842	Inf	Inf
1.2686	0.8580	Inf	Inf
1.3175	1.3361	Inf	Inf
1.3480	1.6037	Inf	Inf
1.3572	1.8697	Inf	Inf
1.3701	2.1290	Inf	Inf
1.3946	2.5685	Inf	Inf
1.4289	3.2298	Inf	Inf
1.4480	3.8964	Inf	Inf
1.4701	4.2497	Inf	Inf
1.4824	4.6997	Inf	Inf
1.4907	5.5567	Inf	Inf
1.4923	5.1010	Inf	Inf
1.5007	5.3540	Inf	Inf
1.5022	5.4559	Inf	Inf
1.5075	5.4570	Inf	Inf
1.5152	5.7811	Inf	Inf
1.5312	6.4908	Inf	Inf
1.5556	7.2859	Inf	Inf
1.6114	8.0382	Inf	Inf
1.6411	8.2256	Inf	Inf
1.6526	7.8011	Inf	Inf
1.6556	8.0060	Inf	Inf
1.6564	7.9041	Inf	Inf
1.6594	7.8959	Inf	Inf
1.6648	8.2110	Inf	Inf
1.7327	9.3463	Inf	Inf
1.7678	9.6423	Inf	Inf
1.8129	9.8446	Inf	Inf
1.8694	10.0563	Inf	Inf
1.9090	9.6764	Inf	Inf
1.9220	9.2249	Inf	Inf
1.9281	9.0237	Inf	Inf
1.9350	8.9023	Inf	Inf
1.9365	8.8004	Inf	Inf
1.9426	8.8963	Inf	Inf
1.9800	10.1717	Inf	Inf
2.0449	10.6821	Inf	Inf
2.1319	10.7817	Inf	Inf
2.1739	10.8836	Inf	Inf
2.2350	11.0361	Inf	Inf
2.2876	11.1377	Inf	Inf
2.3441	11.2374	Inf	Inf
2.4441	11.3130	Inf	Inf
2.4831	11.1991	Inf	Inf
2.5052	10.7971	Inf	Inf
2.5289	10.2178	Inf	Inf
2.5418	9.9507	Inf	Inf
2.5479	9.7813	Inf	Inf
2.5540	9.6629	Inf	Inf
2.5647	9.5614	Inf	Inf
2.5762	9.6693	Inf	Inf
2.6098	10.9762	Inf	Inf
2.6777	11.6049	Inf	Inf
2.7059	11.7297	Inf	Inf
2.8029	11.6244	Inf	Inf
2.8365	11.5191	Inf	Inf
2.8823	11.3902	Inf	Inf
2.9403	11.2527	Inf	Inf
3.0288	11.1493	Inf	Inf
3.0678	11.0440	Inf	Inf
3.1319	10.8758	Inf	Inf
3.2319	10.8031	Inf	Inf
3.3334	10.7888	Inf	Inf
3.3861	10.6832	Inf	Inf
3.4402	10.5386	Inf	Inf
3.4914	10.4303	Inf	Inf
3.5425	10.3295	Inf	Inf
3.6418	10.2729	Inf	Inf
3.7418	10.2823	Inf	Inf
3.8005	10.1777	Inf	Inf
3.8341	10.0657	Inf	Inf
3.8814	9.2654	Inf	Inf
3.9028	8.9176	Inf	Inf
3.9120	8.7243	Inf	Inf
3.9204	8.5872	Inf	Inf
3.9257	8.4841	Inf	Inf
3.9425	8.5774	Inf	Inf
3.9677	9.3373	Inf	Inf
4.0173	9.8664	Inf	Inf
