Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 17.02.2023	Time: 15:22:23

Name:	Group 16(timber perpendicular)
User Comment:	Zheren Zheng, Nicolas Georgiou, Charlie McCready

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.1000	0.0229	Inf	Inf
0.2008	0.0300	Inf	Inf
0.3007	0.0408	Inf	Inf
0.4007	0.0345	Inf	Inf
0.5007	0.0382	Inf	Inf
0.6007	0.0408	Inf	Inf
0.7007	0.0476	Inf	Inf
0.8007	0.0446	Inf	Inf
0.9007	0.0491	Inf	Inf
0.9999	0.0375	Inf	Inf
1.0999	0.0378	Inf	Inf
1.1999	0.0588	Inf	Inf
1.2969	0.1589	Inf	Inf
1.3564	0.2600	Inf	Inf
1.4045	0.3601	Inf	Inf
1.4495	0.4605	Inf	Inf
1.4953	0.5598	Inf	Inf
1.5449	0.6598	Inf	Inf
1.5877	0.7599	Inf	Inf
1.6663	0.8603	Inf	Inf
1.7663	0.9536	Inf	Inf
1.8663	0.9806	Inf	Inf
1.9663	1.0222	Inf	Inf
2.0663	1.0004	Inf	Inf
2.1663	1.0394	Inf	Inf
2.2670	1.0267	Inf	Inf
2.3670	1.0450	Inf	Inf
2.4670	1.0806	Inf	Inf
2.5670	1.0697	Inf	Inf
2.6670	1.1170	Inf	Inf
2.7670	1.1038	Inf	Inf
2.8670	1.1061	Inf	Inf
2.9670	1.1192	Inf	Inf
3.0662	1.1282	Inf	Inf
3.1662	1.1492	Inf	Inf
3.2662	1.1642	Inf	Inf
3.3662	1.1953	Inf	Inf
3.4662	1.2114	Inf	Inf
3.5662	1.1919	Inf	Inf
3.6662	1.1765	Inf	Inf
3.7662	1.1893	Inf	Inf
3.8662	1.2481	Inf	Inf
3.9669	1.2312	Inf	Inf
4.0669	1.2811	Inf	Inf
4.1669	1.3365	Inf	Inf
4.2669	1.3346	Inf	Inf
4.3669	1.3283	Inf	Inf
4.4669	1.3931	Inf	Inf
4.5669	1.3253	Inf	Inf
4.6669	1.3414	Inf	Inf
4.7669	1.4062	Inf	Inf
4.8669	1.4130	Inf	Inf
4.9669	1.4062	Inf	Inf
5.0661	1.4433	Inf	Inf
5.1669	1.4407	Inf	Inf
5.2669	1.4028	Inf	Inf
5.3668	1.4770	Inf	Inf
5.4676	1.4916	Inf	Inf
5.5684	1.4958	Inf	Inf
5.6676	1.5138	Inf	Inf
5.7676	1.5070	Inf	Inf
5.8676	1.5272	Inf	Inf
5.9676	1.5501	Inf	Inf
6.0676	1.5939	Inf	Inf
6.1676	1.5939	Inf	Inf
6.2676	1.6659	Inf	Inf
6.3683	1.6842	Inf	Inf
6.4683	1.6745	Inf	Inf
6.5683	1.6513	Inf	Inf
6.6683	1.6756	Inf	Inf
6.7691	1.7213	Inf	Inf
6.8683	1.7884	Inf	Inf
6.9683	1.8199	Inf	Inf
7.0690	1.8262	Inf	Inf
7.1683	1.8701	Inf	Inf
7.2690	1.8367	Inf	Inf
7.3683	1.8603	Inf	Inf
7.4682	1.9154	Inf	Inf
7.5682	1.9173	Inf	Inf
7.6682	1.9787	Inf	Inf
7.7682	1.9641	Inf	Inf
7.8682	1.9559	Inf	Inf
7.9682	1.9458	Inf	Inf
8.0682	2.0095	Inf	Inf
8.1682	2.0904	Inf	Inf
8.2682	2.0848	Inf	Inf
8.3682	2.1560	Inf	Inf
8.4247	2.0541	Inf	Inf
8.5140	2.1533	Inf	Inf
8.6140	2.1507	Inf	Inf
8.7140	2.2257	Inf	Inf
8.8140	2.3070	Inf	Inf
8.9140	2.3088	Inf	Inf
9.0147	2.3493	Inf	Inf
9.1117	2.4505	Inf	Inf
9.2117	2.4317	Inf	Inf
9.3124	2.4756	Inf	Inf
9.4124	2.4932	Inf	Inf
9.5124	2.5438	Inf	Inf
9.6124	2.6277	Inf	Inf
9.7124	2.6715	Inf	Inf
9.8124	2.7555	Inf	Inf
9.9124	2.6611	Inf	Inf
10.0101	2.7607	Inf	Inf
10.1101	2.7828	Inf	Inf
10.2101	2.8405	Inf	Inf
10.3101	2.9267	Inf	Inf
10.3696	2.8248	Inf	Inf
10.3726	2.7225	Inf	Inf
10.4093	2.8229	Inf	Inf
10.4391	2.9263	Inf	Inf
10.5108	3.0264	Inf	Inf
10.6108	3.0121	Inf	Inf
10.7108	3.1047	Inf	Inf
10.7596	3.2070	Inf	Inf
10.8604	3.2598	Inf	Inf
10.9604	3.2924	Inf	Inf
10.9986	3.3925	Inf	Inf
11.0986	3.4209	Inf	Inf
11.1558	3.5202	Inf	Inf
11.1909	3.6300	Inf	Inf
11.2909	3.6577	Inf	Inf
11.3901	3.7304	Inf	Inf
11.4901	3.6660	Inf	Inf
11.5123	3.7653	Inf	Inf
11.5398	3.8642	Inf	Inf
11.5848	3.9635	Inf	Inf
11.6252	4.0650	Inf	Inf
11.6626	4.1651	Inf	Inf
11.7245	4.2835	Inf	Inf
11.7916	4.1808	Inf	Inf
11.8336	4.2805	Inf	Inf
11.8642	4.3816	Inf	Inf
11.9100	4.4809	Inf	Inf
11.9909	4.3798	Inf	Inf
11.9916	4.2778	Inf	Inf
12.0046	4.1759	Inf	Inf
12.0092	4.0733	Inf	Inf
12.0145	3.9728	Inf	Inf
12.0344	4.0714	Inf	Inf
12.0466	4.1692	Inf	Inf
12.0588	4.0680	Inf	Inf
Data End	

