Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 01.03.2023	Time: 11:37:11

Name:	Tensile aluminium 19A
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0115	0.1002	Inf	Inf
0.0244	0.1995	Inf	Inf
0.0299	0.2995	Inf	Inf
0.0350	0.3993	Inf	Inf
0.0487	0.4988	Inf	Inf
0.0609	0.5989	Inf	Inf
0.0701	0.6983	Inf	Inf
0.0736	0.8984	Inf	Inf
0.0804	0.7981	Inf	Inf
0.0831	0.9992	Inf	Inf
0.0906	1.0985	Inf	Inf
0.0968	1.1990	Inf	Inf
0.1022	1.2963	Inf	Inf
0.1089	1.4171	Inf	Inf
0.1126	1.5262	Inf	Inf
0.1220	1.6264	Inf	Inf
0.1329	1.7258	Inf	Inf
0.1421	1.8267	Inf	Inf
0.1528	1.9262	Inf	Inf
0.1612	2.0256	Inf	Inf
0.1650	2.1260	Inf	Inf
0.1691	2.2260	Inf	Inf
0.1782	2.4261	Inf	Inf
0.1793	2.3262	Inf	Inf
0.1847	2.5259	Inf	Inf
0.1984	2.7249	Inf	Inf
0.2019	2.6253	Inf	Inf
0.2103	2.8250	Inf	Inf
0.2111	2.9247	Inf	Inf
0.2157	3.0244	Inf	Inf
0.2208	3.1249	Inf	Inf
0.2347	3.2253	Inf	Inf
0.2465	3.4251	Inf	Inf
0.2468	3.3259	Inf	Inf
0.2615	3.5250	Inf	Inf
0.2709	3.6252	Inf	Inf
0.2836	3.7251	Inf	Inf
0.3129	3.8243	Inf	Inf
0.3600	3.9238	Inf	Inf
0.3863	4.0238	Inf	Inf
0.4155	4.1244	Inf	Inf
0.4537	4.2240	Inf	Inf
0.4817	4.3241	Inf	Inf
0.5400	4.4243	Inf	Inf
0.5841	4.5239	Inf	Inf
0.6304	4.6242	Inf	Inf
0.6846	4.7248	Inf	Inf
0.7450	4.8248	Inf	Inf
0.7913	4.9245	Inf	Inf
0.8402	5.0242	Inf	Inf
0.8891	5.1224	Inf	Inf
0.9896	5.1991	Inf	Inf
1.0703	5.2995	Inf	Inf
1.1475	5.3981	Inf	Inf
1.1823	5.4981	Inf	Inf
1.2819	5.5102	Inf	Inf
1.3771	5.6102	Inf	Inf
1.4727	5.7103	Inf	Inf
1.5727	5.7275	Inf	Inf
1.6715	5.7397	Inf	Inf
1.7719	5.8148	Inf	Inf
1.8051	5.7142	Inf	Inf
1.8091	5.8155	Inf	Inf
1.9094	5.8280	Inf	Inf
2.0095	5.8831	Inf	Inf
2.1091	5.9207	Inf	Inf
2.1959	6.0203	Inf	Inf
2.2955	5.9901	Inf	Inf
2.3956	5.9714	Inf	Inf
2.4956	5.9838	Inf	Inf
2.5241	5.8830	Inf	Inf
2.5323	5.9815	Inf	Inf
2.6324	6.0213	Inf	Inf
2.7320	6.0308	Inf	Inf
2.8319	6.0330	Inf	Inf
2.9150	5.9321	Inf	Inf
2.9224	6.0298	Inf	Inf
3.0226	6.0741	Inf	Inf
3.1225	6.0542	Inf	Inf
3.2229	6.0869	Inf	Inf
3.2646	5.9863	Inf	Inf
3.2764	6.0859	Inf	Inf
3.2802	6.1848	Inf	Inf
3.3793	6.0839	Inf	Inf
3.4794	6.0727	Inf	Inf
3.5795	6.0752	Inf	Inf
3.6805	6.0682	Inf	Inf
3.7221	5.9668	Inf	Inf
3.7323	6.0633	Inf	Inf
3.8327	6.0661	Inf	Inf
3.9327	6.0699	Inf	Inf
4.0319	6.0735	Inf	Inf
4.1319	6.0672	Inf	Inf
4.1354	6.0688	Inf	Inf
4.1359	5.9663	Inf	Inf
4.2353	6.0717	Inf	Inf
4.3357	6.0581	Inf	Inf
4.4278	5.9566	Inf	Inf
4.4327	6.0573	Inf	Inf
4.5327	6.0348	Inf	Inf
4.6328	6.0015	Inf	Inf
4.7324	5.9772	Inf	Inf
4.7894	5.8761	Inf	Inf
4.7950	5.9765	Inf	Inf
4.8953	5.9236	Inf	Inf
4.9956	5.8770	Inf	Inf
5.0954	5.8177	Inf	Inf
5.1286	5.7166	Inf	Inf
5.1342	5.8205	Inf	Inf
5.2339	5.7581	Inf	Inf
5.3330	5.6734	Inf	Inf
5.4331	5.6140	Inf	Inf
5.4905	5.5132	Inf	Inf
5.5024	5.6155	Inf	Inf
5.5652	5.5146	Inf	Inf
5.6656	5.4171	Inf	Inf
5.7659	5.3344	Inf	Inf
5.7825	5.2336	Inf	Inf
5.7931	5.3351	Inf	Inf
5.8532	5.2334	Inf	Inf
5.9082	5.1318	Inf	Inf
6.0042	5.0311	Inf	Inf
6.0835	4.9297	Inf	Inf
6.1084	4.8295	Inf	Inf
6.1937	4.7219	Inf	Inf
6.2858	4.4088	Inf	Inf
6.3503	4.2516	Inf	Inf
6.4241	4.0921	Inf	Inf
6.5043	3.9321	Inf	Inf
Data End	

