Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 01.03.2023	Time: 11:59:58

Name:	steel 2.0 tensile
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0004	0.2026	Inf	Inf
0.0017	0.1028	Inf	Inf
0.0035	0.3275	Inf	Inf
0.0174	0.5200	Inf	Inf
0.0291	0.6661	Inf	Inf
0.0355	0.7659	Inf	Inf
0.0400	0.8686	Inf	Inf
0.0529	1.4615	Inf	Inf
0.0647	1.8274	Inf	Inf
0.0761	2.2759	Inf	Inf
0.0773	2.1735	Inf	Inf
0.0888	2.7702	Inf	Inf
0.1099	3.2879	Inf	Inf
0.1177	3.7484	Inf	Inf
0.1250	4.0486	Inf	Inf
0.1315	4.2782	Inf	Inf
0.1360	4.4648	Inf	Inf
0.1452	4.8615	Inf	Inf
0.1476	4.9759	Inf	Inf
0.1512	5.0771	Inf	Inf
0.1639	5.6240	Inf	Inf
0.1710	6.1242	Inf	Inf
0.1816	6.5855	Inf	Inf
0.1823	7.0327	Inf	Inf
0.1973	7.4533	Inf	Inf
0.2134	7.9717	Inf	Inf
0.2188	8.0752	Inf	Inf
0.2289	8.3723	Inf	Inf
0.2407	9.0450	Inf	Inf
0.2516	9.4662	Inf	Inf
0.2599	9.9632	Inf	Inf
0.3211	9.8235	Inf	Inf
0.3626	9.4240	Inf	Inf
0.4231	8.9988	Inf	Inf
0.5121	8.8953	Inf	Inf
0.5231	8.7896	Inf	Inf
0.5341	8.5550	Inf	Inf
0.5446	8.3736	Inf	Inf
0.5594	8.4704	Inf	Inf
0.5816	8.5802	Inf	Inf
0.6184	8.7693	Inf	Inf
0.6743	8.9342	Inf	Inf
0.7194	8.8128	Inf	Inf
0.8198	8.7307	Inf	Inf
0.8504	8.6203	Inf	Inf
0.8575	8.4968	Inf	Inf
0.8578	8.3322	Inf	Inf
0.8710	8.4375	Inf	Inf
0.8921	8.7483	Inf	Inf
0.9452	9.0022	Inf	Inf
0.9952	8.7071	Inf	Inf
1.0137	8.6010	Inf	Inf
1.1137	8.5738	Inf	Inf
1.1450	8.6735	Inf	Inf
1.1654	8.7733	Inf	Inf
1.1835	8.6663	Inf	Inf
1.1957	8.4470	Inf	Inf
1.2018	8.3236	Inf	Inf
1.2186	8.4287	Inf	Inf
1.2433	8.6834	Inf	Inf
1.2836	8.9878	Inf	Inf
1.3207	9.2135	Inf	Inf
1.3594	9.3689	Inf	Inf
1.3948	9.4881	Inf	Inf
1.4547	9.5950	Inf	Inf
1.4671	9.3925	Inf	Inf
1.4698	9.2918	Inf	Inf
1.4746	9.3931	Inf	Inf
1.4777	9.4896	Inf	Inf
1.5153	9.7720	Inf	Inf
1.5871	9.8715	Inf	Inf
1.6447	9.9712	Inf	Inf
1.7314	10.0711	Inf	Inf
1.7864	9.9701	Inf	Inf
1.7957	9.8687	Inf	Inf
