Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 01.03.2023	Time: 12:12:57

Name:	timber parallel
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0298	0.3674	Inf	Inf
0.0430	0.6365	Inf	Inf
0.0675	1.1436	Inf	Inf
0.0881	1.7243	Inf	Inf
0.0980	2.0263	Inf	Inf
0.1079	2.2200	Inf	Inf
0.1217	2.7161	Inf	Inf
0.1426	3.3196	Inf	Inf
0.1497	3.3178	Inf	Inf
0.1507	3.2185	Inf	Inf
0.1657	3.8262	Inf	Inf
0.1831	4.4013	Inf	Inf
0.1976	4.7118	Inf	Inf
0.2024	4.6110	Inf	Inf
0.2027	4.7142	Inf	Inf
0.2177	5.2874	Inf	Inf
0.2401	6.0940	Inf	Inf
0.2559	5.9920	Inf	Inf
0.2561	6.1008	Inf	Inf
0.2755	7.0558	Inf	Inf
0.2913	7.3926	Inf	Inf
0.3134	7.7062	Inf	Inf
0.3325	7.9706	Inf	Inf
0.3544	8.5182	Inf	Inf
0.3702	8.9154	Inf	Inf
0.4097	9.5545	Inf	Inf
0.4346	9.8696	Inf	Inf
0.4807	9.9760	Inf	Inf
0.4947	10.4588	Inf	Inf
0.5230	10.0671	Inf	Inf
0.5283	9.8284	Inf	Inf
0.5347	9.6741	Inf	Inf
0.5423	9.7774	Inf	Inf
0.5489	10.0539	Inf	Inf
0.5759	10.7429	Inf	Inf
0.6192	10.9373	Inf	Inf
0.6770	11.1044	Inf	Inf
0.6897	11.2008	Inf	Inf
0.7496	10.9401	Inf	Inf
0.7692	10.3721	Inf	Inf
0.7771	10.1313	Inf	Inf
0.7779	9.9831	Inf	Inf
0.7875	10.0887	Inf	Inf
0.8092	10.6161	Inf	Inf
0.8586	11.2649	Inf	Inf
0.9589	11.1541	Inf	Inf
0.9943	11.2544	Inf	Inf
1.0608	11.0497	Inf	Inf
1.0761	10.6552	Inf	Inf
1.1023	10.0524	Inf	Inf
1.1076	9.7734	Inf	Inf
1.1178	9.6069	Inf	Inf
1.1264	9.7063	Inf	Inf
1.1387	9.9416	Inf	Inf
1.1601	10.5176	Inf	Inf
1.2069	10.9252	Inf	Inf
1.2645	10.8068	Inf	Inf
1.3579	10.6947	Inf	Inf
1.3709	10.5728	Inf	Inf
1.4038	9.5448	Inf	Inf
1.4131	9.1800	Inf	Inf
1.4193	8.9669	Inf	Inf
1.4450	9.0596	Inf	Inf
1.4746	9.8975	Inf	Inf
1.5390	10.0137	Inf	Inf
1.5871	9.9078	Inf	Inf
1.6293	9.6848	Inf	Inf
1.7294	9.7309	Inf	Inf
1.7720	9.6169	Inf	Inf
1.8090	9.0173	Inf	Inf
1.8259	8.4252	Inf	Inf
1.8415	8.1826	Inf	Inf
1.8543	8.2816	Inf	Inf
1.8999	8.9989	Inf	Inf
1.9491	9.2710	Inf	Inf
2.0486	9.3249	Inf	Inf
2.1351	9.2162	Inf	Inf
2.1499	8.6346	Inf	Inf
2.1635	8.4207	Inf	Inf
2.1835	8.0870	Inf	Inf
2.1868	7.9055	Inf	Inf
2.2089	8.0090	Inf	Inf
2.2117	8.1656	Inf	Inf
2.2543	8.9852	Inf	Inf
2.3126	9.2520	Inf	Inf
2.3616	9.1435	Inf	Inf
2.4435	9.2439	Inf	Inf
2.4838	9.1210	Inf	Inf
2.4908	9.0095	Inf	Inf
2.5205	8.3043	Inf	Inf
2.5300	8.0253	Inf	Inf
2.5340	7.8583	Inf	Inf
2.5470	7.9593	Inf	Inf
2.5962	8.7192	Inf	Inf
2.6476	9.2022	Inf	Inf
2.7475	9.1467	Inf	Inf
2.8479	9.1964	Inf	Inf
2.8595	9.0865	Inf	Inf
2.8838	8.4252	Inf	Inf
2.8903	8.0799	Inf	Inf
2.9211	8.1753	Inf	Inf
2.9755	8.9022	Inf	Inf
3.0226	9.1013	Inf	Inf
3.1237	9.1651	Inf	Inf
3.1598	9.2633	Inf	Inf
3.2187	9.0385	Inf	Inf
3.2476	8.2919	Inf	Inf
3.2656	7.9991	Inf	Inf
3.2717	7.8229	Inf	Inf
3.2908	7.9275	Inf	Inf
3.3117	8.3529	Inf	Inf
3.3557	8.7560	Inf	Inf
3.4132	9.1498	Inf	Inf
3.5125	9.0933	Inf	Inf
3.6121	9.0041	Inf	Inf
3.6211	8.8834	Inf	Inf
3.6515	8.1461	Inf	Inf
3.6649	7.8473	Inf	Inf
3.6923	7.9513	Inf	Inf
3.7129	8.4143	Inf	Inf
3.7925	8.8193	Inf	Inf
3.8924	8.8598	Inf	Inf
3.9614	8.7514	Inf	Inf
3.9929	8.0439	Inf	Inf
4.0067	7.9350	Inf	Inf
4.0074	7.6896	Inf	Inf
4.0386	7.7796	Inf	Inf
4.0436	7.8889	Inf	Inf
4.0986	8.6275	Inf	Inf
4.1580	8.7272	Inf	Inf
4.2586	8.6547	Inf	Inf
4.3472	8.5529	Inf	Inf
4.4256	8.4423	Inf	Inf
4.4441	8.2449	Inf	Inf
4.4693	7.5371	Inf	Inf
4.4842	7.2565	Inf	Inf
4.5088	7.3579	Inf	Inf
4.5124	7.4685	Inf	Inf
4.6022	8.3894	Inf	Inf
4.7011	8.2867	Inf	Inf
4.8010	8.2940	Inf	Inf
4.8327	8.1873	Inf	Inf
4.8532	8.0002	Inf	Inf
4.8942	7.1994	Inf	Inf
4.8986	6.8955	Inf	Inf
4.9069	6.7227	Inf	Inf
4.9235	6.8226	Inf	Inf
4.9755	7.6052	Inf	Inf
5.0260	7.8392	Inf	Inf
5.0703	7.9389	Inf	Inf
5.1697	7.9618	Inf	Inf
5.2703	7.8778	Inf	Inf
5.3578	7.7768	Inf	Inf
5.3904	7.6694	Inf	Inf
5.4309	7.0666	Inf	Inf
5.4435	6.6723	Inf	Inf
5.4537	6.4790	Inf	Inf
5.4662	6.4641	Inf	Inf
5.4665	6.3592	Inf	Inf
5.5295	7.4220	Inf	Inf
5.5680	7.6449	Inf	Inf
5.5973	7.7463	Inf	Inf
5.6702	7.9066	Inf	Inf
5.7181	7.8037	Inf	Inf
5.8185	7.7432	Inf	Inf
5.9186	7.6806	Inf	Inf
5.9327	7.5589	Inf	Inf
5.9588	6.7539	Inf	Inf
5.9751	6.4638	Inf	Inf
5.9841	6.3025	Inf	Inf
