Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 01.03.2023	Time: 12:16:30

Name:	timber perpendicular 
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0097	0.1011	Inf	Inf
0.0419	0.2394	Inf	Inf
0.0738	0.3531	Inf	Inf
0.1050	0.4699	Inf	Inf
0.1280	0.5771	Inf	Inf
0.1577	0.6808	Inf	Inf
0.1927	0.8452	Inf	Inf
0.2298	0.9882	Inf	Inf
0.2766	1.1689	Inf	Inf
0.3177	1.2695	Inf	Inf
0.3828	1.3669	Inf	Inf
0.4824	1.4515	Inf	Inf
0.5512	1.3497	Inf	Inf
0.5905	1.4496	Inf	Inf
0.6697	1.3488	Inf	Inf
0.6946	1.4527	Inf	Inf
0.7730	1.6348	Inf	Inf
0.8730	1.6384	Inf	Inf
0.9726	1.6307	Inf	Inf
0.9867	1.5290	Inf	Inf
1.0177	1.6315	Inf	Inf
1.0527	1.5307	Inf	Inf
1.0701	1.6292	Inf	Inf
1.1439	1.8148	Inf	Inf
1.2434	1.8617	Inf	Inf
1.3211	1.7593	Inf	Inf
1.3244	1.6587	Inf	Inf
1.3509	1.7561	Inf	Inf
1.4252	1.9596	Inf	Inf
1.5245	2.0173	Inf	Inf
1.6247	1.9353	Inf	Inf
1.6310	1.8300	Inf	Inf
1.6401	1.7289	Inf	Inf
1.6507	1.8324	Inf	Inf
1.7427	2.0158	Inf	Inf
1.7987	1.9120	Inf	Inf
1.8017	1.8111	Inf	Inf
1.8379	1.9079	Inf	Inf
1.9046	2.0760	Inf	Inf
2.0034	2.0779	Inf	Inf
2.0897	1.9738	Inf	Inf
2.1009	1.8210	Inf	Inf
2.1333	1.9166	Inf	Inf
2.2045	2.1063	Inf	Inf
2.3041	2.1219	Inf	Inf
2.3853	2.0149	Inf	Inf
2.3945	1.9134	Inf	Inf
2.4268	2.0164	Inf	Inf
2.4523	2.1213	Inf	Inf
2.5528	2.2065	Inf	Inf
2.6542	2.2408	Inf	Inf
2.7354	2.1337	Inf	Inf
2.7448	2.0311	Inf	Inf
2.7603	2.0327	Inf	Inf
2.8482	2.2805	Inf	Inf
2.9480	2.2933	Inf	Inf
3.0470	2.3146	Inf	Inf
3.1438	2.2075	Inf	Inf
3.1502	2.1033	Inf	Inf
3.1567	1.9879	Inf	Inf
3.1713	2.0859	Inf	Inf
3.2016	2.2486	Inf	Inf
3.3009	2.3482	Inf	Inf
3.4015	2.4050	Inf	Inf
3.4562	2.2963	Inf	Inf
3.4636	2.1783	Inf	Inf
3.4731	2.0527	Inf	Inf
3.4934	2.1566	Inf	Inf
3.5405	2.4002	Inf	Inf
3.6413	2.4447	Inf	Inf
3.7415	2.4726	Inf	Inf
3.7958	2.3661	Inf	Inf
3.8167	2.1531	Inf	Inf
3.8477	2.2573	Inf	Inf
3.9180	2.4428	Inf	Inf
4.0176	2.5014	Inf	Inf
4.1174	2.4207	Inf	Inf
4.1322	2.3147	Inf	Inf
4.1402	2.1940	Inf	Inf
4.1499	2.2989	Inf	Inf
4.1886	2.5105	Inf	Inf
4.2879	2.5679	Inf	Inf
4.3798	2.4653	Inf	Inf
4.3906	2.3627	Inf	Inf
4.3953	2.2618	Inf	Inf
4.4080	2.3634	Inf	Inf
4.4309	2.5213	Inf	Inf
4.5095	2.6852	Inf	Inf
4.6090	2.6449	Inf	Inf
4.6470	2.5375	Inf	Inf
