Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 01.03.2023	Time: 13:14:53

Name:	Group 19b Wood - along grain
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.1008	0.0307	Inf	Inf
0.2008	0.0255	Inf	Inf
0.3007	0.0315	Inf	Inf
0.4015	0.0611	Inf	Inf
0.4557	0.1611	Inf	Inf
0.4748	0.2623	Inf	Inf
0.4900	0.3631	Inf	Inf
0.5045	0.4642	Inf	Inf
0.5129	0.5643	Inf	Inf
0.5213	0.6651	Inf	Inf
0.5328	0.7666	Inf	Inf
0.5412	0.8667	Inf	Inf
0.5526	0.9667	Inf	Inf
0.5626	1.0667	Inf	Inf
0.5687	1.1668	Inf	Inf
0.5732	1.2661	Inf	Inf
0.5839	1.4647	Inf	Inf
0.5900	1.5647	Inf	Inf
0.5939	1.6640	Inf	Inf
0.5946	1.7629	Inf	Inf
0.5946	2.0638	Inf	Inf
0.5984	2.2624	Inf	Inf
0.5992	1.8630	Inf	Inf
0.5992	2.1638	Inf	Inf
0.6015	2.3624	Inf	Inf
0.6038	1.9630	Inf	Inf
0.6076	2.4613	Inf	Inf
0.6099	2.6614	Inf	Inf
0.6122	2.5621	Inf	Inf
0.6152	2.7618	Inf	Inf
0.6252	2.9619	Inf	Inf
0.6267	2.8623	Inf	Inf
0.6328	3.0627	Inf	Inf
0.6335	3.1628	Inf	Inf
0.6397	3.2628	Inf	Inf
0.6404	3.3636	Inf	Inf
0.6450	3.4640	Inf	Inf
0.6465	3.5633	Inf	Inf
0.6496	3.6637	Inf	Inf
0.6519	3.7626	Inf	Inf
0.6587	3.9635	Inf	Inf
0.6603	3.8634	Inf	Inf
0.6664	4.0646	Inf	Inf
0.6679	4.1651	Inf	Inf
0.6694	4.2655	Inf	Inf
0.6702	4.3659	Inf	Inf
0.6748	4.5667	Inf	Inf
0.6847	4.6671	Inf	Inf
0.6862	4.7679	Inf	Inf
0.6939	4.9695	Inf	Inf
0.6954	4.8687	Inf	Inf
0.6977	5.0707	Inf	Inf
0.7084	5.1700	Inf	Inf
0.7122	5.2700	Inf	Inf
0.7129	5.3712	Inf	Inf
0.7168	5.5698	Inf	Inf
0.7198	5.6687	Inf	Inf
0.7229	5.4701	Inf	Inf
0.7236	5.8692	Inf	Inf
0.7282	6.0707	Inf	Inf
0.7305	5.9703	Inf	Inf
0.7343	6.1704	Inf	Inf
0.7381	6.2701	Inf	Inf
0.7419	6.4702	Inf	Inf
0.7435	6.3697	Inf	Inf
0.7534	6.5706	Inf	Inf
0.7580	6.6699	Inf	Inf
0.7618	6.7707	Inf	Inf
0.7656	6.8718	Inf	Inf
0.7687	7.1735	Inf	Inf
0.7694	6.9734	Inf	Inf
0.7740	7.0734	Inf	Inf
0.7847	7.2731	Inf	Inf
0.7877	7.3724	Inf	Inf
0.7916	7.5703	Inf	Inf
0.7938	7.4725	Inf	Inf
