Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 01.03.2023	Time: 13:25:17

Name:	Group 19b Timber across grain
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0366	0.1012	Inf	Inf
0.1183	0.2012	Inf	Inf
0.1939	0.3016	Inf	Inf
0.2679	0.4024	Inf	Inf
0.3572	0.5028	Inf	Inf
0.4572	0.5973	Inf	Inf
0.5572	0.6816	Inf	Inf
0.6564	0.7273	Inf	Inf
0.7564	0.7599	Inf	Inf
0.8564	0.7857	Inf	Inf
0.9572	0.8108	Inf	Inf
1.0572	0.7805	Inf	Inf
1.1572	0.8037	Inf	Inf
1.2572	0.8003	Inf	Inf
1.3572	0.7891	Inf	Inf
1.4579	0.8258	Inf	Inf
1.5579	0.8423	Inf	Inf
1.6579	0.8326	Inf	Inf
1.7579	0.8757	Inf	Inf
1.8579	0.8513	Inf	Inf
1.9579	0.8708	Inf	Inf
2.0587	0.8359	Inf	Inf
2.1586	0.9086	Inf	Inf
2.2586	0.8858	Inf	Inf
2.3586	0.9180	Inf	Inf
2.4586	0.9435	Inf	Inf
2.5586	0.9131	Inf	Inf
2.6586	0.9229	Inf	Inf
2.7594	0.9382	Inf	Inf
2.8594	0.9262	Inf	Inf
2.9594	0.9446	Inf	Inf
3.0594	0.9480	Inf	Inf
3.1593	0.9573	Inf	Inf
3.2593	0.9630	Inf	Inf
3.3593	0.9633	Inf	Inf
3.4593	0.9592	Inf	Inf
3.5601	0.9753	Inf	Inf
3.6601	0.9787	Inf	Inf
3.7593	0.9577	Inf	Inf
3.8593	0.9959	Inf	Inf
3.9593	0.9933	Inf	Inf
4.0601	0.9806	Inf	Inf
4.1608	0.9854	Inf	Inf
4.2608	1.0090	Inf	Inf
4.3608	1.0267	Inf	Inf
4.4616	1.0338	Inf	Inf
4.5616	1.0641	Inf	Inf
4.6615	1.0570	Inf	Inf
4.7615	1.0896	Inf	Inf
4.8608	1.0787	Inf	Inf
4.9608	1.0784	Inf	Inf
5.0615	1.1166	Inf	Inf
5.1615	1.1132	Inf	Inf
5.2615	1.1559	Inf	Inf
5.3615	1.1278	Inf	Inf
5.4623	1.1083	Inf	Inf
5.5630	1.1713	Inf	Inf
5.6630	1.1548	Inf	Inf
5.7630	1.2290	Inf	Inf
5.8638	1.2237	Inf	Inf
5.9645	1.2481	Inf	Inf
6.0645	1.2511	Inf	Inf
6.1645	1.2713	Inf	Inf
6.2645	1.2766	Inf	Inf
6.3653	1.3125	Inf	Inf
6.4645	1.3642	Inf	Inf
6.5645	1.3406	Inf	Inf
6.6645	1.4178	Inf	Inf
6.7652	1.3946	Inf	Inf
6.8652	1.4441	Inf	Inf
6.9652	1.4789	Inf	Inf
7.0660	1.4478	Inf	Inf
7.1667	1.5025	Inf	Inf
7.2667	1.5036	Inf	Inf
7.3667	1.5812	Inf	Inf
7.4667	1.5778	Inf	Inf
7.5667	1.5520	Inf	Inf
7.6224	1.6509	Inf	Inf
7.7232	1.7108	Inf	Inf
7.8232	1.7393	Inf	Inf
7.9239	1.7213	Inf	Inf
7.9919	1.8214	Inf	Inf
8.0865	1.9207	Inf	Inf
8.1865	1.8330	Inf	Inf
8.2590	1.9330	Inf	Inf
8.3590	1.9615	Inf	Inf
8.4590	2.0312	Inf	Inf
8.5598	2.0406	Inf	Inf
8.6598	2.0526	Inf	Inf
8.7338	2.1530	Inf	Inf
8.7979	2.2526	Inf	Inf
8.8918	2.1492	Inf	Inf
8.9918	2.2470	Inf	Inf
9.0781	2.3467	Inf	Inf
9.1781	2.3647	Inf	Inf
9.2491	2.4640	Inf	Inf
9.3490	2.4344	Inf	Inf
9.4093	2.5333	Inf	Inf
9.5101	2.5947	Inf	Inf
9.5857	2.4932	Inf	Inf
9.6315	2.5936	Inf	Inf
9.6742	2.6929	Inf	Inf
9.7368	2.7929	Inf	Inf
9.8376	2.8731	Inf	Inf
9.9376	2.9571	Inf	Inf
10.0376	2.9912	Inf	Inf
10.0612	3.0912	Inf	Inf
10.1612	3.1729	Inf	Inf
10.2612	3.2130	Inf	Inf
10.2788	3.1122	Inf	Inf
10.3322	3.2100	Inf	Inf
10.3604	3.3093	Inf	Inf
10.3994	3.4078	Inf	Inf
10.4330	3.5067	Inf	Inf
10.5329	3.5494	Inf	Inf
10.5833	3.6499	Inf	Inf
10.6833	3.6596	Inf	Inf
10.6841	3.5584	Inf	Inf
10.7009	3.6581	Inf	Inf
10.7154	3.8777	Inf	Inf
10.7955	3.7761	Inf	Inf
10.8032	3.6738	Inf	Inf
10.8131	3.7731	Inf	Inf
10.8283	3.8732	Inf	Inf
10.8497	4.0017	Inf	Inf
10.8787	4.1497	Inf	Inf
10.9016	4.0118	Inf	Inf
10.9062	3.8829	Inf	Inf
10.9115	3.7806	Inf	Inf
10.9192	3.8825	Inf	Inf
10.9329	3.9841	Inf	Inf
10.9566	4.0819	Inf	Inf
10.9864	4.2291	Inf	Inf
11.0161	4.3805	Inf	Inf
11.0512	4.4910	Inf	Inf
11.0955	4.5885	Inf	Inf
11.1619	4.6900	Inf	Inf
11.2062	4.7912	Inf	Inf
11.2482	4.8923	Inf	Inf
11.2734	5.0272	Inf	Inf
11.3230	5.1280	Inf	Inf
11.3901	5.2269	Inf	Inf
11.4375	5.1235	Inf	Inf
11.4527	5.2254	Inf	Inf
11.4588	5.3262	Inf	Inf
11.4764	5.1542	Inf	Inf
11.4772	5.0381	Inf	Inf
11.5001	5.1374	Inf	Inf
11.5306	5.3390	Inf	Inf
11.5405	5.4881	Inf	Inf
11.5718	5.7541	Inf	Inf
11.5955	5.6492	Inf	Inf
11.6039	5.5214	Inf	Inf
11.6092	5.4154	Inf	Inf
11.6214	5.5128	Inf	Inf
11.6336	5.6091	Inf	Inf
11.6695	6.0157	Inf	Inf
11.7115	6.4428	Inf	Inf
11.7542	6.6320	Inf	Inf
11.8061	6.7332	Inf	Inf
11.8374	6.6287	Inf	Inf
11.8397	6.5095	Inf	Inf
11.8527	6.4743	Inf	Inf
11.8626	6.5859	Inf	Inf
11.8687	6.4683	Inf	Inf
11.8710	6.2630	Inf	Inf
11.8718	6.3660	Inf	Inf
11.8802	6.1603	Inf	Inf
11.8855	6.0584	Inf	Inf
11.8939	5.7545	Inf	Inf
11.8947	5.9561	Inf	Inf
11.8962	5.8549	Inf	Inf
Data End	

