Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 01.03.2023	Time: 12:45:46

Name:	Group 19b Aluminium
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0053	0.0997	Inf	Inf
0.0137	0.2005	Inf	Inf
0.0260	0.2994	Inf	Inf
0.0374	0.3994	Inf	Inf
0.0504	0.4995	Inf	Inf
0.0527	0.5991	Inf	Inf
0.0611	0.6992	Inf	Inf
0.0710	0.8003	Inf	Inf
0.0809	0.8996	Inf	Inf
0.0870	1.0004	Inf	Inf
0.0977	1.1001	Inf	Inf
0.1015	1.2005	Inf	Inf
0.1130	1.4006	Inf	Inf
0.1191	1.5006	Inf	Inf
0.1305	1.7011	Inf	Inf
0.1313	1.5992	Inf	Inf
0.1374	1.9019	Inf	Inf
0.1382	1.8011	Inf	Inf
0.1404	2.0020	Inf	Inf
0.1466	2.1013	Inf	Inf
0.1511	2.2009	Inf	Inf
0.1557	2.3014	Inf	Inf
0.1633	2.4018	Inf	Inf
0.1649	2.5022	Inf	Inf
0.1733	2.6026	Inf	Inf
0.1771	2.7038	Inf	Inf
0.1870	2.8034	Inf	Inf
0.1901	2.9027	Inf	Inf
0.2008	3.0031	Inf	Inf
0.2076	3.1036	Inf	Inf
0.2099	3.2040	Inf	Inf
0.2160	3.3048	Inf	Inf
0.2229	3.4041	Inf	Inf
0.2313	3.5037	Inf	Inf
0.2389	3.6023	Inf	Inf
0.2450	3.7034	Inf	Inf
0.2580	3.8035	Inf	Inf
0.2733	3.9032	Inf	Inf
0.2969	4.0036	Inf	Inf
0.3343	4.1032	Inf	Inf
0.3809	4.2018	Inf	Inf
0.4160	4.3022	Inf	Inf
0.4633	4.4007	Inf	Inf
0.5015	4.5015	Inf	Inf
0.5381	4.6008	Inf	Inf
0.5511	4.7001	Inf	Inf
0.6313	4.8009	Inf	Inf
0.6809	4.9006	Inf	Inf
0.6984	4.9999	Inf	Inf
0.7801	5.1007	Inf	Inf
0.8022	5.2011	Inf	Inf
0.9022	5.2824	Inf	Inf
0.9343	5.3821	Inf	Inf
1.0343	5.4630	Inf	Inf
1.1343	5.5304	Inf	Inf
1.2098	5.6301	Inf	Inf
1.3098	5.6477	Inf	Inf
1.3892	5.7493	Inf	Inf
1.4892	5.7815	Inf	Inf
1.5892	5.8133	Inf	Inf
1.6343	5.9119	Inf	Inf
1.7342	5.9381	Inf	Inf
1.8342	5.9729	Inf	Inf
1.9342	6.0441	Inf	Inf
2.0342	6.0254	Inf	Inf
2.0854	6.1258	Inf	Inf
2.1854	6.0704	Inf	Inf
2.2861	6.0771	Inf	Inf
2.3128	5.9748	Inf	Inf
2.3197	6.0756	Inf	Inf
2.4197	6.0820	Inf	Inf
2.4815	6.1843	Inf	Inf
2.5815	6.1397	Inf	Inf
2.6815	6.1599	Inf	Inf
2.7815	6.1153	Inf	Inf
2.8044	6.2139	Inf	Inf
2.8296	6.1086	Inf	Inf
2.8922	6.2083	Inf	Inf
2.9922	6.1846	Inf	Inf
3.0922	6.2023	Inf	Inf
3.1120	6.1015	Inf	Inf
3.1204	6.2030	Inf	Inf
3.2212	6.1809	Inf	Inf
3.3212	6.1978	Inf	Inf
3.4212	6.2210	Inf	Inf
3.4586	6.3218	Inf	Inf
3.5387	6.2206	Inf	Inf
3.6387	6.2229	Inf	Inf
3.7395	6.1697	Inf	Inf
3.8074	6.2697	Inf	Inf
3.9074	6.2236	Inf	Inf
4.0074	6.1929	Inf	Inf
4.1081	6.1861	Inf	Inf
4.2081	6.1506	Inf	Inf
4.2326	6.0494	Inf	Inf
4.2433	6.1513	Inf	Inf
4.3440	6.1288	Inf	Inf
4.4440	6.0468	Inf	Inf
4.5448	6.0764	Inf	Inf
4.5974	5.9759	Inf	Inf
4.6028	6.0756	Inf	Inf
4.7028	5.9973	Inf	Inf
4.8028	5.9445	Inf	Inf
4.9035	5.8886	Inf	Inf
5.0035	5.8306	Inf	Inf
5.1043	5.7695	Inf	Inf
5.2043	5.6961	Inf	Inf
5.3050	5.6091	Inf	Inf
5.4050	5.5076	Inf	Inf
5.5058	5.4248	Inf	Inf
5.6035	5.3210	Inf	Inf
5.6920	5.2198	Inf	Inf
5.7455	5.1183	Inf	Inf
5.8462	5.0265	Inf	Inf
5.8912	4.8260	Inf	Inf
6.0157	4.5266	Inf	Inf
6.0874	4.3753	Inf	Inf
6.1630	4.2205	Inf	Inf
6.2370	4.0635	Inf	Inf
Data End	

