Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 01.03.2023	Time: 12:56:52

Name:	Group 19b Steel
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0076	0.1008	Inf	Inf
0.0160	0.2008	Inf	Inf
0.0282	0.3005	Inf	Inf
0.0336	0.4005	Inf	Inf
0.0351	0.5010	Inf	Inf
0.0435	0.6003	Inf	Inf
0.0466	0.7996	Inf	Inf
0.0473	0.7010	Inf	Inf
0.0550	0.8996	Inf	Inf
0.0626	0.9993	Inf	Inf
0.0656	1.0986	Inf	Inf
0.0702	1.1990	Inf	Inf
0.0710	1.2979	Inf	Inf
0.0771	1.3980	Inf	Inf
0.0863	1.5969	Inf	Inf
0.0878	1.4980	Inf	Inf
0.0893	1.6985	Inf	Inf
0.0931	1.7978	Inf	Inf
0.0947	1.8971	Inf	Inf
0.0969	2.1987	Inf	Inf
0.0977	2.2995	Inf	Inf
0.0985	1.9975	Inf	Inf
0.1023	2.3995	Inf	Inf
0.1046	2.5992	Inf	Inf
0.1053	2.4999	Inf	Inf
0.1092	2.7004	Inf	Inf
0.1130	2.8001	Inf	Inf
0.1168	2.9012	Inf	Inf
0.1183	3.0009	Inf	Inf
0.1229	3.1013	Inf	Inf
0.1282	3.2017	Inf	Inf
0.1305	3.3018	Inf	Inf
0.1336	3.5026	Inf	Inf
0.1374	3.4018	Inf	Inf
0.1397	3.6023	Inf	Inf
0.1404	3.9020	Inf	Inf
0.1435	3.7031	Inf	Inf
0.1450	3.8024	Inf	Inf
0.1481	4.1029	Inf	Inf
0.1504	4.0028	Inf	Inf
0.1519	4.2033	Inf	Inf
0.1542	4.3044	Inf	Inf
0.1557	4.5057	Inf	Inf
0.1572	4.6064	Inf	Inf
0.1588	4.4052	Inf	Inf
0.1626	4.8065	Inf	Inf
0.1633	4.7057	Inf	Inf
0.1664	5.0066	Inf	Inf
0.1672	4.9058	Inf	Inf
0.1672	5.2052	Inf	Inf
0.1702	5.1055	Inf	Inf
0.1748	5.4053	Inf	Inf
0.1771	5.3056	Inf	Inf
0.1840	5.5061	Inf	Inf
0.1862	5.7054	Inf	Inf
0.1893	5.6050	Inf	Inf
0.1931	5.8055	Inf	Inf
0.1954	5.9048	Inf	Inf
0.1962	6.0040	Inf	Inf
0.2008	6.1041	Inf	Inf
0.2030	6.2041	Inf	Inf
0.2046	6.3034	Inf	Inf
0.2076	6.5031	Inf	Inf
0.2114	6.6039	Inf	Inf
0.2122	6.4035	Inf	Inf
0.2160	6.7040	Inf	Inf
0.2244	7.0041	Inf	Inf
0.2259	7.1049	Inf	Inf
0.2290	7.2038	Inf	Inf
0.2305	7.3042	Inf	Inf
0.2382	7.4046	Inf	Inf
0.2412	7.6044	Inf	Inf
0.2435	7.5043	Inf	Inf
0.2450	7.7044	Inf	Inf
0.2496	7.8033	Inf	Inf
0.2527	8.1034	Inf	Inf
0.2542	8.2035	Inf	Inf
0.2557	8.0053	Inf	Inf
0.2565	8.3193	Inf	Inf
0.2618	8.5167	Inf	Inf
0.2641	8.4182	Inf	Inf
0.2656	8.8228	Inf	Inf
0.2672	8.6194	Inf	Inf
0.2702	9.0773	Inf	Inf
0.2710	8.9218	Inf	Inf
0.2725	9.1792	Inf	Inf
0.2756	9.2788	Inf	Inf
0.2794	9.5171	Inf	Inf
0.2817	9.4164	Inf	Inf
0.2893	9.6194	Inf	Inf
0.2908	9.7202	Inf	Inf
0.2931	9.6112	Inf	Inf
0.3267	9.0181	Inf	Inf
0.3450	8.8569	Inf	Inf
0.3610	8.7089	Inf	Inf
0.3656	8.6063	Inf	Inf
0.4626	8.5029	Inf	Inf
0.4656	8.2915	Inf	Inf
0.4664	8.3927	Inf	Inf
0.4794	8.1896	Inf	Inf
0.4916	8.2919	Inf	Inf
0.5061	8.3912	Inf	Inf
0.5626	8.1881	Inf	Inf
0.5649	8.2900	Inf	Inf
0.5664	8.0873	Inf	Inf
0.5732	7.9850	Inf	Inf
0.5778	8.0836	Inf	Inf
0.5847	8.1889	Inf	Inf
0.5878	8.2990	Inf	Inf
0.6015	8.3994	Inf	Inf
0.6328	8.5010	Inf	Inf
0.6839	8.3953	Inf	Inf
0.7351	8.2934	Inf	Inf
0.7435	8.3927	Inf	Inf
0.7725	8.4935	Inf	Inf
0.8206	8.5939	Inf	Inf
0.9206	8.5733	Inf	Inf
1.0205	8.6066	Inf	Inf
1.0663	8.5029	Inf	Inf
1.0686	8.4017	Inf	Inf
1.0740	8.2990	Inf	Inf
1.0854	8.4002	Inf	Inf
1.1007	8.5002	Inf	Inf
1.1694	8.5995	Inf	Inf
1.1938	8.6999	Inf	Inf
1.2106	8.7989	Inf	Inf
1.2236	8.8997	Inf	Inf
1.2534	8.9993	Inf	Inf
1.2839	9.1012	Inf	Inf
1.3327	9.1998	Inf	Inf
1.3801	9.0971	Inf	Inf
1.3892	9.1975	Inf	Inf
1.3946	9.3598	Inf	Inf
1.4388	9.4598	Inf	Inf
1.5205	9.5610	Inf	Inf
1.5701	9.6622	Inf	Inf
1.5839	9.4572	Inf	Inf
1.5877	9.5591	Inf	Inf
1.5885	9.5606	Inf	Inf
1.5984	9.6933	Inf	Inf
1.6167	9.8240	Inf	Inf
1.6503	9.9248	Inf	Inf
1.6724	9.8199	Inf	Inf
1.6747	9.7056	Inf	Inf
