Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 02.03.2023	Time: 14:41:18

Name:	steel 21b tensile
User Comment:	isaac, will, jose, ella

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0046	0.1029	Inf	Inf
0.0195	0.7905	Inf	Inf
0.0202	0.6803	Inf	Inf
0.0279	1.0267	Inf	Inf
0.0279	1.1270	Inf	Inf
0.0313	1.1282	Inf	Inf
0.0397	1.4958	Inf	Inf
0.0793	2.7002	Inf	Inf
0.0989	3.5105	Inf	Inf
0.1052	3.8866	Inf	Inf
0.1174	4.3330	Inf	Inf
0.1310	5.0666	Inf	Inf
0.1522	5.7445	Inf	Inf
0.1560	5.8542	Inf	Inf
0.1598	5.9560	Inf	Inf
0.1640	6.3063	Inf	Inf
0.1837	6.9872	Inf	Inf
0.2039	7.6272	Inf	Inf
0.2110	8.1225	Inf	Inf
0.2256	9.0659	Inf	Inf
0.2263	8.5985	Inf	Inf
0.2340	8.9606	Inf	Inf
0.2378	9.2981	Inf	Inf
0.2565	10.2454	Inf	Inf
0.3401	10.1249	Inf	Inf
0.3609	9.8506	Inf	Inf
0.4303	9.3788	Inf	Inf
0.5309	9.3527	Inf	Inf
0.5737	9.2503	Inf	Inf
0.5899	9.1388	Inf	Inf
0.6051	9.2367	Inf	Inf
0.6584	9.3613	Inf	Inf
0.7060	9.2528	Inf	Inf
0.7465	9.3529	Inf	Inf
0.7830	9.4742	Inf	Inf
0.8720	9.3696	Inf	Inf
0.8862	9.2619	Inf	Inf
0.9748	9.3623	Inf	Inf
0.9928	9.4643	Inf	Inf
1.0451	9.1290	Inf	Inf
1.0744	8.7805	Inf	Inf
1.1043	8.8816	Inf	Inf
1.1345	8.9802	Inf	Inf
1.1944	9.2288	Inf	Inf
1.2944	9.1738	Inf	Inf
1.3456	9.2764	Inf	Inf
1.3966	9.5758	Inf	Inf
1.4159	9.6934	Inf	Inf
1.4941	9.9594	Inf	Inf
1.5374	10.0589	Inf	Inf
1.6001	10.1561	Inf	Inf
1.6306	10.2556	Inf	Inf
1.7306	10.1729	Inf	Inf
1.7482	10.2714	Inf	Inf
1.7833	10.4631	Inf	Inf
1.8498	10.6048	Inf	Inf
1.9215	10.7033	Inf	Inf
1.9641	10.8045	Inf	Inf
2.0642	10.8940	Inf	Inf
2.1639	10.9329	Inf	Inf
2.2022	11.0332	Inf	Inf
2.3024	11.1182	Inf	Inf
2.3555	11.0124	Inf	Inf
2.3618	10.9110	Inf	Inf
2.3659	11.0131	Inf	Inf
2.3925	11.1473	Inf	Inf
2.4266	11.3136	Inf	Inf
2.4946	11.4272	Inf	Inf
2.5948	11.4937	Inf	Inf
2.6953	11.5658	Inf	Inf
2.7902	11.6631	Inf	Inf
2.8908	11.7321	Inf	Inf
2.9907	11.7216	Inf	Inf
3.0144	11.6174	Inf	Inf
3.0333	11.7145	Inf	Inf
3.0846	11.8133	Inf	Inf
3.1846	11.8987	Inf	Inf
3.2669	11.9984	Inf	Inf
3.3346	11.8948	Inf	Inf
3.3901	11.9977	Inf	Inf
3.4380	12.1482	Inf	Inf
3.5388	12.1519	Inf	Inf
3.6345	12.0494	Inf	Inf
3.6595	11.9476	Inf	Inf
3.6727	11.8468	Inf	Inf
3.6779	11.9440	Inf	Inf
3.7034	12.2326	Inf	Inf
3.8044	12.2385	Inf	Inf
3.9042	12.2697	Inf	Inf
4.0048	12.3586	Inf	Inf
4.1041	12.3454	Inf	Inf
4.2047	12.3898	Inf	Inf
4.3052	12.3660	Inf	Inf
4.3748	12.4657	Inf	Inf
4.4751	12.4089	Inf	Inf
4.5629	12.3078	Inf	Inf
4.5866	12.4071	Inf	Inf
4.6635	12.5067	Inf	Inf
4.7631	12.5016	Inf	Inf
4.8641	12.5863	Inf	Inf
4.9640	12.5289	Inf	Inf
5.0220	12.4251	Inf	Inf
5.0309	12.3027	Inf	Inf
5.0456	12.4091	Inf	Inf
5.0885	12.6970	Inf	Inf
5.1883	12.6531	Inf	Inf
5.2889	12.5881	Inf	Inf
5.3186	12.4861	Inf	Inf
5.3434	12.5864	Inf	Inf
5.4429	12.6089	Inf	Inf
5.5216	12.7090	Inf	Inf
5.6221	12.6465	Inf	Inf
5.7222	12.6825	Inf	Inf
5.7497	12.5756	Inf	Inf
5.7645	12.4731	Inf	Inf
5.7713	12.5676	Inf	Inf
5.7834	12.6700	Inf	Inf
5.8836	12.7154	Inf	Inf
5.9624	12.6122	Inf	Inf
5.9972	12.7117	Inf	Inf
6.0970	12.7302	Inf	Inf
6.1965	12.7440	Inf	Inf
6.2197	12.6366	Inf	Inf
6.2599	12.7380	Inf	Inf
6.3606	12.7081	Inf	Inf
6.4603	12.6831	Inf	Inf
6.5029	12.5789	Inf	Inf
6.5056	12.4768	Inf	Inf
6.5159	12.5714	Inf	Inf
6.5636	12.7715	Inf	Inf
6.6634	12.7432	Inf	Inf
6.7637	12.7442	Inf	Inf
6.8638	12.7033	Inf	Inf
6.9037	12.5997	Inf	Inf
6.9151	12.4981	Inf	Inf
6.9288	12.5986	Inf	Inf
6.9438	12.7498	Inf	Inf
7.0441	12.8087	Inf	Inf
7.1434	12.7861	Inf	Inf
7.1886	12.6792	Inf	Inf
7.2346	12.5734	Inf	Inf
7.2529	12.6731	Inf	Inf
7.2716	12.7723	Inf	Inf
7.3715	12.7435	Inf	Inf
7.4728	12.7681	Inf	Inf
7.5629	12.6638	Inf	Inf
7.6636	12.7130	Inf	Inf
7.6847	12.6097	Inf	Inf
7.7077	12.7093	Inf	Inf
7.8084	12.7811	Inf	Inf
7.9089	12.7490	Inf	Inf
7.9873	12.6422	Inf	Inf
7.9946	12.5348	Inf	Inf
8.0232	12.6355	Inf	Inf
8.0978	12.7542	Inf	Inf
8.1983	12.7175	Inf	Inf
8.2981	12.6941	Inf	Inf
8.3985	12.6083	Inf	Inf
8.4943	12.7075	Inf	Inf
8.5934	12.7340	Inf	Inf
8.6422	12.6267	Inf	Inf
8.7429	12.5919	Inf	Inf
8.7778	12.6922	Inf	Inf
8.8788	12.6481	Inf	Inf
8.9788	12.5871	Inf	Inf
9.0795	12.5622	Inf	Inf
9.1793	12.6117	Inf	Inf
9.2796	12.6364	Inf	Inf
9.3794	12.5423	Inf	Inf
9.4055	12.4365	Inf	Inf
9.4311	12.5345	Inf	Inf
9.5316	12.5363	Inf	Inf
9.6315	12.5240	Inf	Inf
9.6792	12.4211	Inf	Inf
9.7789	12.4479	Inf	Inf
9.8794	12.4469	Inf	Inf
9.9791	12.3630	Inf	Inf
10.0651	12.2550	Inf	Inf
10.0796	12.1540	Inf	Inf
10.0911	12.0502	Inf	Inf
10.1153	12.1515	Inf	Inf
10.2147	12.2104	Inf	Inf
10.3151	12.1183	Inf	Inf
10.3635	12.0148	Inf	Inf
10.4635	11.9346	Inf	Inf
10.5350	11.8313	Inf	Inf
10.6340	11.8196	Inf	Inf
10.7125	11.7124	Inf	Inf
10.7552	11.6112	Inf	Inf
10.8384	11.5056	Inf	Inf
10.9372	11.4646	Inf	Inf
10.9827	11.3583	Inf	Inf
11.0263	11.2524	Inf	Inf
11.0870	11.1507	Inf	Inf
11.1375	11.0464	Inf	Inf
11.1852	10.9206	Inf	Inf
11.2696	10.8177	Inf	Inf
11.2899	10.7095	Inf	Inf
11.3887	10.6486	Inf	Inf
11.4227	10.5445	Inf	Inf
11.4599	10.4419	Inf	Inf
11.5281	10.3095	Inf	Inf
11.5859	10.2076	Inf	Inf
11.6107	9.9701	Inf	Inf
11.6439	10.0700	Inf	Inf
11.7180	9.9447	Inf	Inf
11.7563	9.8390	Inf	Inf
11.7975	9.6965	Inf	Inf
11.9216	9.0657	Inf	Inf
12.0518	8.7640	Inf	Inf
12.2649	8.4622	Inf	Inf
12.5109	8.1603	Inf	Inf
12.8069	7.8587	Inf	Inf
Data End	

