Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 02.03.2023	Time: 15:13:36

Name:	Wood parallel to grain 21a
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0097	0.1001	Inf	Inf
0.0463	0.2009	Inf	Inf
0.0621	0.3019	Inf	Inf
0.0868	0.4023	Inf	Inf
0.1100	0.5317	Inf	Inf
0.1334	0.6316	Inf	Inf
0.1571	0.7660	Inf	Inf
0.1999	0.9402	Inf	Inf
0.2111	1.0416	Inf	Inf
0.2304	1.1493	Inf	Inf
0.2605	1.2495	Inf	Inf
0.2732	1.3495	Inf	Inf
0.2974	1.4488	Inf	Inf
0.3145	1.5486	Inf	Inf
0.3723	1.6491	Inf	Inf
0.4720	1.5948	Inf	Inf
0.5719	1.6009	Inf	Inf
0.6722	1.6291	Inf	Inf
0.7733	1.6941	Inf	Inf
0.8737	1.6793	Inf	Inf
0.9740	1.6803	Inf	Inf
1.0733	1.6899	Inf	Inf
1.1735	1.7398	Inf	Inf
1.2742	1.7358	Inf	Inf
1.3743	1.7849	Inf	Inf
1.4743	1.8132	Inf	Inf
1.5739	1.8032	Inf	Inf
1.6728	1.8719	Inf	Inf
1.7735	1.7999	Inf	Inf
1.8741	1.8137	Inf	Inf
1.9742	1.7904	Inf	Inf
2.0740	1.8149	Inf	Inf
2.1737	1.8152	Inf	Inf
2.2728	1.8504	Inf	Inf
2.3731	1.7676	Inf	Inf
2.4166	1.8683	Inf	Inf
2.5168	1.8824	Inf	Inf
2.5480	1.7816	Inf	Inf
2.6020	1.8815	Inf	Inf
2.6512	1.7804	Inf	Inf
2.6887	1.8805	Inf	Inf
2.7887	1.9461	Inf	Inf
2.8888	1.9551	Inf	Inf
2.9891	1.9790	Inf	Inf
3.0894	2.0135	Inf	Inf
3.1137	1.9121	Inf	Inf
3.2133	1.9605	Inf	Inf
3.3136	2.0024	Inf	Inf
3.4140	2.0148	Inf	Inf
3.5136	1.9973	Inf	Inf
3.6127	2.0657	Inf	Inf
3.7127	2.1077	Inf	Inf
3.8130	2.0486	Inf	Inf
3.9129	2.0777	Inf	Inf
4.0134	2.1065	Inf	Inf
4.1130	2.1116	Inf	Inf
4.2130	2.1052	Inf	Inf
4.2248	2.0027	Inf	Inf
4.3249	2.0275	Inf	Inf
4.4090	2.1287	Inf	Inf
4.5095	2.0874	Inf	Inf
4.6094	2.1241	Inf	Inf
4.7091	2.1270	Inf	Inf
4.8092	2.1690	Inf	Inf
4.9092	2.1445	Inf	Inf
5.0091	2.2048	Inf	Inf
5.1090	2.2767	Inf	Inf
5.2085	2.2902	Inf	Inf
5.3082	2.2954	Inf	Inf
5.4089	2.3543	Inf	Inf
5.4685	2.2530	Inf	Inf
5.5151	2.3531	Inf	Inf
5.6151	2.4099	Inf	Inf
5.7151	2.3473	Inf	Inf
5.7470	2.4470	Inf	Inf
5.8479	2.4928	Inf	Inf
5.9472	2.5280	Inf	Inf
6.0480	2.5513	Inf	Inf
6.1496	2.5933	Inf	Inf
6.2501	2.5738	Inf	Inf
6.3161	2.6740	Inf	Inf
6.4159	2.7081	Inf	Inf
6.5158	2.7503	Inf	Inf
6.6163	2.6969	Inf	Inf
6.7081	2.7963	Inf	Inf
6.8080	2.8418	Inf	Inf
6.9078	2.9128	Inf	Inf
7.0074	2.9410	Inf	Inf
7.1075	2.9540	Inf	Inf
7.1358	3.0552	Inf	Inf
7.2354	3.0397	Inf	Inf
7.3359	3.0400	Inf	Inf
7.4357	3.0107	Inf	Inf
7.5350	3.1037	Inf	Inf
7.6353	3.1673	Inf	Inf
7.6812	3.0667	Inf	Inf
7.7267	3.1667	Inf	Inf
7.8267	3.2272	Inf	Inf
7.9272	3.2789	Inf	Inf
8.0276	3.3199	Inf	Inf
8.0735	3.2164	Inf	Inf
8.1056	3.3163	Inf	Inf
8.2064	3.4007	Inf	Inf
8.2958	3.5010	Inf	Inf
8.3958	3.5254	Inf	Inf
8.4214	3.4216	Inf	Inf
8.4600	3.5218	Inf	Inf
8.5089	3.6230	Inf	Inf
8.6075	3.7162	Inf	Inf
8.6964	3.8164	Inf	Inf
8.7962	3.8694	Inf	Inf
8.8489	3.9692	Inf	Inf
8.8733	4.0709	Inf	Inf
8.9313	4.1675	Inf	Inf
9.0207	4.2680	Inf	Inf
9.0886	4.3684	Inf	Inf
9.1491	4.4685	Inf	Inf
9.2037	4.3656	Inf	Inf
9.2168	4.4612	Inf	Inf
