Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 02.03.2023	Time: 15:18:18

Name:	wood perpendicular to grain
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0244	0.1010	Inf	Inf
0.1031	0.3773	Inf	Inf
0.1281	0.4743	Inf	Inf
0.2047	0.7776	Inf	Inf
0.2355	0.8758	Inf	Inf
0.2704	1.0289	Inf	Inf
0.3364	1.2397	Inf	Inf
0.3697	1.3394	Inf	Inf
0.4322	1.4392	Inf	Inf
0.4950	1.5398	Inf	Inf
0.5951	1.5535	Inf	Inf
0.6758	1.6531	Inf	Inf
0.7751	1.6955	Inf	Inf
0.8754	1.6959	Inf	Inf
0.9760	1.7094	Inf	Inf
1.0759	1.7718	Inf	Inf
1.1750	1.7472	Inf	Inf
1.2751	1.6698	Inf	Inf
1.3743	1.7361	Inf	Inf
1.4740	1.7722	Inf	Inf
1.5743	1.7888	Inf	Inf
1.6746	1.7629	Inf	Inf
1.7754	1.8396	Inf	Inf
1.8744	1.8084	Inf	Inf
1.9051	1.7070	Inf	Inf
1.9827	1.8074	Inf	Inf
2.0828	1.8704	Inf	Inf
2.1833	1.8527	Inf	Inf
2.2837	1.7771	Inf	Inf
2.3663	1.8774	Inf	Inf
2.4671	1.9081	Inf	Inf
2.5663	1.8862	Inf	Inf
2.6663	1.8582	Inf	Inf
2.7658	1.9098	Inf	Inf
2.8655	1.8700	Inf	Inf
2.9662	1.8686	Inf	Inf
3.0666	1.8672	Inf	Inf
3.1601	1.9674	Inf	Inf
3.2609	1.9652	Inf	Inf
3.3608	1.8723	Inf	Inf
3.4610	1.9254	Inf	Inf
3.5613	1.9342	Inf	Inf
3.6610	1.9537	Inf	Inf
3.7603	1.9143	Inf	Inf
3.8603	1.9625	Inf	Inf
3.9603	1.9978	Inf	Inf
4.0603	1.8974	Inf	Inf
4.1608	1.9539	Inf	Inf
4.2611	2.0198	Inf	Inf
4.3600	2.0276	Inf	Inf
4.4592	2.0060	Inf	Inf
4.5585	2.0166	Inf	Inf
4.6579	2.0566	Inf	Inf
4.7585	2.0017	Inf	Inf
4.8587	1.9952	Inf	Inf
4.9585	2.0387	Inf	Inf
5.0579	2.0291	Inf	Inf
5.1581	2.0687	Inf	Inf
5.2589	2.0557	Inf	Inf
5.3586	2.0910	Inf	Inf
5.4587	2.0252	Inf	Inf
5.5596	2.0674	Inf	Inf
5.6595	2.1150	Inf	Inf
5.7600	2.1236	Inf	Inf
5.8587	2.1694	Inf	Inf
5.9584	2.1679	Inf	Inf
6.0587	2.1952	Inf	Inf
6.1589	2.1548	Inf	Inf
6.2587	2.1452	Inf	Inf
6.3537	2.2459	Inf	Inf
6.4549	2.2655	Inf	Inf
6.5553	2.2476	Inf	Inf
6.6562	2.2878	Inf	Inf
6.7555	2.3545	Inf	Inf
6.8559	2.3328	Inf	Inf
6.8934	2.2306	Inf	Inf
6.9942	2.3180	Inf	Inf
7.0705	2.4176	Inf	Inf
7.1711	2.4402	Inf	Inf
7.2716	2.4593	Inf	Inf
7.3723	2.4764	Inf	Inf
7.4716	2.5148	Inf	Inf
7.5717	2.4975	Inf	Inf
7.6717	2.5565	Inf	Inf
7.7730	2.5498	Inf	Inf
7.8731	2.5797	Inf	Inf
7.9740	2.5817	Inf	Inf
8.0312	2.6834	Inf	Inf
8.1030	2.7827	Inf	Inf
8.2019	2.8330	Inf	Inf
8.2428	2.7267	Inf	Inf
8.3425	2.8025	Inf	Inf
8.3895	2.9027	Inf	Inf
8.4895	3.0003	Inf	Inf
8.5904	3.0760	Inf	Inf
8.6897	3.0919	Inf	Inf
8.7592	3.1917	Inf	Inf
8.8299	3.2922	Inf	Inf
8.8910	3.3926	Inf	Inf
8.9907	3.3272	Inf	Inf
9.0189	3.4270	Inf	Inf
9.1171	3.5272	Inf	Inf
9.1783	3.6264	Inf	Inf
9.2508	3.7267	Inf	Inf
9.2992	3.8270	Inf	Inf
9.3710	3.9264	Inf	Inf
9.4043	4.0296	Inf	Inf
9.4375	4.1323	Inf	Inf
9.5072	4.3047	Inf	Inf
9.5865	4.2016	Inf	Inf
9.5909	4.0236	Inf	Inf
9.6240	4.1246	Inf	Inf
9.6768	4.4043	Inf	Inf
9.7270	4.6341	Inf	Inf
9.7783	4.8101	Inf	Inf
9.8227	4.9890	Inf	Inf
9.8783	5.1721	Inf	Inf
9.9692	5.2699	Inf	Inf
9.9959	5.3689	Inf	Inf
10.0357	5.5154	Inf	Inf
10.0986	5.8151	Inf	Inf
10.1747	5.7085	Inf	Inf
10.1796	5.5035	Inf	Inf
10.2151	5.6019	Inf	Inf
10.2528	5.9626	Inf	Inf
10.3161	6.4289	Inf	Inf
10.3828	6.5279	Inf	Inf
10.4156	6.7134	Inf	Inf
10.4831	6.9892	Inf	Inf
10.5324	7.0846	Inf	Inf
10.5510	7.2604	Inf	Inf
10.6320	7.6687	Inf	Inf
10.6650	7.7677	Inf	Inf
10.6961	8.0156	Inf	Inf
10.7492	8.1077	Inf	Inf
10.7844	8.2715	Inf	Inf
10.8263	8.4471	Inf	Inf
10.8669	8.8903	Inf	Inf
10.9049	9.3151	Inf	Inf
10.9680	9.8454	Inf	Inf
10.9933	10.0559	Inf	Inf
11.0590	10.3083	Inf	Inf
11.0958	10.4763	Inf	Inf
11.1132	10.6293	Inf	Inf
11.1471	10.7786	Inf	Inf
11.1795	10.9997	Inf	Inf
11.2003	11.1062	Inf	Inf
11.2127	10.8146	Inf	Inf
11.2370	10.9128	Inf	Inf
11.2753	11.7596	Inf	Inf
11.3008	12.7666	Inf	Inf
11.3384	12.8625	Inf	Inf
11.3787	13.7358	Inf	Inf
11.4404	14.6693	Inf	Inf
11.4482	14.7711	Inf	Inf
11.5180	15.5336	Inf	Inf
11.5501	15.3119	Inf	Inf
11.5656	15.0896	Inf	Inf
11.5814	14.7037	Inf	Inf
11.5979	14.8064	Inf	Inf
11.6267	15.5617	Inf	Inf
11.6345	15.4594	Inf	Inf
11.6561	15.5479	Inf	Inf
11.6771	16.3469	Inf	Inf
11.6832	16.1769	Inf	Inf
11.6915	15.9726	Inf	Inf
11.7011	15.8109	Inf	Inf
11.7128	15.9167	Inf	Inf
11.7364	16.9465	Inf	Inf
11.7758	18.0951	Inf	Inf
11.8371	19.2312	Inf	Inf
11.8821	19.0587	Inf	Inf
11.9467	18.6251	Inf	Inf
11.9882	18.4041	Inf	Inf
12.0875	18.1378	Inf	Inf
12.1781	18.2450	Inf	Inf
12.1917	18.3438	Inf	Inf
12.2101	18.4460	Inf	Inf
12.2804	18.8967	Inf	Inf
12.3055	18.3100	Inf	Inf
12.3263	17.9802	Inf	Inf
12.3285	17.7665	Inf	Inf
12.3353	17.6186	Inf	Inf
12.3431	17.2984	Inf	Inf
12.3490	17.5023	Inf	Inf
12.3521	17.0959	Inf	Inf
12.3535	17.1971	Inf	Inf
12.3536	17.4003	Inf	Inf
12.3622	16.9947	Inf	Inf
12.3696	16.8938	Inf	Inf
Data End	

