Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 02.03.2023	Time: 15:50:22

Name:	Group 21B Aluminium Tensile
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0082	0.0997	Inf	Inf
0.0181	0.1990	Inf	Inf
0.0200	0.3000	Inf	Inf
0.0368	0.3996	Inf	Inf
0.0481	0.5847	Inf	Inf
0.0606	0.6862	Inf	Inf
0.0646	0.7851	Inf	Inf
0.0761	0.8843	Inf	Inf
0.0837	0.9841	Inf	Inf
0.0944	1.1196	Inf	Inf
0.1109	1.3804	Inf	Inf
0.1175	1.5649	Inf	Inf
0.1258	1.8626	Inf	Inf
0.1264	1.9678	Inf	Inf
0.1273	1.7392	Inf	Inf
0.1336	2.1512	Inf	Inf
0.1389	2.3235	Inf	Inf
0.1497	2.5127	Inf	Inf
0.1584	2.6595	Inf	Inf
0.1653	2.8477	Inf	Inf
0.1711	3.0018	Inf	Inf
0.1832	3.1745	Inf	Inf
0.1872	3.3177	Inf	Inf
0.1999	3.4939	Inf	Inf
0.2171	3.6803	Inf	Inf
0.2350	3.8101	Inf	Inf
0.2630	3.9206	Inf	Inf
0.2957	4.0195	Inf	Inf
0.3241	4.1194	Inf	Inf
0.3613	4.2185	Inf	Inf
0.3995	4.3183	Inf	Inf
0.4353	4.4177	Inf	Inf
0.4728	4.5183	Inf	Inf
0.5155	4.6169	Inf	Inf
0.5411	4.7191	Inf	Inf
0.6253	4.8186	Inf	Inf
0.6738	4.9185	Inf	Inf
0.7207	5.0196	Inf	Inf
0.7755	5.1193	Inf	Inf
0.8583	5.2192	Inf	Inf
0.9355	5.3186	Inf	Inf
1.0334	5.4180	Inf	Inf
1.1337	5.5100	Inf	Inf
1.2339	5.6009	Inf	Inf
1.3344	5.6663	Inf	Inf
1.4342	5.6602	Inf	Inf
1.4444	5.7601	Inf	Inf
1.4779	5.6587	Inf	Inf
1.4826	5.7601	Inf	Inf
1.4891	5.8608	Inf	Inf
1.5890	5.8089	Inf	Inf
1.6884	5.8476	Inf	Inf
1.7884	5.9248	Inf	Inf
1.8875	5.9258	Inf	Inf
1.9876	5.9378	Inf	Inf
2.0876	6.0195	Inf	Inf
2.1868	6.0420	Inf	Inf
2.2874	6.0212	Inf	Inf
2.3878	6.0799	Inf	Inf
2.4883	6.0733	Inf	Inf
2.5873	6.0911	Inf	Inf
2.6882	6.0878	Inf	Inf
2.7880	6.1090	Inf	Inf
2.8886	6.1344	Inf	Inf
2.9882	6.1379	Inf	Inf
3.0878	6.1346	Inf	Inf
3.1875	6.1536	Inf	Inf
3.2868	6.1514	Inf	Inf
3.3870	6.1488	Inf	Inf
3.4874	6.1545	Inf	Inf
3.5875	6.1086	Inf	Inf
3.6872	6.1509	Inf	Inf
3.7874	6.1580	Inf	Inf
3.8876	6.1472	Inf	Inf
3.9871	6.1331	Inf	Inf
4.0867	6.1036	Inf	Inf
4.1867	6.0852	Inf	Inf
4.2867	6.0506	Inf	Inf
4.3868	6.0130	Inf	Inf
4.4867	5.9774	Inf	Inf
4.5871	5.9333	Inf	Inf
4.6871	5.8742	Inf	Inf
4.7873	5.8015	Inf	Inf
4.8878	5.7425	Inf	Inf
4.9800	5.6386	Inf	Inf
5.0796	5.5774	Inf	Inf
5.1804	5.4918	Inf	Inf
5.2803	5.4127	Inf	Inf
5.3764	5.3114	Inf	Inf
5.4608	5.2109	Inf	Inf
5.5611	5.1169	Inf	Inf
5.6325	5.0149	Inf	Inf
5.7117	4.9134	Inf	Inf
5.7888	4.6549	Inf	Inf
5.9066	4.3655	Inf	Inf
5.9738	4.2166	Inf	Inf
Data End	

